,country,total_costs,scrap,unit_cost
0,Angola,27260802.159976766,207.43638861007832,131.4176473213644
1,Argentina,84821805.31340344,5260.052364340501,16.125657966532106
2,Aruba,5852503.831153458,2.18277945277572,2681.216292242055
3,Australia,149266695.6582043,19455.254358429866,7.672307588902212
4,Belgium,138251200.99815547,13469.022248143749,10.26438285208184
5,Benin,6277579.659102799,3.208734373259552,1956.4036560389386
6,Bermuda,4730655.036075442,1.8029821734350069,2623.794680710952
7,Bolivia (Plurinational State of),69804638.79489498,2970.032986191861,23.50298435048616
8,Botswana,39314680.06346474,584.8771648740442,67.21869552204406
9,Brazil,555420847.7675242,1297475.9856984245,0.4280779404703542
10,Burkina Faso,54324379.4037209,1464.0632035207834,37.105214633549615
11,C?te d'Ivoire,34318412.45223254,398.0113754211258,86.22470253751189
12,Cabo Verde,10344535.615456227,13.238218348495984,781.4144881989719
13,Cameroon,4760392.852941794,2.0622759765027983,2308.3199858703947
14,Canada,310272391.7008892,199042.2176670132,1.5588270435167582
15,Chile,66371223.767339095,2561.2199247154103,25.91391044824623
16,China,249610500.2548321,8790680.086579628,0.02839490207770184
17,Colombia,84961445.14268738,5284.7366107589605,16.07676056545905
18,Congo,6273653.204923504,3.4433822654790767,1821.9450299836672
19,Costa Rica,56739800.20925225,1617.8150255531743,35.07187120471414
20,Czechia,56608967.8866096,1496.558027571528,37.826109541819264
21,Dominican Rep.,70570513.07122222,3066.038400203203,23.016839275902456
22,Ecuador,60837886.298256844,1984.5267366118492,30.65611824516126
23,El Salvador,10227475.647827499,11.2142925792853,912.0036395982197
24,Eswatini,13234999.316586463,26.639713224481266,496.81463178904687
25,Finland,123174459.98431483,10475.906193000697,11.75788115271706
26,France,362737804.15218246,151152.36078472433,2.3998156712140566
27,Germany,475494469.0314982,294728.87486603984,1.613328416659616
28,Ghana,12042568.881521394,25.77521696879549,467.21503435259575
29,Grenada,23552590.608477946,122.88147851133814,191.6691668574347
30,Guatemala,85085480.63795073,5304.415099760469,16.040501928627894
31,Guinea,8066869.360595177,6.753526296961615,1194.4677500144526
32,Guyana,71975135.9639365,3248.194866896064,22.158503080424808
33,Honduras,40692405.73181221,610.5597269959181,66.64770690334814
34,Hungary,338781115.07833004,144005.41588890873,2.352558151977275
35,India,135104202.40357023,271961.99143701355,0.4967760446586537
36,Italy,367596484.29603887,164621.38303286806,2.232981387494753
37,Jamaica,7970539.724063034,5.9621992331043385,1336.845585402052
38,Japan,274703973.81505114,423086.44067665713,0.649285695319631
39,Korea,421960771.165313,2523620.9853154174,0.1672044945024
40,Lesotho,31834626.891937844,321.3960192864552,99.05109267568166
41,Mali,26213156.098523896,185.1871587595039,141.54953439598916
42,Mexico,109082039.25798483,10989.253738796877,9.926246299407708
43,Mozambique,22430150.03120368,132.46332728142954,169.33101781105745
44,Namibia,50252953.32887263,1173.7969458879186,42.81230540334963
45,Netherlands,233549693.89150986,50882.97293743194,4.589938056070218
46,Nicaragua,58214369.653239936,1743.9579771851268,33.38060344045795
47,Niger,42543561.659261845,731.7609553999889,58.13860570902836
48,Nigeria,225419374.1046053,83004.639854205,2.7157442583998583
49,Norway,143253071.31451756,17596.700666767734,8.140905163264968
50,Panama,9990069.531989954,10.39551281567325,960.9982411765188
51,Paraguay,47218592.91328188,944.2091768502656,50.00861469149848
52,Peru,94960817.35830444,7320.108210747987,12.97259748412942
53,Poland,316957266.04157966,119724.64220572224,2.6473853686441062
54,Romania,56789669.09397006,1496.558027571528,37.94685407963962
55,Russian Federation,99159334.25959902,27040.654519996107,3.667046379601217
56,Saint Lucia,14643722.690693399,30.508723964120605,479.98476461732594
57,Senegal,103118616.73651254,9023.003534391117,11.428413647792182
58,Serbia,45027280.443102896,977.726803652086,46.05302859133377
59,Slovakia,56670081.87453851,1496.5580275715279,37.86694590553053
60,South Africa,35708029.32743774,445.2222755262992,80.20270163982053
61,Spain,387947485.03470266,191559.42752915563,2.025206955557729
62,Sweden,425172533.415796,240779.35090174054,1.7658180895641018
63,Switzerland,183625248.42808014,31523.267632007744,5.825070248797202
64,Thailand,100051048.40886281,28438.798675839967,3.5181179609341466
65,Togo,39665728.766209155,599.8721730829956,66.12363524440596
66,Trinidad and Tobago,51659055.60440536,1228.5947872918562,42.04726907418792
67,Turkey,130481488.3702118,14965.580275715278,8.718772407505291
68,USA,538351561.8218805,1104459.8243477875,0.4874342642022232
69,United Kingdom,408287844.0501129,253227.06950960762,1.612338857930124
70,Uruguay,37221653.10827128,470.0937978840513,79.17920482212362
71,Viet Nam,85896032.52272646,8979.348165429168,9.565954113844192
72,Zambia,25349396.635979794,210.6714271579718,120.32669535661127
73,Zimbabwe,10246103.203628313,13.084625755943863,783.0642919973378
