,country,total_netprofits,scrap,net_profit
0,Afghanistan,-614543.7054198745,0.0281443572687437,-21835.414450994365
1,Albania,-20843353.436453953,2039.1232515098463,-10.221723194525255
2,Algeria,-12094459.294291794,508.3261557525713,-23.792714888703845
3,Andorra,-1056056.3484937258,3.9226016924907343,-269.22344690652534
4,Angola,-6338924.142668389,104.98063388957567,-60.381842896243256
5,Argentina,-16711931.536031533,2665.4263533027024,-6.269890561907272
6,Armenia,-639714.5839007439,1.4882880129052658,-429.83251786861206
7,Aruba,-648462.8893856243,1.1194716342051416,-579.2579906198806
8,Australia,96664005.12254207,34876.748442411146,2.7715887930939056
9,Austria,3136421.456765618,17654.547027691176,0.17765516452198618
10,Azerbaijan,-13265284.871898852,768.5055726929371,-17.26114337130397
11,Bahamas,-26757.30431383245,0.0088045624412555,-3039.0271512478425
12,Bahrain,-640937.7102611833,1.6017143498374262,-400.1573128980448
13,Bangladesh,-3483349.093452586,2.064665492587608,-1687.1251570572663
14,Barbados,-275362.30278644717,0.2070831299303609,-1329.718663606483
15,Belarus,-16772244.045861246,2307.878233197274,-7.267386903088652
16,Belgium,4300040.50489004,24255.792869178244,0.17727890933444138
17,Benin,-16013284.157105872,1396.3563653023978,-11.467906442090808
18,Bermuda,-548539.7518934305,0.9897334069230167,-554.2298037597684
19,Bolivia (Plurinational State of),-16125154.812428037,1497.3045600410092,-10.769455488725947
20,Bosnia Herzegovina,-6917640.736903684,159.50225222576472,-43.37017590894095
21,Botswana,-9869851.447428463,296.0401472796163,-33.33957079174865
22,Brazil,6419145178.9109955,891271.3810408849,7.202234151638863
23,Brunei Darussalam,-7019836.033682877,17.402753882644433,-403.37501070354614
24,Bulgaria,-14929520.937901307,8580.743183770774,-1.7398866995737994
25,Burkina Faso,-13665814.617604792,737.2030594367794,-18.53738185520476
26,Burundi,-8775745.557531314,221.43876447467966,-39.63057497340206
27,C?te d'Ivoire,-8426990.763463348,201.42338710671265,-41.83720115380042
28,Cabo Verde,-1704290.1174218035,6.750889160544997,-252.4541696495898
29,Cambodia,-19602428.414036885,973.1990627234231,-20.14225985707486
30,Cameroon,-597742.9033228506,1.065050195668688,-561.2344899364672
31,Canada,-225056094.03274876,187060.8858449994,-1.203116798127603
32,Cayman Isds,-18481.074759253726,0.0043071485750959,-4290.791096947994
33,Chile,-15691712.499451814,1287.9274034429654,-12.183693318042446
34,China,30303431375.187256,5801546.133372196,5.223337137814526
35,Colombia,-16710603.37844136,2669.393901055598,-6.260074008498049
36,Comoros,-1140480.6346873993,3.0230142129912143,-377.2660511440056
37,Congo,-875601.4647266055,1.873441587930621,-467.37590879136155
38,Costa Rica,-13954009.688458577,816.706049493276,-17.085718536205675
39,Croatia,-20691450.317535125,6738.7365939249075,-3.070523684838615
40,Cyprus,-19192036.40257061,1511.6304662051546,-12.696248740441778
41,Czechia,160717088.57509458,50533.80208730866,3.1803878183838057
42,Denmark,-15422239.917995146,10188.48812420699,-1.5136926823669945
43,Dominican Rep.,-16206714.997168384,1543.8422155416877,-10.49764984660815
44,Ecuador,-14767345.858873757,1000.0910921898123,-14.766000791526885
45,Egypt,-8883132.166770035,6288.032844756748,-1.4127044794585004
46,El Salvador,-1440838.7205113913,5.394807819611341,-267.0787855080988
47,Estonia,-19561043.546674468,1638.1202719159917,-11.941152235296691
48,Eswatini,-2432204.323361527,13.867337279529227,-175.39086807616005
49,Ethiopia,-12498217.536998123,559.7326106163407,-22.32890723167962
50,Fiji,-976754.5396885576,2.250377122637674,-434.04037921595136
51,Finland,-81839762.07640122,10785.234478591277,-7.5881300716135005
52,France,-445692385.3877746,137662.37371557043,-3.237575913870532
53,French Polynesia,-10329516.983429616,332.54002750738056,-31.062477082402836
54,Georgia,-4419015.0021965625,60.60828602816146,-72.91107028077448
55,Germany,614267762.4984294,147437.97432880494,4.166279178039548
56,Ghana,-2206273.0185785126,13.354285049523577,-165.21086755275024
57,Greece,24648477.21292892,22536.326055692258,1.0937220712913485
58,Greenland,-566748.7179715995,0.9861483411790399,-574.7093964524589
59,Grenada,-4859361.096159559,62.00168066404114,-78.37466733345863
60,Guatemala,-16674704.54179124,2672.322224655167,-6.239780662656774
61,Guinea,-1217728.420023405,3.536538774032539,-344.32774467643964
62,Guyana,-16341445.932758609,1632.0081501165764,-10.013090885355762
63,Honduras,-9864358.931526165,308.14578816630825,-32.01198689174459
64,Hungary,-12376123.03116253,11344.569407234361,-1.090929288446184
65,Iceland,-11670064.29825354,558.9195238866707,-20.879686250895432
66,India,929901054.5403864,135980.79050075263,6.838473663199065
67,Indonesia,148506936.65633637,29659.563360666973,5.007050672002772
68,Iran,-8370037.629826175,51.86074641851613,-161.39446899356184
69,Ireland,-16380704.948095614,10161.107701335544,-1.6120983488781038
70,Israel,37214524.97167881,18348.877219613816,2.028163605122322
71,Italy,-102151459.67143211,116660.8021019619,-0.8756279558420266
72,Jamaica,-1078055.5332176217,3.2478587705873023,-331.9280822739344
73,Japan,63960820.79027124,20970.13021163547,3.0500917326103196
74,Jordan,-15445806.993089732,1305.3386780328062,-11.832796540103399
75,Kazakhstan,-16569829.49318443,1769.832674362738,-9.362370654135828
76,Kenya,12166913.843781233,11771.4972522541,1.0335910193116187
77,Kiribati,-919927.2957770678,1.9747159438933641,-465.8529742578229
78,Korea,464478649.7845927,83793.02028745919,5.543166342389361
79,Kuwait,-1490534.201402087,7.748118410223183,-192.37369932749291
80,Kyrgyzstan,-854760.8217089011,1.9538918325683596,-437.46578365360773
81,Lao People's Dem. Rep.,7088568.702431865,7821.138093122125,0.9063346814788402
82,Latvia,-20777273.690607805,2014.0347901321898,-10.316243687748862
83,Lebanon,-1498938.2647816017,9178.638751069198,-0.16330725126391907
84,Lesotho,-7684955.154162246,162.21553467944474,-47.37496423723252
85,Lithuania,-22637487.47217524,3209.142805814407,-7.054060489660997
86,Luxembourg,-18612098.79788022,1408.5352060966243,-13.21379736716602
87,Madagascar,-10893805.273727823,382.08278277879634,-28.511636128955598
88,Malawi,-16079869.922060441,1428.6847845011648,-11.255015869490652
89,Malaysia,-8109517.70853076,27.67598431739553,-293.0164150813449
90,Maldives,-11831342.581466505,95.17896898467748,-124.30626962739206
