,country,type,recycling_m,net_profit
0,Afghanistan,LFP,,
1,Afghanistan,NCA,,
2,Afghanistan,NMC111,,
3,Afghanistan,NMC523,,
4,Afghanistan,NMC622,,
5,Afghanistan,NMC811,,
6,Albania,LFP,,
7,Albania,NCA,,
8,Albania,NMC111,,
9,Albania,NMC523,,
10,Albania,NMC622,,
11,Albania,NMC811,,
12,Algeria,LFP,,
13,Algeria,NCA,,
14,Algeria,NMC111,,
15,Algeria,NMC523,,
16,Algeria,NMC622,,
17,Algeria,NMC811,,
18,Andorra,LFP,,
19,Andorra,NCA,,
20,Andorra,NMC111,,
21,Andorra,NMC523,,
22,Andorra,NMC622,,
23,Andorra,NMC811,,
24,Angola,LFP,Pyro,0.0
25,Angola,NCA,Pyro,-55.17614616732276
26,Angola,NMC111,Pyro,-139.4149875390957
27,Angola,NMC523,Pyro,-123.65293050508092
28,Angola,NMC622,Pyro,-197.51005830057355
29,Angola,NMC811,Pyro,-231.31532138724162
30,Argentina,LFP,Pyro,0.0
31,Argentina,NCA,Pyro,-3.2356987204408005
32,Argentina,NMC111,Pyro,-15.379435846967805
33,Argentina,NMC523,Pyro,-13.523536168698481
34,Argentina,NMC622,Pyro,-23.663882101117046
35,Argentina,NMC811,Pyro,-28.431905717645314
36,Armenia,LFP,,
37,Armenia,NCA,,
38,Armenia,NMC111,,
39,Armenia,NMC523,,
40,Armenia,NMC622,,
41,Armenia,NMC811,,
42,Aruba,LFP,Pyro,0.0
43,Aruba,NCA,Pyro,-1619.1238846084502
44,Aruba,NMC111,Pyro,-2243.215506340928
45,Aruba,NMC523,Pyro,-3030.3499545481322
46,Aruba,NMC622,Pyro,-5907.139830319247
47,Aruba,NMC811,Pyro,-10027.683244809774
48,Australia,LFP,Pyro,0.0
49,Australia,NCA,Pyro,1.3127783739061094
50,Australia,NMC111,Pyro,-3.7836087021278484
51,Australia,NMC523,Pyro,-3.1407833843743225
52,Australia,NMC622,Pyro,-6.52596191221657
53,Australia,NMC811,Pyro,-8.168626336394935
54,Austria,LFP,,
55,Austria,NCA,,
56,Austria,NMC111,,
57,Austria,NMC523,,
58,Austria,NMC622,,
59,Austria,NMC811,,
60,Azerbaijan,LFP,,
61,Azerbaijan,NCA,,
62,Azerbaijan,NMC111,,
63,Azerbaijan,NMC523,,
64,Azerbaijan,NMC622,,
65,Azerbaijan,NMC811,,
66,Bahamas,LFP,,
67,Bahamas,NCA,,
68,Bahamas,NMC111,,
69,Bahamas,NMC523,,
70,Bahamas,NMC622,,
71,Bahamas,NMC811,,
72,Bahrain,LFP,,
