,country,type,recycling_m,net_profit
0,Afghanistan,LFP,,
1,Afghanistan,NCA,,
2,Afghanistan,NMC111,,
3,Afghanistan,NMC523,,
4,Afghanistan,NMC622,,
5,Afghanistan,NMC811,,
6,Albania,LFP,,
7,Albania,NCA,,
8,Albania,NMC111,,
9,Albania,NMC523,,
10,Albania,NMC622,,
11,Albania,NMC811,,
12,Algeria,LFP,,
13,Algeria,NCA,,
14,Algeria,NMC111,,
15,Algeria,NMC523,,
16,Algeria,NMC622,,
17,Algeria,NMC811,,
18,Andorra,LFP,,
19,Andorra,NCA,,
20,Andorra,NMC111,,
21,Andorra,NMC523,,
22,Andorra,NMC622,,
23,Andorra,NMC811,,
24,Angola,LFP,Hydro,0.0
25,Angola,NCA,Hydro,-22.12407098339854
26,Angola,NMC111,Hydro,-71.00961741207279
27,Angola,NMC523,Hydro,-61.042125974782756
28,Angola,NMC622,Hydro,-104.24861849111575
29,Angola,NMC811,Hydro,-124.53539864994973
30,Argentina,LFP,Hydro,0.0
31,Argentina,NCA,Hydro,3.9371786854844895
32,Argentina,NMC111,Hydro,-3.685511378374401
33,Argentina,NMC523,Hydro,-2.69113624271932
34,Argentina,NMC622,Hydro,-8.88339762942178
35,Argentina,NMC811,Hydro,-12.113981225991358
36,Armenia,LFP,,
37,Armenia,NCA,,
38,Armenia,NMC111,,
39,Armenia,NMC523,,
40,Armenia,NMC622,,
41,Armenia,NMC811,,
42,Aruba,LFP,Hydro,0.0
43,Aruba,NCA,Hydro,-935.3591231070856
44,Aruba,NMC111,Hydro,-1709.6878498881576
45,Aruba,NMC523,Hydro,-1939.9521562201444
46,Aruba,NMC622,Hydro,-3405.165360257352
47,Aruba,NMC811,Hydro,-4283.261421216598
48,Australia,LFP,Hydro,0.0
49,Australia,NCA,Hydro,7.2332029434609
50,Australia,NMC111,Hydro,5.151728497568011
51,Australia,NMC523,Hydro,4.957973687435653
52,Australia,NMC622,Hydro,3.9156628088795005
53,Australia,NMC811,Hydro,3.055087865089833
54,Austria,LFP,,
55,Austria,NCA,,
56,Austria,NMC111,,
57,Austria,NMC523,,
58,Austria,NMC622,,
59,Austria,NMC811,,
60,Azerbaijan,LFP,,
61,Azerbaijan,NCA,,
62,Azerbaijan,NMC111,,
63,Azerbaijan,NMC523,,
64,Azerbaijan,NMC622,,
65,Azerbaijan,NMC811,,
66,Bahamas,LFP,,
67,Bahamas,NCA,,
68,Bahamas,NMC111,,
69,Bahamas,NMC523,,
70,Bahamas,NMC622,,
71,Bahamas,NMC811,,
72,Bahrain,LFP,,
