,country,type,recycling_m,net_profit
0,Afghanistan,LFP,,
1,Afghanistan,NCA,,
2,Afghanistan,NMC111,,
3,Afghanistan,NMC523,,
4,Afghanistan,NMC622,,
5,Afghanistan,NMC811,,
6,Albania,LFP,,
7,Albania,NCA,,
8,Albania,NMC111,,
9,Albania,NMC523,,
10,Albania,NMC622,,
11,Albania,NMC811,,
12,Algeria,LFP,,
13,Algeria,NCA,,
14,Algeria,NMC111,,
15,Algeria,NMC523,,
16,Algeria,NMC622,,
17,Algeria,NMC811,,
18,Andorra,LFP,,
19,Andorra,NCA,,
20,Andorra,NMC111,,
21,Andorra,NMC523,,
22,Andorra,NMC622,,
23,Andorra,NMC811,,
24,Angola,LFP,Direct,0.0
25,Angola,NCA,Direct,-4.84538326784536
26,Angola,NMC111,Direct,-24.69144117684703
27,Angola,NMC523,Direct,-26.94550473413811
28,Angola,NMC622,Direct,-29.52623576091562
29,Angola,NMC811,Direct,-32.276709213090825
30,Argentina,LFP,Direct,0.0
31,Argentina,NCA,Direct,5.947349052457061
32,Argentina,NMC111,Direct,-3.5404848155091364
33,Argentina,NMC523,Direct,-7.903291243364181
34,Argentina,NMC622,Direct,-2.6331445345850963
35,Argentina,NMC811,Direct,-2.1739747098545616
36,Armenia,LFP,,
37,Armenia,NCA,,
38,Armenia,NMC111,,
39,Armenia,NMC523,,
40,Armenia,NMC622,,
41,Armenia,NMC811,,
42,Aruba,LFP,Direct,0.0
43,Aruba,NCA,Direct,-60.31302496963167
44,Aruba,NMC111,Direct,-273.18351558094844
45,Aruba,NMC523,Direct,-122.79548258101279
46,Aruba,NMC622,Direct,-151.67870347616798
47,Aruba,NMC811,Direct,-153.3614945040637
48,Australia,LFP,Direct,0.0
49,Australia,NCA,Direct,8.633584106509275
50,Australia,NMC111,Direct,1.8655635699839381
51,Australia,NMC523,Direct,-3.0477175518073714
52,Australia,NMC622,Direct,4.29233705612531
53,Australia,NMC811,Direct,5.5815623352602035
54,Austria,LFP,,
55,Austria,NCA,,
56,Austria,NMC111,,
57,Austria,NMC523,,
58,Austria,NMC622,,
59,Austria,NMC811,,
60,Azerbaijan,LFP,,
61,Azerbaijan,NCA,,
62,Azerbaijan,NMC111,,
63,Azerbaijan,NMC523,,
64,Azerbaijan,NMC622,,
65,Azerbaijan,NMC811,,
66,Bahamas,LFP,,
67,Bahamas,NCA,,
68,Bahamas,NMC111,,
69,Bahamas,NMC523,,
70,Bahamas,NMC622,,
71,Bahamas,NMC811,,
72,Bahrain,LFP,,
73,Bahrain,NCA,,
74,Bahrain,NMC111,,
