,country,total_costs,scrap,unit_cost
0,Angola,39032957.42550109,2864.732046632056,13.625343239829528
1,Argentina,127160595.3103946,27801.030154837536,4.573952641401237
2,Aruba,989629.2032779977,2.3934939847090675,413.46634234315337
3,Australia,330100209.6382818,129174.8481985041,2.555452661581719
4,Belgium,203778426.96377212,48209.86333296972,4.226903228419075
5,Benin,16877543.402273957,557.839077732555,30.255218890143016
6,Bermuda,834848.6498028673,2.130509415005588,391.85400633429146
7,Bolivia (Plurinational State of),182796769.87925255,55952.35340366473,3.2670077085136486
8,Botswana,37811969.05338068,2692.3262305937988,14.044348943939518
9,Brazil,909098700.8919992,1230666.3685184552,0.7387044321251933
10,Burkina Faso,289058719.6020075,142541.06303830628,2.0278978803765924
11,C?te d'Ivoire,50070278.55344762,4657.077097824679,10.75143861733263
12,Cabo Verde,18281179.18960802,651.9486415526403,28.040827182445998
13,Cameroon,772657.9504124874,1.589371795841559,486.14046910488395
14,Canada,1025529817.9807574,1383296.5885959351,0.7413665488915028
15,Chile,298941834.6576358,144353.4511722839,2.070901888593247
16,China,822084390.6096648,18952651.79216189,0.043375692205227356
17,Colombia,186439694.6336746,58120.38642567555,3.207819254128567
18,Congo,1283689.3482674852,3.717181022620263,345.3394764623556
19,Costa Rica,100609357.67642812,17706.30869075154,5.682119262327047
20,Czechia,133418387.62743355,24481.4161944256,5.449782258013849
21,Dominican Rep.,216702860.16896322,77661.30310973132,2.7903582800146105
22,Ecuador,191536284.33938655,61220.82931611181,3.128613030548721
23,El Salvador,2370325.445688307,13.039986961331635,181.7736055041462
24,Eswatini,19057872.01823271,707.090658055943,26.952515637287497
25,Finland,267572234.4414887,84500.66384657132,3.1665104421821137
26,France,503564391.9477699,265213.04520339775,1.8987165264120973
27,Germany,536436080.9871905,296955.7783456987,1.8064510614193292
28,Ghana,3151802.3420519177,23.139862629414765,136.20661421064065
29,Grenada,21800328.928242292,929.7501491546373,23.447513235748275
30,Guatemala,263697518.44043207,113357.47903886758,2.3262472020043465
31,Guinea,2387350.9588517062,12.360794959446658,193.13894993680717
32,Guyana,58938602.25567199,6318.905394262903,9.3273436739825
33,Honduras,78435110.03428695,10959.313944597014,7.156936139506777
34,Hungary,365146218.77454716,159129.74453074645,2.2946446615076104
35,India,673891577.1878475,15031589.543377316,0.04483169096941938
36,Italy,418911654.11827135,195869.6302466141,2.138726935823747
37,Jamaica,1566838.3212649117,6.16223090707072,254.2647857397029
38,Japan,705917945.9827055,1893614.9428100034,0.372788537956491
39,Korea,2216819684.2781453,25326439.342868797,0.0875298597748735
40,Lesotho,137863729.90998235,33611.34533820139,4.1017022235433
41,Mali,106221208.3914487,20207.311135924705,5.256573112422061
42,Mexico,300165659.5410799,145494.2976405029,2.063075078603764
43,Mozambique,8695645.679735966,162.19712376406216,53.61158988481799
44,Namibia,173034811.66395968,52367.21843351918,3.304258214203786
45,Netherlands,248812586.3084521,73723.29666052444,3.3749519836879487
46,Nicaragua,160981008.90649882,43799.3957327658,3.675416206394621
47,Niger,283294052.2901851,137046.50010421197,2.0671381762742174
48,Nigeria,2247560459.950797,7800570.322408485,0.2881277095207118
49,Norway,127021416.84703133,23706.742506745963,5.3580291265612
50,Panama,2334358.369245949,12.695963367913755,183.8661865664739
51,Paraguay,107324671.23267666,20053.90070938832,5.351810243202817
52,Peru,296652982.4478801,142231.37072077923,2.085707118932664
53,Poland,352135315.8475313,147423.38623253594,2.388598748451594
54,Romania,132582872.88778348,24481.4161944256,5.415653728315459
55,Russian Federation,192350369.81543082,352502.5814173204,0.5456708119470798
56,Saint Lucia,16368120.32355978,535.2290216332824,30.581526154190055
57,Senegal,639122830.4672008,670500.0493624043,0.9532032563979065
58,Serbia,87125043.8099289,12473.747216629232,6.9846728731025705
59,Slovakia,124704584.41494785,21695.663054770324,5.7479038137775875
60,South Africa,82006969.54296014,12196.775145752032,6.723660030046715
61,Spain,387222632.4078992,171323.60012764097,2.260182672553036
62,Sweden,471774102.65108037,247352.8626007196,1.9072918651142705
63,Switzerland,158955486.43732542,34998.93914943327,4.541722986477987
64,Thailand,194070259.5848426,357322.51407501724,0.5431235143053398
65,Togo,121326010.22888939,26193.21318115072,4.631963607893611
66,Trinidad and Tobago,76306256.49322315,10393.37713921163,7.341815414870167
67,Turkey,435002635.25722694,244814.16194425596,1.776868755477785
68,USA,2915562897.5395255,11415293.113226065,0.2554085005632905
69,United Kingdom,483266274.97056246,281316.6087412107,1.7178732430090171
70,Uruguay,62705017.62147884,7119.947803314531,8.80694906109957
71,Viet Nam,144469092.59163743,146888.49716655354,0.9835289718283876
72,Zambia,8848551.775041554,167.92923769864888,52.692145193443864
73,Zimbabwe,2880879.1099702646,17.882922954955973,161.0966572537782
