,country,type,recycling_m,net_profit
0,Afghanistan,LFP,0,0.0
1,Afghanistan,NCA,0,0.0
2,Afghanistan,NMC111,0,0.0
3,Afghanistan,NMC523,0,0.0
4,Afghanistan,NMC622,0,0.0
5,Afghanistan,NMC811,0,0.0
6,Albania,LFP,0,0.0
7,Albania,NCA,0,0.0
8,Albania,NMC111,0,0.0
9,Albania,NMC523,0,0.0
10,Albania,NMC622,0,0.0
11,Albania,NMC811,0,0.0
12,Algeria,LFP,0,0.0
13,Algeria,NCA,0,0.0
14,Algeria,NMC111,0,0.0
15,Algeria,NMC523,0,0.0
16,Algeria,NMC622,0,0.0
17,Algeria,NMC811,0,0.0
18,Andorra,LFP,0,0.0
19,Andorra,NCA,0,0.0
20,Andorra,NMC111,0,0.0
21,Andorra,NMC523,0,0.0
22,Andorra,NMC622,0,0.0
23,Andorra,NMC811,0,0.0
24,Angola,LFP,Direct,0.0
25,Angola,NCA,Direct,1.4784280624974535
26,Angola,NMC111,Direct,-12.353176440967387
27,Angola,NMC523,Hydro,-14.52543506107842
28,Angola,NMC622,Direct,-13.868830554423178
29,Angola,NMC811,Direct,-14.779444809175335
30,Argentina,LFP,Direct,0.0
31,Argentina,NCA,Direct,7.47385697721358
32,Argentina,NMC111,Hydro,2.98969312823027
33,Argentina,NMC523,Hydro,3.1215349237833556
34,Argentina,NMC622,Direct,1.0801134001344308
35,Argentina,NMC811,Direct,1.9460347633451642
36,Armenia,LFP,0,0.0
37,Armenia,NCA,0,0.0
38,Armenia,NMC111,0,0.0
39,Armenia,NMC523,0,0.0
40,Armenia,NMC622,0,0.0
41,Armenia,NMC811,0,0.0
42,Aruba,LFP,Direct,0.0
43,Aruba,NCA,Direct,-283.6356158521098
44,Aruba,NMC111,Direct,-412.66290717206766
45,Aruba,NMC523,Direct,-471.24762743794076
46,Aruba,NMC622,Direct,-723.5677922952707
47,Aruba,NMC811,Direct,-897.4805647733339
48,Australia,LFP,Direct,0.0
49,Australia,NCA,Direct,8.716638414665539
50,Australia,NMC111,Hydro,6.043872551282249
51,Australia,NMC523,Hydro,5.730748745229009
52,Australia,NMC622,Hydro,5.147978700397264
53,Australia,NMC811,Direct,5.789867100399319
54,Austria,LFP,0,0.0
55,Austria,NCA,0,0.0
56,Austria,NMC111,0,0.0
57,Austria,NMC523,0,0.0
58,Austria,NMC622,0,0.0
59,Austria,NMC811,0,0.0
60,Azerbaijan,LFP,0,0.0
61,Azerbaijan,NCA,0,0.0
62,Azerbaijan,NMC111,0,0.0
63,Azerbaijan,NMC523,0,0.0
64,Azerbaijan,NMC622,0,0.0
65,Azerbaijan,NMC811,0,0.0
66,Bahamas,LFP,0,0.0
67,Bahamas,NCA,0,0.0
68,Bahamas,NMC111,0,0.0
69,Bahamas,NMC523,0,0.0
70,Bahamas,NMC622,0,0.0
71,Bahamas,NMC811,0,0.0
72,Bahrain,LFP,0,0.0
73,Bahrain,NCA,0,0.0
74,Bahrain,NMC111,0,0.0
75,Bahrain,NMC523,0,0.0
76,Bahrain,NMC622,0,0.0
77,Bahrain,NMC811,0,0.0
78,Bangladesh,LFP,0,0.0
79,Bangladesh,NCA,0,0.0
80,Bangladesh,NMC111,0,0.0
81,Bangladesh,NMC523,0,0.0
82,Bangladesh,NMC622,0,0.0
83,Bangladesh,NMC811,0,0.0
84,Barbados,LFP,0,0.0
85,Barbados,NCA,0,0.0
86,Barbados,NMC111,0,0.0
87,Barbados,NMC523,0,0.0
88,Barbados,NMC622,0,0.0
89,Barbados,NMC811,0,0.0
90,Belarus,LFP,0,0.0
91,Belarus,NCA,0,0.0
92,Belarus,NMC111,0,0.0
93,Belarus,NMC523,0,0.0
94,Belarus,NMC622,0,0.0
95,Belarus,NMC811,0,0.0
96,Belgium,LFP,Direct,-40.37681179411503
97,Belgium,NCA,Direct,7.078193949457267
98,Belgium,NMC111,Hydro,4.932159049659184
99,Belgium,NMC523,Hydro,4.575318568467911
100,Belgium,NMC622,Hydro,3.398191203528838
101,Belgium,NMC811,Direct,3.4022386373502855
102,Benin,LFP,Direct,0.0
103,Benin,NCA,Direct,-9.588889768247398
104,Benin,NMC111,Direct,-33.96921881274423
105,Benin,NMC523,Direct,-35.27826441524219
106,Benin,NMC622,Direct,-41.257937781956954
107,Benin,NMC811,Direct,-45.37914426063492
108,Bermuda,LFP,Direct,0.0
109,Bermuda,NCA,Direct,-289.8674632204252
110,Bermuda,NMC111,Direct,-365.70834115001793
111,Bermuda,NMC523,Direct,-444.6749082439393
112,Bermuda,NMC622,Direct,-744.6031428642324
113,Bermuda,NMC811,Direct,-1849.107875290539
114,Bolivia (Plurinational State of),LFP,Direct,0.0
115,Bolivia (Plurinational State of),NCA,Direct,8.358482548775491
116,Bolivia (Plurinational State of),NMC111,Hydro,4.991415928473241
117,Bolivia (Plurinational State of),NMC523,Hydro,4.851669395215069
118,Bolivia (Plurinational State of),NMC622,Hydro,3.5712468356118343
119,Bolivia (Plurinational State of),NMC811,Direct,4.3479495640252575
120,Bosnia Herzegovina,LFP,0,0.0
121,Bosnia Herzegovina,NCA,0,0.0
122,Bosnia Herzegovina,NMC111,0,0.0
123,Bosnia Herzegovina,NMC523,0,0.0
124,Bosnia Herzegovina,NMC622,0,0.0
125,Bosnia Herzegovina,NMC811,0,0.0
126,Botswana,LFP,Direct,0.0
127,Botswana,NCA,Direct,1.1993589342939437
128,Botswana,NMC111,Direct,-12.900512215397532
129,Botswana,NMC523,Hydro,-15.4975692583837
130,Botswana,NMC622,Direct,-14.555049182766355
131,Botswana,NMC811,Direct,-15.545075387706266
132,Brazil,LFP,Direct,0.0
133,Brazil,NCA,Direct,10.052068347466223
134,Brazil,NMC111,Hydro,7.75612494042199
135,Brazil,NMC523,Hydro,7.223627859072995
