,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
0,China,LFP,91306.99900766967,2025,Strategy 2,Hydro,0.8018847791,73217.69272954912
1,China,NMC111,37377.2939027401,2025,Strategy 2,Hydro,2.414310695,90240.40041954372
2,China,NMC622,40092.55238952166,2025,Strategy 2,Hydro,2.337983546,93735.72780384462
3,China,NMC811,19042.20780226504,2025,Strategy 2,Hydro,2.2614716749999997,43063.41357428638
4,China,NMC523,9031.167901999801,2025,Strategy 2,Hydro,2.357900841,21294.59839133754
5,China,NCA,5081.3566096419745,2025,Strategy 2,Hydro,2.249491865,11430.470356553602
6,India,LFP,0.0,2025,Strategy 2,Hydro,0.8018847791,0.0
7,India,NMC111,636.9329005428679,2025,Strategy 2,Hydro,2.414310695,1537.7539137780172
8,India,NMC622,278.33643891945525,2025,Strategy 2,Hydro,2.337983546,650.7460144459203
9,India,NMC811,147.7429448334486,2025,Strategy 2,Hydro,2.2614716749999997,334.11648492193154
10,India,NMC523,646.6424897823098,2025,Strategy 2,Hydro,2.357900841,1524.7188704840423
11,India,NCA,1717.4023270998732,2025,Strategy 2,Hydro,2.249491865,3863.282563743234
12,Japan,LFP,0.0,2025,Strategy 2,Hydro,0.8018847791,0.0
13,Japan,NMC111,979.0150014852842,2025,Strategy 2,Hydro,2.414310695,2363.6463886513625
14,Japan,NMC622,358.73796635948986,2025,Strategy 2,Hydro,2.337983546,838.7234626739887
15,Japan,NMC811,158.63012556232567,2025,Strategy 2,Hydro,2.2614716749999997,358.7375357608929
16,Japan,NMC523,908.9352007280123,2025,Strategy 2,Hydro,2.357900841,2143.1790742110843
17,Japan,NCA,2190.623093880069,2025,Strategy 2,Hydro,2.249491865,4927.788828964347
18,Korea,LFP,0.0,2025,Strategy 2,Hydro,0.8018847791,0.0
19,Korea,NMC111,1356.3956313142085,2025,Strategy 2,Hydro,2.414310695,3274.7604793331707
20,Korea,NMC622,648.4541483032697,2025,Strategy 2,Hydro,2.337983546,1516.0751290684882
21,Korea,NMC811,406.40169152591477,2025,Strategy 2,Hydro,2.2614716749999997,919.0659140579437
22,Korea,NMC523,1425.409007321557,2025,Strategy 2,Hydro,2.357900841,3360.973097132475
23,Korea,NCA,4203.31884186617,2025,Strategy 2,Hydro,2.249491865,9455.33154077917
24,Thailand,LFP,0.0,2025,Strategy 2,Hydro,0.8018847791,0.0
25,Thailand,NMC111,3997.9903744369185,2025,Strategy 2,Hydro,2.414310695,9652.390919510108
26,Thailand,NMC622,1580.973808142864,2025,Strategy 2,Hydro,2.337983546,3696.290750094977
27,Thailand,NMC811,754.1554597821771,2025,Strategy 2,Hydro,2.2614716749999997,1705.5012108439948
28,Thailand,NMC523,3761.917775953352,2025,Strategy 2,Hydro,2.357900841,8870.229087693258
29,Thailand,NCA,10117.03567514251,2025,Strategy 2,Hydro,2.249491865,22758.18944914786
30,Viet Nam,LFP,0.0,2025,Strategy 2,Hydro,0.8018847791,0.0
31,Viet Nam,NMC111,630.4294275971235,2025,Strategy 2,Hydro,2.414310695,1522.0525094904635
32,Viet Nam,NMC622,232.18465340045665,2025,Strategy 2,Hydro,2.337983546,542.8438992839806
33,Viet Nam,NMC811,92.23796174607374,2025,Strategy 2,Hydro,2.2614716749999997,208.59353784847926
34,Viet Nam,NMC523,571.6040069363997,2025,Strategy 2,Hydro,2.357900841,1347.785568674307
35,Viet Nam,NCA,1473.543950319946,2025,Strategy 2,Hydro,2.249491865,3314.7251289646824
36,France,LFP,32.50367112073725,2025,Strategy 2,Hydro,0.8018847791,26.06419913659144
37,France,NMC111,6077.928485640664,2025,Strategy 2,Hydro,2.414310695,14674.00774632741
38,France,NMC622,3117.885666482185,2025,Strategy 2,Hydro,2.337983546,7289.565386544592
39,France,NMC811,1635.5687885707066,2025,Strategy 2,Hydro,2.2614716749999997,3698.7924878667163
40,France,NMC523,6659.458076567,2025,Strategy 2,Hydro,2.357900841,15702.341799341573
41,France,NCA,9894.610359314931,2025,Strategy 2,Hydro,2.249491865,22257.845510623665
42,Germany,LFP,82.97527346166017,2025,Strategy 2,Hydro,0.8018847791,66.53660883056546
43,Germany,NMC111,13890.585496198993,2025,Strategy 2,Hydro,2.414310695,33536.18912328511
44,Germany,NMC622,7340.767789986183,2025,Strategy 2,Hydro,2.337983546,17162.594307994477
45,Germany,NMC811,4074.8453616521947,2025,Strategy 2,Hydro,2.2614716749999997,9215.147365381568
46,Germany,NMC523,15331.888368302578,2025,Strategy 2,Hydro,2.357900841,36151.072477738766
47,Germany,NCA,23246.99099367587,2025,Strategy 2,Hydro,2.249491865,52293.91712600214
48,Hungary,LFP,3.5917827361026218,2025,Strategy 2,Hydro,0.8018847791,2.8801959059148445
49,Hungary,NMC111,655.9232521130557,2025,Strategy 2,Hydro,2.414310695,1583.6025226757317
50,Hungary,NMC622,326.5475387229436,2025,Strategy 2,Hydro,2.337983546,763.4627725210399
51,Hungary,NMC811,166.92571900921845,2025,Strategy 2,Hydro,2.2614716749999997,377.4977853683565
52,Hungary,NMC523,703.1516085152357,2025,Strategy 2,Hydro,2.357900841,1657.961769068577
53,Hungary,NCA,1042.3340541930154,2025,Strategy 2,Hydro,2.249491865,2344.7219755196575
54,Italy,LFP,17.577552782948484,2025,Strategy 2,Hydro,0.8018847791,14.095172030473234
55,Italy,NMC111,3082.5663653331717,2025,Strategy 2,Hydro,2.414310695,7442.272943871154
56,Italy,NMC622,1665.7836345682147,2025,Strategy 2,Hydro,2.337983546,3894.5747288165626
57,Italy,NMC811,970.1306099800116,2025,Strategy 2,Hydro,2.2614716749999997,2193.9228955202684
58,Italy,NMC523,3423.6618244381602,2025,Strategy 2,Hydro,2.357900841,8072.655095142333
59,Italy,NCA,5287.98574141564,2025,Strategy 2,Hydro,2.249491865,11895.280907550477
60,Poland,LFP,2.9042273264779284,2025,Strategy 2,Hydro,0.8018847791,2.3288556881489373
61,Poland,NMC111,723.3372168013013,2025,Strategy 2,Hydro,2.414310695,1746.3607786149157
62,Poland,NMC622,346.20828240568807,2025,Strategy 2,Hydro,2.337983546,809.4292677534199
63,Poland,NMC811,188.0703579818878,2025,Strategy 2,Hydro,2.2614716749999997,425.3157874831494
64,Poland,NMC523,745.9760733442803,2025,Strategy 2,Hydro,2.357900841,1758.9376107043563
65,Poland,NCA,1338.5023882796143,2025,Strategy 2,Hydro,2.249491865,3010.9502337180634
66,Slovakia,LFP,1.2977721022659305,2025,Strategy 2,Hydro,0.8018847791,1.0406636955476583
