,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
0,China,LFP,91306.99900766967,2025,Strategy 2,Pyro,1.5136551790000001,138207.31192690707
1,China,NMC111,37377.2939027401,2025,Strategy 2,Pyro,1.672116182,62499.177974141654
2,China,NMC622,40092.55238952166,2025,Strategy 2,Pyro,1.7540295940000001,70323.52339021642
3,China,NMC811,19042.20780226504,2025,Strategy 2,Pyro,1.8325488049999998,34895.775152602466
4,China,NMC523,9031.167901999801,2025,Strategy 2,Pyro,1.726439185,15591.762152326697
5,China,NCA,5081.3566096419745,2025,Strategy 2,Pyro,1.811685064,9205.817874546043
6,India,LFP,0.0,2025,Strategy 2,Pyro,1.5136551790000001,0.0
7,India,NMC111,636.9329005428679,2025,Strategy 2,Pyro,1.672116182,1065.0258098459258
8,India,NMC622,278.33643891945525,2025,Strategy 2,Pyro,1.7540295940000001,488.2103509532979
9,India,NMC811,147.7429448334486,2025,Strategy 2,Pyro,1.8325488049999998,270.74615700171717
10,India,NMC523,646.6424897823098,2025,Strategy 2,Pyro,1.726439185,1116.3889330461418
11,India,NCA,1717.4023270998732,2025,Strategy 2,Pyro,1.811685064,3111.3921448856827
12,Japan,LFP,0.0,2025,Strategy 2,Pyro,1.5136551790000001,0.0
13,Japan,NMC111,979.0150014852842,2025,Strategy 2,Pyro,1.672116182,1637.0268264042977
14,Japan,NMC622,358.73796635948986,2025,Strategy 2,Pyro,1.7540295940000001,629.2370094859217
15,Japan,NMC811,158.63012556232567,2025,Strategy 2,Pyro,1.8325488049999998,290.69744703623985
16,Japan,NMC523,908.9352007280123,2025,Strategy 2,Pyro,1.726439185,1569.221347162681
17,Japan,NCA,2190.623093880069,2025,Strategy 2,Pyro,1.811685064,3968.7191400359907
18,Korea,LFP,0.0,2025,Strategy 2,Pyro,1.5136551790000001,0.0
19,Korea,NMC111,1356.3956313142085,2025,Strategy 2,Pyro,1.672116182,2268.051084314594
20,Korea,NMC622,648.4541483032697,2025,Strategy 2,Pyro,1.7540295940000001,1137.407766476
21,Korea,NMC811,406.40169152591477,2025,Strategy 2,Pyro,1.8325488049999998,744.7509341557936
22,Korea,NMC523,1425.409007321557,2025,Strategy 2,Pyro,1.726439185,2460.881964891888
23,Korea,NCA,4203.31884186617,2025,Strategy 2,Pyro,1.811685064,7615.089965038718
24,Thailand,LFP,0.0,2025,Strategy 2,Pyro,1.5136551790000001,0.0
25,Thailand,NMC111,3997.9903744369185,2025,Strategy 2,Pyro,1.672116182,6685.1044005762105
26,Thailand,NMC622,1580.973808142864,2025,Strategy 2,Pyro,1.7540295940000001,2773.074846821462
27,Thailand,NMC811,754.1554597821771,2025,Strategy 2,Pyro,1.8325488049999998,1382.026686608054
28,Thailand,NMC523,3761.917775953352,2025,Strategy 2,Pyro,1.726439185,6494.722259153918
29,Thailand,NCA,10117.03567514251,2025,Strategy 2,Pyro,1.811685064,18328.88242461084
30,Viet Nam,LFP,0.0,2025,Strategy 2,Pyro,1.5136551790000001,0.0
31,Viet Nam,NMC111,630.4294275971235,2025,Strategy 2,Pyro,1.672116182,1054.1512474941476
32,Viet Nam,NMC622,232.18465340045665,2025,Strategy 2,Pyro,1.7540295940000001,407.25875333703374
33,Viet Nam,NMC811,92.23796174607374,2025,Strategy 2,Pyro,1.8325488049999998,169.03056657340312
34,Viet Nam,NMC523,571.6040069363997,2025,Strategy 2,Pyro,1.726439185,986.8395558780123
35,Viet Nam,NCA,1473.543950319946,2025,Strategy 2,Pyro,1.811685064,2669.597565942204
36,France,LFP,32.50367112073725,2025,Strategy 2,Pyro,1.5136551790000001,49.19935012841668
37,France,NMC111,6077.928485640664,2025,Strategy 2,Pyro,1.672116182,10163.002573878508
38,France,NMC622,3117.885666482185,2025,Strategy 2,Pyro,1.7540295940000001,5468.863729718167
