,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
0,FJI,AUS,30.0,3460.569,1764.89019,2025,Strategy 2
1,NZL,AUS,740.0,2397.488,30160.39904,2025,Strategy 2
2,PYF,AUS,30.0,6319.975,3223.1872500000004,2025,Strategy 2
3,LUX,BEL,27.0,187.8091,86.2043769,2025,Strategy 2
4,ARG,BRA,648.0,2353.257,25923.479112000005,2025,Strategy 2
5,BOL,BRA,168.0,1876.689,5359.823784000001,2025,Strategy 2
6,CHL,BRA,32.0,3017.946,1641.762624,2025,Strategy 2
7,COL,BRA,492.0,3756.413,31418.638332000002,2025,Strategy 2
8,ECU,BRA,91.0,3779.018,5846.140846,2025,Strategy 2
9,GUY,BRA,16.0,2752.313,748.6291360000001,2025,Strategy 2
10,NAM,BRA,35.0,6825.919,4061.4218050000004,2025,Strategy 2
11,PER,BRA,427.0,3171.635,23022.898465000002,2025,Strategy 2
12,PRY,BRA,57.0,1463.434,1418.067546,2025,Strategy 2
13,TTO,BRA,22.0,3300.022,1234.208228,2025,Strategy 2
14,URY,BRA,37.0,2283.672,1436.4296880000002,2025,Strategy 2
15,EST,FIN,11.0,80.98481,15.14415947,2025,Strategy 2
16,LVA,FIN,13.0,358.1294,79.14659739999999,2025,Strategy 2
17,DNK,DEU,3697.0,352.9857,22184.7982593,2025,Strategy 2
18,AUT,HUN,2781.0,215.6626,10195.8807402,2025,Strategy 2
19,HRV,HUN,22.0,302.1079,112.9883546,2025,Strategy 2
20,SVN,HUN,20.0,381.6249,129.75246600000003,2025,Strategy 2
21,ARE,IND,1739.0,2312.871,68375.40537300002,2025,Strategy 2
22,KGZ,IND,18.0,1606.963,491.730678,2025,Strategy 2
23,MDG,IND,18.0,6175.918,1889.830908,2025,Strategy 2
24,MDV,IND,11.0,2750.004,514.250748,2025,Strategy 2
25,MUS,IND,38.0,5828.435,3765.1690100000005,2025,Strategy 2
26,NPL,IND,44.0,801.1843,599.2858564000001,2025,Strategy 2
27,OMN,IND,55.0,1936.222,1810.36757,2025,Strategy 2
28,PAK,IND,404.0,683.3699,4693.3844732,2025,Strategy 2
29,SYC,IND,2.0,4372.486,148.664524,2025,Strategy 2
30,TJK,IND,4.0,1356.548,92.245264,2025,Strategy 2
31,UZB,IND,44.0,1584.103,1184.9090440000002,2025,Strategy 2
32,AGO,ITA,37.0,5645.243,3550.857847,2025,Strategy 2
33,CMR,ITA,8.0,4234.211,575.852696,2025,Strategy 2
34,COG,ITA,22.0,5140.217,1922.441158,2025,Strategy 2
35,MLT,ITA,5.0,688.7803,58.5463255,2025,Strategy 2
36,TUN,ITA,23.0,595.3532,232.78310120000003,2025,Strategy 2
37,MNG,KOR,22.0,2003.103,749.1605220000001,2025,Strategy 2
38,ISL,NOR,452.0,1749.596,13443.895664000001,2025,Strategy 2
39,BLR,POL,189.0,469.7038,1509.1583094000002,2025,Strategy 2
40,LTU,POL,21.0,393.7521,140.5694997,2025,Strategy 2
41,UKR,POL,784.0,690.8161,9207.1969808,2025,Strategy 2
42,GRC,ROM,873.0,741.4337,11003.617541700001,2025,Strategy 2
43,MDA,ROM,26.0,356.6724,157.6492008,2025,Strategy 2
44,KAZ,RUS,383.0,2270.788,14785.100668000001,2025,Strategy 2
45,ALB,YUG,5.0,393.4831,33.4460635,2025,Strategy 2
46,BGR,YUG,26.0,329.8515,145.794363,2025,Strategy 2
47,BIH,YUG,21.0,196.5349,70.16295930000001,2025,Strategy 2
48,GRC,YUG,105.0,806.8219,1440.1770915000002,2025,Strategy 2
49,MKD,YUG,25.0,324.8798,138.073915,2025,Strategy 2
50,AUT,SVK,768.0,59.61723,778.3625548800001,2025,Strategy 2
51,AND,ESP,1.0,492.9274,8.3797658,2025,Strategy 2
52,BEN,ESP,16.0,3830.115,1041.79128,2025,Strategy 2
53,BFA,ESP,41.0,3132.095,2183.070215,2025,Strategy 2
54,CIV,ESP,34.0,3742.523,2163.1782940000003,2025,Strategy 2
55,DZA,ESP,143.0,706.8757,1718.4148267000003,2025,Strategy 2
56,GHA,ESP,134.0,3896.073,8875.254294,2025,Strategy 2
57,GIN,ESP,1.0,3637.762,61.84195400000001,2025,Strategy 2
58,MAR,ESP,83.0,762.6525,1076.1026775,2025,Strategy 2
59,MLI,ESP,5.0,3116.63,264.91355000000004,2025,Strategy 2
60,NER,ESP,15.0,3045.1,776.5005000000001,2025,Strategy 2
61,NGA,ESP,726.0,3639.542,44919.227364000006,2025,Strategy 2
62,PRT,ESP,2813.0,500.9223,23954.605308300004,2025,Strategy 2
63,SEN,ESP,42.0,3164.425,2259.3994500000003,2025,Strategy 2
64,SLE,ESP,2.0,3676.671,125.006814,2025,Strategy 2
65,TGO,ESP,26.0,3845.382,1699.658844,2025,Strategy 2
66,BRN,THA,5.0,1864.909,158.517265,2025,Strategy 2
67,IDN,THA,5959.0,2316.466,234664.955198,2025,Strategy 2
68,KHM,THA,62.0,535.9692,564.9115368,2025,Strategy 2
69,LAO,THA,40.0,525.2488,357.169184,2025,Strategy 2
70,LKA,THA,108.0,2381.501,4372.435836000001,2025,Strategy 2
71,MYS,THA,9.0,1187.123,181.62981900000003,2025,Strategy 2
72,PHL,THA,1866.0,2210.015,70106.09583,2025,Strategy 2
73,MMR,THA,135.0,575.9035,1321.6985325,2025,Strategy 2
74,VNM,THA,9453.0,990.7018,159206.7699618,2025,Strategy 2
75,ARM,TUR,21.0,992.1443,354.1955151000001,2025,Strategy 2
76,AZE,TUR,62.0,1447.681,1525.8557740000003,2025,Strategy 2
77,BDI,TUR,27.0,4832.4,2218.0715999999998,2025,Strategy 2
78,BHR,TUR,19.0,2247.209,725.848507,2025,Strategy 2
79,BWA,TUR,64.0,7234.71,7871.36448,2025,Strategy 2
80,CYP,TUR,9.0,533.8339,81.6765867,2025,Strategy 2
81,EGY,TUR,225.0,1109.213,4242.739725,2025,Strategy 2
82,ETH,TUR,82.0,3487.838,4862.046172,2025,Strategy 2
83,GEO,TUR,11.0,1026.402,191.93717400000003,2025,Strategy 2
84,IRN,TUR,298.0,1698.194,8603.050804,2025,Strategy 2
85,ISR,TUR,1354.0,890.1459,20489.3783262,2025,Strategy 2
86,JOR,TUR,136.0,930.4355,2151.1668760000002,2025,Strategy 2
87,KEN,TUR,257.0,4604.907,20118.838683,2025,Strategy 2
88,KWT,TUR,93.0,1816.297,2871.5655570000004,2025,Strategy 2
89,LBN,TUR,51.0,714.7758,619.7106186,2025,Strategy 2
90,LSO,TUR,6.0,7727.073,788.1614460000001,2025,Strategy 2
91,MOZ,TUR,7.0,7334.297,872.781343,2025,Strategy 2
92,MWI,TUR,103.0,5999.491,10505.108741,2025,Strategy 2
93,PAL,TUR,3.0,945.8355,48.2376105,2025,Strategy 2
94,QAT,TUR,73.0,2386.131,2961.188571,2025,Strategy 2
95,RWA,TUR,35.0,4667.988,2777.4528600000003,2025,Strategy 2
96,SAU,TUR,857.0,2140.525,31185.308725000003,2025,Strategy 2
97,SDN,TUR,1.0,2713.648,46.13201600000001,2025,Strategy 2
98,TZA,TUR,151.0,5139.468,13193.014356,2025,Strategy 2
99,UGA,TUR,420.0,4407.16,31467.1224,2025,Strategy 2
100,YEM,TUR,35.0,2945.615,1752.640925,2025,Strategy 2
101,ZAF,TUR,24.0,7323.674,2988.058992,2025,Strategy 2
102,ZMB,TUR,40.0,6183.896,4205.04928,2025,Strategy 2
103,ZWE,TUR,101.0,6431.728,11043.276976000001,2025,Strategy 2
104,SWZ,TUR,1.0,7377.204,125.412468,2025,Strategy 2
105,ABW,USA,12.0,3007.269,613.4828759999999,2025,Strategy 2
106,BMU,USA,16.0,1322.397,359.691984,2025,Strategy 2
107,BRB,USA,2.0,3340.145,113.56493,2025,Strategy 2
108,CRI,USA,127.0,3290.809,7104.856631000001,2025,Strategy 2
109,DOM,USA,93.0,2371.688,3749.6387280000004,2025,Strategy 2
110,GRD,USA,2.0,3342.946,113.66016400000001,2025,Strategy 2
111,GTM,USA,232.0,3004.99,11851.680559999999,2025,Strategy 2
112,HND,USA,48.0,2935.833,2395.639728,2025,Strategy 2
113,JAM,USA,40.0,2326.271,1581.8642800000002,2025,Strategy 2
114,LCA,USA,2.0,3181.807,108.181438,2025,Strategy 2
115,MEX,USA,428.0,3037.916,22103.876816000004,2025,Strategy 2
116,NIC,USA,68.0,3117.858,3604.2438480000005,2025,Strategy 2
117,PAN,USA,68.0,3339.086,3859.983416,2025,Strategy 2
118,SLV,USA,69.0,3049.378,3576.9203940000007,2025,Strategy 2
119,IRL,GBR,161.0,460.4115,1260.1462755,2025,Strategy 2
0,ABW,KOR,12.0,14183.6,2893.4544000000005,2025,Strategy 3
1,AGO,KOR,37.0,12705.4,7991.6966,2025,Strategy 3
2,ALB,KOR,5.0,8562.792,727.8373200000001,2025,Strategy 3
3,AND,KOR,1.0,9559.896,162.518232,2025,Strategy 3
4,ARE,KOR,1739.0,6909.236,204257.743868,2025,Strategy 3
5,ARG,KOR,648.0,19447.35,214232.00759999998,2025,Strategy 3
6,ARM,KOR,21.0,6882.943,2457.2106510000003,2025,Strategy 3
7,AUT,KOR,3549.0,8289.029,500101.98665700003,2025,Strategy 3
8,AZE,KOR,62.0,6461.836,6810.775144,2025,Strategy 3
9,BDI,KOR,27.0,10923.19,5013.744210000001,2025,Strategy 3
10,BEN,KOR,16.0,12463.68,3390.12096,2025,Strategy 3
11,BFA,KOR,41.0,12325.82,8591.09654,2025,Strategy 3
12,BGR,KOR,26.0,8244.246,3643.956732,2025,Strategy 3
13,BHR,KOR,19.0,7136.002,2304.9286460000003,2025,Strategy 3
14,BIH,KOR,21.0,8473.069,3024.8856330000003,2025,Strategy 3
15,BLR,KOR,189.0,7292.729,23431.538277,2025,Strategy 3
16,BMU,KOR,16.0,12169.14,3310.00608,2025,Strategy 3
17,BOL,KOR,168.0,17663.53,50447.04168,2025,Strategy 3
18,BRB,KOR,2.0,14359.76,488.23184000000003,2025,Strategy 3
19,BRN,KOR,5.0,3825.485,325.166225,2025,Strategy 3
20,BWA,KOR,64.0,12595.07,13703.436160000001,2025,Strategy 3
21,CHL,KOR,32.0,18375.18,9996.09792,2025,Strategy 3
22,CIV,KOR,34.0,13048.33,7541.93474,2025,Strategy 3
23,CMR,KOR,8.0,11957.9,1626.2744,2025,Strategy 3
24,COG,KOR,22.0,12217.9,4569.4946,2025,Strategy 3
25,COL,KOR,492.0,14817.3,123931.8972,2025,Strategy 3
26,CRI,KOR,127.0,13836.1,29872.139900000002,2025,Strategy 3
27,CYP,KOR,9.0,8012.453,1225.9053090000002,2025,Strategy 3
28,DNK,KOR,3697.0,7955.016,499964.800584,2025,Strategy 3
29,DOM,KOR,93.0,13557.66,21434.66046,2025,Strategy 3
30,DZA,KOR,143.0,9954.01,24198.19831,2025,Strategy 3
31,ECU,KOR,91.0,15129.37,23405.135390000003,2025,Strategy 3
32,EGY,KOR,225.0,8497.368,32502.432600000004,2025,Strategy 3
33,EST,KOR,11.0,7122.724,1331.9493880000002,2025,Strategy 3
34,ETH,KOR,82.0,9244.567,12886.926398,2025,Strategy 3
35,FJI,KOR,30.0,8202.271,4183.1582100000005,2025,Strategy 3
36,GEO,KOR,11.0,6783.199,1268.4582130000001,2025,Strategy 3
37,GHA,KOR,134.0,12774.57,29100.47046,2025,Strategy 3
