,country,type,scrap,year,Strategy type
0,China,LFP,91306.99900766967,2025,Strategy 2
1,China,NMC111,37377.2939027401,2025,Strategy 2
2,China,NMC622,40092.55238952166,2025,Strategy 2
3,China,NMC811,19042.20780226504,2025,Strategy 2
4,China,NMC523,9031.167901999801,2025,Strategy 2
5,China,NCA,5081.3566096419745,2025,Strategy 2
6,India,LFP,0.0,2025,Strategy 2
7,India,NMC111,636.9329005428679,2025,Strategy 2
8,India,NMC622,278.33643891945525,2025,Strategy 2
9,India,NMC811,147.7429448334486,2025,Strategy 2
10,India,NMC523,646.6424897823098,2025,Strategy 2
11,India,NCA,1717.4023270998732,2025,Strategy 2
12,Japan,LFP,0.0,2025,Strategy 2
13,Japan,NMC111,979.0150014852842,2025,Strategy 2
14,Japan,NMC622,358.73796635948986,2025,Strategy 2
15,Japan,NMC811,158.63012556232567,2025,Strategy 2
16,Japan,NMC523,908.9352007280123,2025,Strategy 2
17,Japan,NCA,2190.623093880069,2025,Strategy 2
18,Korea,LFP,0.0,2025,Strategy 2
19,Korea,NMC111,1356.3956313142085,2025,Strategy 2
20,Korea,NMC622,648.4541483032697,2025,Strategy 2
21,Korea,NMC811,406.40169152591477,2025,Strategy 2
22,Korea,NMC523,1425.409007321557,2025,Strategy 2
23,Korea,NCA,4203.31884186617,2025,Strategy 2
24,Thailand,LFP,0.0,2025,Strategy 2
25,Thailand,NMC111,3997.9903744369185,2025,Strategy 2
26,Thailand,NMC622,1580.973808142864,2025,Strategy 2
27,Thailand,NMC811,754.1554597821771,2025,Strategy 2
28,Thailand,NMC523,3761.917775953352,2025,Strategy 2
29,Thailand,NCA,10117.03567514251,2025,Strategy 2
30,Viet Nam,LFP,0.0,2025,Strategy 2
31,Viet Nam,NMC111,630.4294275971235,2025,Strategy 2
32,Viet Nam,NMC622,232.18465340045665,2025,Strategy 2
33,Viet Nam,NMC811,92.23796174607374,2025,Strategy 2
34,Viet Nam,NMC523,571.6040069363997,2025,Strategy 2
35,Viet Nam,NCA,1473.543950319946,2025,Strategy 2
36,France,LFP,32.50367112073725,2025,Strategy 2
37,France,NMC111,6077.928485640664,2025,Strategy 2
38,France,NMC622,3117.885666482185,2025,Strategy 2
39,France,NMC811,1635.5687885707066,2025,Strategy 2
40,France,NMC523,6659.458076567,2025,Strategy 2
41,France,NCA,9894.610359314931,2025,Strategy 2
42,Germany,LFP,82.97527346166017,2025,Strategy 2
43,Germany,NMC111,13890.585496198993,2025,Strategy 2
44,Germany,NMC622,7340.767789986183,2025,Strategy 2
45,Germany,NMC811,4074.8453616521947,2025,Strategy 2
46,Germany,NMC523,15331.888368302578,2025,Strategy 2
47,Germany,NCA,23246.99099367587,2025,Strategy 2
48,Hungary,LFP,3.5917827361026218,2025,Strategy 2
49,Hungary,NMC111,655.9232521130557,2025,Strategy 2
50,Hungary,NMC622,326.5475387229436,2025,Strategy 2
51,Hungary,NMC811,166.92571900921845,2025,Strategy 2
52,Hungary,NMC523,703.1516085152357,2025,Strategy 2
53,Hungary,NCA,1042.3340541930154,2025,Strategy 2
54,Italy,LFP,17.577552782948484,2025,Strategy 2
55,Italy,NMC111,3082.5663653331717,2025,Strategy 2
56,Italy,NMC622,1665.7836345682147,2025,Strategy 2
57,Italy,NMC811,970.1306099800116,2025,Strategy 2
58,Italy,NMC523,3423.6618244381602,2025,Strategy 2
59,Italy,NCA,5287.98574141564,2025,Strategy 2
60,Poland,LFP,2.9042273264779284,2025,Strategy 2
61,Poland,NMC111,723.3372168013013,2025,Strategy 2
62,Poland,NMC622,346.20828240568807,2025,Strategy 2
63,Poland,NMC811,188.0703579818878,2025,Strategy 2
64,Poland,NMC523,745.9760733442803,2025,Strategy 2
65,Poland,NCA,1338.5023882796143,2025,Strategy 2
66,Slovakia,LFP,1.2977721022659305,2025,Strategy 2
67,Slovakia,NMC111,234.908011804556,2025,Strategy 2
68,Slovakia,NMC622,118.7167177055615,2025,Strategy 2
69,Slovakia,NMC811,61.92912484436833,2025,Strategy 2
70,Slovakia,NMC523,253.52907032939274,2025,Strategy 2
71,Slovakia,NCA,378.1274421398996,2025,Strategy 2
72,Spain,LFP,12.761450623769447,2025,Strategy 2
73,Spain,NMC111,2514.0487769333363,2025,Strategy 2
74,Spain,NMC622,1260.5113012677875,2025,Strategy 2
75,Spain,NMC811,651.9141200591013,2025,Strategy 2
76,Spain,NMC523,2693.7191510710873,2025,Strategy 2
77,Spain,NCA,4334.59705309614,2025,Strategy 2
78,Sweden,LFP,15.967049995949674,2025,Strategy 2
79,Sweden,NMC111,2633.3106103635723,2025,Strategy 2
80,Sweden,NMC622,1351.7842046948688,2025,Strategy 2
81,Sweden,NMC811,690.6345508063249,2025,Strategy 2
82,Sweden,NMC523,2877.735903915018,2025,Strategy 2
83,Sweden,NCA,4272.22214936539,2025,Strategy 2
84,United Kingdom,LFP,0.1993838141833355,2025,Strategy 2
85,United Kingdom,NMC111,3281.2606325382626,2025,Strategy 2
86,United Kingdom,NMC622,1663.1674316386006,2025,Strategy 2
87,United Kingdom,NMC811,1118.0235067313852,2025,Strategy 2
88,United Kingdom,NMC523,3579.517712163194,2025,Strategy 2
89,United Kingdom,NCA,10647.58440828211,2025,Strategy 2
90,Norway,LFP,0.0,2025,Strategy 2
91,Norway,NMC111,2020.69964893685,2025,Strategy 2
92,Norway,NMC622,841.210430665214,2025,Strategy 2
93,Norway,NMC811,452.92006238335586,2025,Strategy 2
94,Norway,NMC523,1950.658040662719,2025,Strategy 2
95,Norway,NCA,5410.257118682893,2025,Strategy 2
96,Russian Federation,LFP,0.0,2025,Strategy 2
97,Russian Federation,NMC111,564.5894933247178,2025,Strategy 2
98,Russian Federation,NMC622,222.79208515857673,2025,Strategy 2
99,Russian Federation,NMC811,103.22479811426224,2025,Strategy 2
100,Russian Federation,NMC523,540.0356733975586,2025,Strategy 2
101,Russian Federation,NCA,1359.7238211121537,2025,Strategy 2
102,Serbia,LFP,0.16643687306504254,2025,Strategy 2
103,Serbia,NMC111,56.55428101828622,2025,Strategy 2
104,Serbia,NMC622,25.73640561021829,2025,Strategy 2
105,Serbia,NMC811,14.239400237561785,2025,Strategy 2
106,Serbia,NMC523,56.13624997694639,2025,Strategy 2
107,Serbia,NCA,113.9834118057575,2025,Strategy 2
108,Turkey,LFP,0.01114214849567441,2025,Strategy 2
109,Turkey,NMC111,1557.0132739948797,2025,Strategy 2
110,Turkey,NMC622,687.751894774728,2025,Strategy 2
111,Turkey,NMC811,372.6286661216019,2025,Strategy 2
112,Turkey,NMC523,1568.500856030767,2025,Strategy 2
113,Turkey,NCA,4354.680132923751,2025,Strategy 2
114,USA,LFP,10.303454819175323,2025,Strategy 2
115,USA,NMC111,6557.4836137455195,2025,Strategy 2
116,USA,NMC622,3059.244422268845,2025,Strategy 2
117,USA,NMC811,2321.117000286725,2025,Strategy 2
118,USA,NMC523,7130.106790143068,2025,Strategy 2
119,USA,NCA,55317.29781894445,2025,Strategy 2
120,Canada,LFP,0.0,2025,Strategy 2
121,Canada,NMC111,1248.719152745213,2025,Strategy 2
122,Canada,NMC622,602.8156483363596,2025,Strategy 2
123,Canada,NMC811,361.7635783045187,2025,Strategy 2
124,Canada,NMC523,1322.2993451207988,2025,Strategy 2
125,Canada,NCA,3893.7313635310456,2025,Strategy 2
126,Brazil,LFP,0.0,2025,Strategy 2
127,Brazil,NMC111,775.7818942172253,2025,Strategy 2
128,Brazil,NMC622,363.7530119479138,2025,Strategy 2
129,Brazil,NMC811,230.56717156895394,2025,Strategy 2
130,Brazil,NMC523,799.1828072227552,2025,Strategy 2
131,Brazil,NCA,2281.9799763807887,2025,Strategy 2
132,Australia,LFP,0.0,2025,Strategy 2
133,Australia,NMC111,349.9995974951503,2025,Strategy 2
134,Australia,NMC622,172.7707004842578,2025,Strategy 2
135,Australia,NMC811,104.98775626896702,2025,Strategy 2
136,Australia,NMC523,375.8289336369483,2025,Strategy 2
137,Australia,NCA,1112.985128806924,2025,Strategy 2
138,Czechia,LFP,0.3282341834575253,2025,Strategy 2
139,Czechia,NMC111,57.89088938849815,2025,Strategy 2
140,Czechia,NMC622,30.770840793915575,2025,Strategy 2
141,Czechia,NMC811,16.98350211251918,2025,Strategy 2
142,Czechia,NMC523,63.99293366715537,2025,Strategy 2
143,Czechia,NCA,97.2004888368253,2025,Strategy 2
144,Netherlands,LFP,12.8804970177638,2025,Strategy 2
145,Netherlands,NMC111,2328.9292269264197,2025,Strategy 2
146,Netherlands,NMC622,1261.8284100071075,2025,Strategy 2
147,Netherlands,NMC811,569.0451761909502,2025,Strategy 2
148,Netherlands,NMC523,2694.8409958796387,2025,Strategy 2
149,Netherlands,NCA,3852.3410082025166,2025,Strategy 2
150,Belgium,LFP,7.753718640305395,2025,Strategy 2
151,Belgium,NMC111,1475.9766343528656,2025,Strategy 2
152,Belgium,NMC622,726.8099494029152,2025,Strategy 2
153,Belgium,NMC811,372.0793234325817,2025,Strategy 2
154,Belgium,NMC523,1572.4968555995474,2025,Strategy 2
155,Belgium,NCA,2343.302467165205,2025,Strategy 2
156,Finland,LFP,2.766772108627873,2025,Strategy 2
157,Finland,NMC111,496.20030730579333,2025,Strategy 2
158,Finland,NMC622,249.40428183995368,2025,Strategy 2
159,Finland,NMC811,124.57762143042324,2025,Strategy 2
160,Finland,NMC523,535.5066269543302,2025,Strategy 2
161,Finland,NCA,788.6332804185917,2025,Strategy 2
162,Switzerland,LFP,0.0,2025,Strategy 2
163,Switzerland,NMC111,545.3007601601282,2025,Strategy 2
164,Switzerland,NMC622,281.4360331488823,2025,Strategy 2
165,Switzerland,NMC811,186.57940803667356,2025,Strategy 2
166,Switzerland,NMC523,602.9387079565231,2025,Strategy 2
167,Switzerland,NCA,1807.2813146674528,2025,Strategy 2
168,Romania,LFP,1.2152636133827377,2025,Strategy 2
169,Romania,NMC111,215.03172002950495,2025,Strategy 2
170,Romania,NMC622,117.13646200286829,2025,Strategy 2
171,Romania,NMC811,70.33189768798553,2025,Strategy 2
172,Romania,NMC523,239.31959244796886,2025,Strategy 2
173,Romania,NCA,377.35264716987524,2025,Strategy 2
174,China,LFP,91306.99900766967,2025,Strategy 3
175,China,NMC111,37377.2939027401,2025,Strategy 3
176,China,NMC622,40092.55238952166,2025,Strategy 3
177,China,NMC811,19042.20780226504,2025,Strategy 3
178,China,NMC523,9031.167901999801,2025,Strategy 3
179,China,NCA,5081.3566096419745,2025,Strategy 3
180,India,LFP,0.0,2025,Strategy 3
181,India,NMC111,162.30104723622526,2025,Strategy 3
182,India,NMC622,86.73121297134391,2025,Strategy 3
183,India,NMC811,61.84620896309075,2025,Strategy 3
184,India,NMC523,184.6976811729158,2025,Strategy 3
185,India,NCA,554.4809508343792,2025,Strategy 3
186,Japan,LFP,0.0,2025,Strategy 3
187,Japan,NMC111,979.0150014852842,2025,Strategy 3
188,Japan,NMC622,358.73796635948986,2025,Strategy 3
189,Japan,NMC811,158.63012556232567,2025,Strategy 3
190,Japan,NMC523,908.9352007280123,2025,Strategy 3
191,Japan,NCA,2190.623093880069,2025,Strategy 3
