,country,type,recycling_m,scrap,year,Strategy type
396,Australia,LFP,Direct,0.0,2025,Strategy 2
411,Australia,NCA,Direct,1112.985128806924,2025,Strategy 2
399,Australia,NMC111,Direct,349.9995974951503,2025,Strategy 2
408,Australia,NMC523,Direct,375.8289336369483,2025,Strategy 2
402,Australia,NMC622,Direct,172.7707004842578,2025,Strategy 2
405,Australia,NMC811,Direct,104.98775626896702,2025,Strategy 2
450,Belgium,LFP,Direct,7.753718640305395,2025,Strategy 2
465,Belgium,NCA,Direct,2343.302467165205,2025,Strategy 2
454,Belgium,NMC111,Hydro,1475.9766343528656,2025,Strategy 2
463,Belgium,NMC523,Hydro,1572.4968555995474,2025,Strategy 2
456,Belgium,NMC622,Direct,726.8099494029152,2025,Strategy 2
459,Belgium,NMC811,Direct,372.0793234325817,2025,Strategy 2
378,Brazil,LFP,Direct,0.0,2025,Strategy 2
393,Brazil,NCA,Direct,2281.9799763807887,2025,Strategy 2
381,Brazil,NMC111,Direct,775.7818942172253,2025,Strategy 2
391,Brazil,NMC523,Hydro,799.1828072227552,2025,Strategy 2
384,Brazil,NMC622,Direct,363.7530119479138,2025,Strategy 2
387,Brazil,NMC811,Direct,230.56717156895394,2025,Strategy 2
360,Canada,LFP,Direct,0.0,2025,Strategy 2
375,Canada,NCA,Direct,3893.7313635310456,2025,Strategy 2
364,Canada,NMC111,Hydro,1248.719152745213,2025,Strategy 2
373,Canada,NMC523,Hydro,1322.2993451207988,2025,Strategy 2
366,Canada,NMC622,Direct,602.8156483363596,2025,Strategy 2
369,Canada,NMC811,Direct,361.7635783045187,2025,Strategy 2
0,China,LFP,Direct,91306.99900766967,2025,Strategy 2
15,China,NCA,Direct,5081.3566096419745,2025,Strategy 2
4,China,NMC111,Hydro,37377.2939027401,2025,Strategy 2
13,China,NMC523,Hydro,9031.167901999801,2025,Strategy 2
6,China,NMC622,Direct,40092.55238952166,2025,Strategy 2
9,China,NMC811,Direct,19042.20780226504,2025,Strategy 2
414,Czechia,LFP,Direct,0.3282341834575253,2025,Strategy 2
429,Czechia,NCA,Direct,97.2004888368253,2025,Strategy 2
417,Czechia,NMC111,Direct,57.89088938849815,2025,Strategy 2
426,Czechia,NMC523,Direct,63.99293366715537,2025,Strategy 2
420,Czechia,NMC622,Direct,30.770840793915575,2025,Strategy 2
423,Czechia,NMC811,Direct,16.98350211251918,2025,Strategy 2
468,Finland,LFP,Direct,2.766772108627873,2025,Strategy 2
483,Finland,NCA,Direct,788.6332804185917,2025,Strategy 2
471,Finland,NMC111,Direct,496.20030730579333,2025,Strategy 2
481,Finland,NMC523,Hydro,535.5066269543302,2025,Strategy 2
474,Finland,NMC622,Direct,249.40428183995368,2025,Strategy 2
477,Finland,NMC811,Direct,124.57762143042324,2025,Strategy 2
108,France,LFP,Direct,32.50367112073725,2025,Strategy 2
123,France,NCA,Direct,9894.610359314931,2025,Strategy 2
112,France,NMC111,Hydro,6077.928485640664,2025,Strategy 2
121,France,NMC523,Hydro,6659.458076567,2025,Strategy 2
114,France,NMC622,Direct,3117.885666482185,2025,Strategy 2
117,France,NMC811,Direct,1635.5687885707066,2025,Strategy 2
126,Germany,LFP,Direct,82.97527346166017,2025,Strategy 2
141,Germany,NCA,Direct,23246.99099367587,2025,Strategy 2
130,Germany,NMC111,Hydro,13890.585496198993,2025,Strategy 2
139,Germany,NMC523,Hydro,15331.888368302578,2025,Strategy 2
133,Germany,NMC622,Hydro,7340.767789986183,2025,Strategy 2
135,Germany,NMC811,Direct,4074.8453616521947,2025,Strategy 2
144,Hungary,LFP,Direct,3.5917827361026218,2025,Strategy 2
159,Hungary,NCA,Direct,1042.3340541930154,2025,Strategy 2
147,Hungary,NMC111,Direct,655.9232521130557,2025,Strategy 2
157,Hungary,NMC523,Hydro,703.1516085152357,2025,Strategy 2
150,Hungary,NMC622,Direct,326.5475387229436,2025,Strategy 2
153,Hungary,NMC811,Direct,166.92571900921845,2025,Strategy 2
18,India,LFP,Direct,0.0,2025,Strategy 2
33,India,NCA,Direct,1717.4023270998732,2025,Strategy 2
21,India,NMC111,Direct,636.9329005428679,2025,Strategy 2
31,India,NMC523,Hydro,646.6424897823098,2025,Strategy 2
