iso3,recycling_unit_cost
AUS,3.5243014399999995
BEL,3.57814464
BRA,3.10302464
CAN,3.19958144
CHE,3.5105439999999994
CHN,1.7364985600000002
CZE,3.37229632
DEU,3.45020352
ESP,3.38908096
FIN,3.4385024
FRA,3.4476767999999995
GBR,3.4
HUN,3.35569216
IND,1.7339718400000002
ITA,3.40363968
JPN,2.4746105599999995
KOR,2.4535545599999997
NLD,3.447376
NOR,3.4735155199999994
POL,3.35385728
ROM,3.34302848
RUS,1.7275648
SVK,3.36026432
SWE,3.4503539199999995
THA,1.73255808
TUR,3.3307257599999995
USA,3.2241568
VNM,1.73291904
YUG,3.33406464
