source_iso3,destination_iso3,transport_cost_per_kg
ABW,AUS,0.4606296
ABW,BEL,0.23541209999999999
ABW,BRA,0.11966745
ABW,CAN,0.11090349
ABW,CHE,0.24168996
ABW,CHN,0.4246605
ABW,CZE,0.25682697
ABW,DEU,0.25423818
ABW,ESP,0.21364572
ABW,FIN,0.27262689
ABW,FRA,0.23057651999999998
ABW,GBR,0.22623729
ABW,HUN,0.26782908
ABW,IND,0.4277451
ABW,ITA,0.25440398999999997
ABW,JPN,0.4144752
ABW,KOR,0.425508
ABW,NLD,0.23690688
ABW,NOR,0.24903375
ABW,POL,0.26970068999999997
ABW,ROM,0.28584357
ABW,RUS,0.29827425
ABW,SVK,0.26336223000000003
ABW,SWE,0.26146161
ABW,THA,0.5079062999999999
ABW,TUR,0.3059172
ABW,USA,0.09021806999999998
ABW,VNM,0.48815879999999995
ABW,YUG,0.27248574000000003
AFG,AUS,0.3409632
AFG,BEL,0.16248363000000002
AFG,BRA,0.4041024
AFG,CAN,0.3138381
AFG,CHE,0.15741128999999998
AFG,CHN,0.12541314
AFG,CZE,0.14124072000000001
AFG,DEU,0.14350709999999997
AFG,ESP,0.18871479
AFG,FIN,0.12764382
AFG,FRA,0.16771143
AFG,GBR,0.17154234
AFG,HUN,0.13103082
AFG,IND,0.030116789999999997
AFG,ITA,0.14807981999999997
AFG,JPN,0.18834047999999998
AFG,KOR,0.15395664
AFG,NLD,0.16084199999999998
AFG,NOR,0.15043805999999998
AFG,POL,0.12803931
AFG,ROM,0.11441805
AFG,RUS,0.10102578
AFG,SVK,0.1352631
AFG,SWE,0.13791546
AFG,THA,0.11710245
AFG,TUR,0.09762759
AFG,USA,0.33465209999999995
AFG,VNM,0.11652309
AFG,YUG,0.1277628
AGO,AUS,0.39852689999999996
AGO,BEL,0.20088687
AGO,BRA,0.20024118
AGO,CAN,0.3190533
AGO,CHE,0.18706155000000002
AGO,CHN,0.3530853
AGO,CZE,0.19680714
AGO,DEU,0.20490126
AGO,ESP,0.17256756
AGO,FIN,0.23238704999999998
AGO,FRA,0.19530966
AGO,GBR,0.20512782
AGO,HUN,0.18888011999999998
AGO,IND,0.24077903999999997
AGO,ITA,0.16935729
AGO,JPN,0.41585249999999996
AGO,KOR,0.381162
AGO,NLD,0.20568395999999997
AGO,NOR,0.22965135
AGO,POL,0.20516136000000001
AGO,ROM,0.18199773
AGO,RUS,0.22607561999999998
AGO,SVK,0.19067253
AGO,SWE,0.22797605999999998
AGO,THA,0.29867162999999997
AGO,TUR,0.17372277
AGO,USA,0.3196167
AGO,VNM,0.31912949999999995
AGO,YUG,0.18051878999999998
AIA,AUS,0.4901199
AIA,BEL,0.20630363999999998
AIA,BRA,0.12397449
AIA,CAN,0.09738015
AIA,CHE,0.21230411999999999
AIA,CHN,0.40690350000000003
AIA,CZE,0.22764942
AIA,DEU,0.22528017
AIA,ESP,0.18416162999999997
AIA,FIN,0.24480882
AIA,FRA,0.20131709999999997
AIA,GBR,0.19722611999999998
AIA,HUN,0.23849583
AIA,IND,0.39884459999999994
AIA,ITA,0.22490625
AIA,JPN,0.40715789999999996
AIA,KOR,0.4123056
AIA,NLD,0.20794515
AIA,NOR,0.22111101
AIA,POL,0.24075305999999996
AIA,ROM,0.25641227999999994
AIA,RUS,0.27005046
AIA,SVK,0.23405925
AIA,SWE,0.23344146
AIA,THA,0.4813995
AIA,TUR,0.27642239999999996
AIA,USA,0.07992650999999999
AIA,VNM,0.4651059
AIA,YUG,0.24304247999999998
ALB,AUS,0.4686153
ALB,BEL,0.04767321
ALB,BRA,0.28244547
ALB,CAN,0.21765909
ALB,CHE,0.03503952
ALB,CHN,0.23058236999999998
ALB,CZE,0.03182766
ALB,DEU,0.04010232
ALB,ESP,0.059311829999999996
ALB,FIN,0.06367424999999999
ALB,FRA,0.04810602
ALB,GBR,0.05686035
ALB,HUN,0.020671074
ALB,IND,0.1596732
ALB,ITA,0.018352878
ALB,JPN,0.28505618999999993
ALB,KOR,0.25688376
ALB,NLD,0.049944449999999994
ALB,NOR,0.06481311
ALB,POL,0.03654939
ALB,ROM,0.018528831
ALB,RUS,0.061910339999999994
ALB,SVK,0.023661882000000002
ALB,SWE,0.060209939999999997
ALB,THA,0.24723575999999997
ALB,TUR,0.03332442
ALB,USA,0.23311259999999998
ALB,VNM,0.24518958
ALB,YUG,0.011804493
AND,AUS,0.5141304
AND,BEL,0.028575
AND,BRA,0.24663335999999994
AND,CAN,0.17841057000000002
AND,CHE,0.020455305
AND,CHN,0.26293779
AND,CZE,0.03907059
AND,DEU,0.042831810000000005
AND,ESP,0.014787821999999999
AND,FIN,0.07578237
AND,FRA,0.021346455
AND,GBR,0.030287309999999998
AND,HUN,0.044548319999999995
AND,IND,0.20401827
AND,ITA,0.027270899999999997
AND,JPN,0.310644
AND,KOR,0.28679688
AND,NLD,0.03376389
AND,NOR,0.06115071
AND,POL,0.054520229999999996
AND,ROM,0.059777159999999996
AND,RUS,0.08919009
AND,SVK,0.04124948999999999
AND,SWE,0.06575547
AND,THA,0.29125455
AND,TUR,0.07875632999999999
AND,USA,0.19174376999999998
AND,VNM,0.28681269000000004
AND,YUG,0.04643652
ANT,AUS,0.4625757
ANT,BEL,0.23410881
ANT,BRA,0.11614743
ANT,CAN,0.11291361
ANT,CHE,0.2401062
ANT,CHN,0.42653669999999994
ANT,CZE,0.25546752
ANT,DEU,0.25304631
ANT,ESP,0.21164751
ANT,FIN,0.27201656999999996
ANT,FRA,0.22914078
ANT,GBR,0.22500567000000002
ANT,HUN,0.26631257999999997
ANT,IND,0.4266117
ANT,ITA,0.25248726
ANT,JPN,0.4176276
ANT,KOR,0.42803459999999993
ANT,NLD,0.23571062999999998
ANT,NOR,0.24837254999999997
ANT,POL,0.26851746000000004
ANT,ROM,0.28418286
ANT,RUS,0.29749512
ANT,SVK,0.26188065
ANT,SWE,0.26076327
ANT,THA,0.5079369
ANT,TUR,0.30406110000000003
ANT,USA,0.09252297
ANT,VNM,0.4891314
ANT,YUG,0.27080289
ARE,AUS,0.35887979999999997
ARE,BEL,0.15479910000000002
ARE,BRA,0.35872229999999994
ARE,CAN,0.3228933
ARE,CHE,0.14492211
ARE,CHN,0.17899281
ARE,CZE,0.13384121999999998
ARE,DEU,0.13924824000000002
ARE,ESP,0.16904001
ARE,FIN,0.13710951
ARE,FRA,0.15748605
ARE,GBR,0.16451235
ARE,HUN,0.12092211
ARE,IND,0.06938612999999999
ARE,ITA,0.12911927999999998
ARE,JPN,0.24188666999999997
ARE,KOR,0.20727707999999997
ARE,NLD,0.15512447999999998
ARE,NOR,0.15524780999999999
ARE,POL,0.12544883999999998
ARE,ROM,0.10159107
ARE,RUS,0.11217585
ARE,SVK,0.12569246999999997
ARE,SWE,0.14389131
ARE,THA,0.14903388
ARE,TUR,0.07947849
ARE,USA,0.3407736
ARE,VNM,0.15796562999999997
ARE,YUG,0.11399688000000001
ARG,AUS,0.35201639999999995
ARG,BEL,0.3398028
ARG,BRA,0.07059771
ARG,CAN,0.27241635
ARG,CHE,0.3364353
ARG,CHN,0.5789241
ARG,CZE,0.3551049
ARG,DEU,0.35802959999999995
ARG,ESP,0.3019755
ARG,FIN,0.38913899999999996
ARG,FRA,0.33216749999999995
ARG,GBR,0.3344244
ARG,HUN,0.3587124
ARG,IND,0.4745376
ARG,ITA,0.33520679999999997
ARG,JPN,0.5511612
ARG,KOR,0.5834204999999999
ARG,NLD,0.3440025
ARG,NOR,0.36812219999999996
ARG,POL,0.37054739999999997
ARG,ROM,0.3674811
ARG,RUS,0.4051608
ARG,SVK,0.35639699999999996
ARG,SWE,0.3775509
ARG,THA,0.5067054
