,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Australia,28989222.803295933,1648.3990719964843,17.5862892037334,baseline,baseline
1,Belgium,51470490.62805166,4197.1823704736,12.26310559916029,baseline,baseline
2,Brazil,42260501.101040065,3322.8090743295024,12.718305552830374,baseline,baseline
3,Canada,51242295.18179756,4787.459664331645,10.703441652693538,baseline,baseline
4,China,144837429.54942316,108013.20086564208,1.3409234092561226,baseline,baseline
5,Czechia,8114312.441606367,142.9075689166703,56.780144698548746,baseline,baseline
6,Finland,28201316.549939506,1424.3384807531943,19.79958902397032,baseline,baseline
7,France,112874720.74190646,17668.13023273544,6.38860588274206,baseline,baseline
8,Germany,183633581.18577176,42535.666735744,4.317167104176574,baseline,baseline
9,Hungary,41388093.03538011,2871.6354167886,14.412725512929192,baseline,baseline
10,India,39216705.78417438,2938.675543420088,13.345027446797754,baseline,baseline
11,Italy,79270593.90721782,9343.883571457092,8.483688104736979,baseline,baseline
12,Japan,39127973.50577104,2961.624630436982,13.211658595639712,baseline,baseline
13,Korea,50301296.901979774,5188.785874021375,9.694232547506461,baseline,baseline
14,Netherlands,67147768.59604828,6907.881208486198,9.72045791892868,baseline,baseline
15,Norway,64745023.546868384,7040.181472177718,9.196499238369917,baseline,baseline
16,Poland,37925534.438673116,2508.983463132132,15.115896535773949,baseline,baseline
17,Romania,23001364.199003562,963.9302181208031,23.862063629299925,baseline,baseline
18,Russian Federation,32468666.63714761,1670.7000044552783,19.43416924077511,baseline,baseline
19,Serbia,10362887.835376197,227.36817763562968,45.57756473724,baseline,baseline
20,Slovakia,22697034.136054296,948.7594447239429,23.922854483581315,baseline,baseline
21,Spain,76115285.19905782,8841.24961410621,8.609109404355682,baseline,baseline
22,Sweden,71137073.23449767,7630.762139914541,9.322407372967119,baseline,baseline
23,Switzerland,34158148.73760176,2206.1267427260486,15.483312031018443,baseline,baseline
24,Thailand,72646152.1239232,19014.406597690588,3.820584762963179,baseline,baseline
25,Turkey,62015807.70827174,6692.00603321031,9.267147608730012,baseline,baseline
26,USA,158129491.60026193,48369.70361777389,3.2691846294910065,baseline,baseline
27,United Kingdom,90682061.5280652,13131.968481638083,6.905443129479208,baseline,baseline
28,Viet Nam,39180014.4213457,2999.9999999999995,13.060004807115236,baseline,baseline
