,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,-1121943.8352005277,0.1008485134412852,-11125.040884749702,baseline,baseline
1,Albania,-530703.2312841389,0.9989571497758343,-531.2572530295504,baseline,baseline
2,Algeria,-3012085.410233741,24.314535905198728,-123.88002888386295,baseline,baseline
3,Andorra,-211546.25769375893,0.2297193299728053,-920.8901041057461,baseline,baseline
4,Angola,-1589898.0680129305,6.321644522070921,-251.5007072071323,baseline,baseline
5,Argentina,-6602868.300527196,116.54014376977113,-56.65745799637401,baseline,baseline
6,Armenia,-1026725.1191003781,3.6024034596811925,-285.0111406430977,baseline,baseline
7,Aruba,-906627.6933622315,2.081061580326,-435.6563505536474,baseline,baseline
8,Australia,-10360818.095328141,424.1372303296427,-24.427985459507138,baseline,baseline
9,Austria,-17557565.970712826,1148.420632398157,-15.28844525724754,baseline,baseline
10,Azerbaijan,-1817102.1673951466,10.602990454855782,-171.37638434475627,baseline,baseline
11,Bahamas,0.0,0.0,,baseline,baseline
12,Bahrain,-961617.0398696396,3.323303887452607,-289.35573526703337,baseline,baseline
13,Bangladesh,-1065195.7366647788,0.1668645421184985,-6383.595478950419,baseline,baseline
14,Barbados,-435768.2669229198,0.5047478449690962,-863.3385387699876,baseline,baseline
15,Belarus,-3568474.104338577,32.05378111043765,-111.32771176179828,baseline,baseline
16,Belgium,-21313542.909716047,2085.5573552906258,-10.219590871307382,baseline,baseline
17,Benin,-1284738.3615665103,3.918094937367454,-327.89873193570924,baseline,baseline
18,Bermuda,-946536.622204225,2.8080973840064565,-337.0740016337157,baseline,baseline
19,Bolivia (Plurinational State of),-3341579.422848422,28.602403160904665,-116.82862464563384,baseline,baseline
20,Bosnia Herzegovina,-1003303.8270867586,3.5799859770621056,-280.2535634259981,baseline,baseline
21,Botswana,-2150719.003916607,10.992649971769355,-195.65064014955,baseline,baseline
22,Brazil,-12980242.927102793,648.9034382867271,-20.003350516024373,baseline,baseline
23,Brunei Darussalam,-2729518.5787811135,0.96735989080478,-2821.6164477424563,baseline,baseline
24,Bulgaria,-1447282.1536528368,4.597125935176625,-314.82325567338,baseline,baseline
25,Burkina Faso,-1746753.6781665469,7.0444642305794005,-247.96118214129652,baseline,baseline
26,Burundi,-1410895.188194225,4.7893743705665415,-294.58862035613396,baseline,baseline
27,C?te d'Ivoire,-1550215.3280875464,5.959378076347748,-260.13038747117184,baseline,baseline
28,Cabo Verde,-197697.88221923102,0.1118760056487423,-1767.1160234299402,baseline,baseline
29,Cambodia,-5904995.5793748535,10.657382186598031,-554.0756140659531,baseline,baseline
30,Cameroon,-719667.461379302,1.3708810649998855,-524.967103093923,baseline,baseline
31,Canada,-17583744.120520864,2392.6982076248523,-7.348918498992663,baseline,baseline
32,Cayman Isds,-45710.00336450864,0.0139554299817514,-3275.427802961328,baseline,baseline
33,Chile,-1480155.140769025,5.540866829991157,-267.1342203637454,baseline,baseline
34,China,250916104.86883563,69771.66402027293,3.596246533491435,baseline,baseline
35,Colombia,-5645961.487431284,83.86760609385176,-67.31993138224537,baseline,baseline
36,Comoros,-49459.548564505036,0.014134192881787001,-3499.2835443923705,baseline,baseline
37,Congo,-1278273.6435829597,3.819388393459078,-334.6801927167388,baseline,baseline
38,Costa Rica,-2897994.7590210848,21.770973211156413,-133.11277961317887,baseline,baseline
39,Croatia,-1098541.2513598092,3.7882038965045854,-289.990000900808,baseline,baseline
40,Cyprus,-1013737.6668236844,3.100298456871775,-326.98067006315046,baseline,baseline
41,Czechia,-5101078.7130523585,71.49653688433244,-71.34721393995511,baseline,baseline
42,Denmark,-19724906.531638183,1633.0223939196107,-12.078772835621743,baseline,baseline
43,Dominican Rep.,-2489335.7786036553,15.78574887033228,-157.6951336963247,baseline,baseline
44,Ecuador,-2473490.3241274096,15.522375125250521,-159.34999020244905,baseline,baseline
45,Egypt,-3902712.0808370346,38.27917529435099,-101.95392274851265,baseline,baseline
46,El Salvador,-2166396.7133294344,11.823367433872837,-183.2300929025441,baseline,baseline
