,country,total_netprofits,scrap,net_profit
0,Australia,-13525031.993198924,848.3990719964843,-15.941827896359333
1,Belgium,-24410128.266951423,4170.1823704736,-5.853491789659839
2,Brazil,-15706688.502744766,1297.8090743295022,-12.102464694862334
3,Canada,-15349542.937391136,4787.459664331645,-3.206197861415092
4,China,437454274.4078099,108013.20086564208,4.0500075074338415
5,Czechia,-7183082.752482548,142.9075689166703,-50.263837016715456
6,Finland,-18949248.5654433,1400.3384807531943,-13.53190591124165
7,France,1834362.2400458318,17668.13023273544,0.10382322384329797
8,Germany,79495868.12173438,38838.666735744,2.0468227877805276
9,Hungary,-4220423.23525408,48.63541678859987,-86.77674653429405
10,India,-18361012.841194905,561.6755434200883,-32.68971393946263
11,Italy,-18228806.97934358,9248.883571457092,-1.970919715715674
12,Japan,-17782952.980992675,2961.624630436982,-6.004458768418885
13,Korea,201426606.12094143,48384.785874021385,4.1630153462989865
14,Netherlands,-23201528.751340844,6907.881208486198,-3.3587040730865807
15,Norway,-14827510.219527824,6588.181472177718,-2.250622615989751
16,Poland,-19208881.635704335,1514.983463132132,-12.679268192136693
17,Romania,-4908856.990220272,64.93021812080315,-75.60204065674486
18,Russian Federation,-20372463.358546,1287.7000044552783,-15.820814854438042
19,Serbia,-3841667.4377734307,45.36817763562968,-84.67757882248274
20,Slovakia,-8067948.994076103,180.7594447239428,-44.633623467905295
21,Spain,-23290176.441121604,4759.249614106209,-4.893665667816736
22,Sweden,-23345142.956289306,7630.762139914541,-3.0593461738476826
23,Switzerland,-17881213.294990223,2206.1267427260486,-8.105252045897831
24,Thailand,-20355198.192385204,1377.4065976905883,-14.777915414746447
25,Turkey,-17943672.356072944,2126.0060332103108,-8.440085341139719
26,USA,265666975.53287652,47162.70361777389,5.632988678637931
27,United Kingdom,9214955.902243037,12970.968481638083,0.7104292879354291
28,Viet Nam,-17266336.245282713,2999.9999999999995,-5.755445415094238
