,country,type,recycling_m,scrap,unit_cost,net_profit
0,Afghanistan,LFP,Direct,0.0,0.0,0.0
1,Afghanistan,NCA,Direct,0.0584962434366631,6726.809305077635,-6716.26241736716
2,Afghanistan,NMC111,Direct,0.0148361288149257,16805.942652100184,-16800.60603308253
3,Afghanistan,NMC523,Direct,0.018400235809918,14556.50933310666,-14556.39851028528
4,Afghanistan,NMC622,Direct,0.0091159053797784,23261.412357306417,-23252.82948986041
5,Afghanistan,NMC811,Direct,0.0,0.0,0.0
6,Albania,LFP,Direct,0.0,0.0,0.0
7,Albania,NCA,Direct,0.3638393788257763,425.31325119038496,-414.7985189660646
8,Albania,NMC111,Direct,0.2168882249935723,538.3745718140896,-533.0714830820144
9,Albania,NMC523,Direct,0.2395810432657457,514.5082778304856,-514.4301811380922
10,Albania,NMC622,Direct,0.1151633952666245,718.3833353747713,-709.8329684588083
11,Albania,NMC811,Direct,0.0634851074241155,942.3456979893683,-932.0575524220326
12,Algeria,LFP,Direct,0.0,0.0,0.0
13,Algeria,NCA,Direct,10.247685558044946,104.77651433183851,-94.22962662136351
14,Algeria,NMC111,Direct,8.845856361145286,112.56718902410715,-107.23057000645515
15,Algeria,NMC523,Direct,4.065364994928371,164.44851516914835,-164.33769234776835
16,Algeria,NMC622,Direct,1.0412233672089728,319.48148112373315,-310.8986136777281
17,Algeria,NMC811,Direct,0.1144056238711532,937.6866079063363,-927.3670276264363
18,Andorra,LFP,Direct,0.0,0.0,0.0
19,Andorra,NCA,Direct,0.1026923973015743,756.8981331935877,-746.3512454831127
20,Andorra,NMC111,Direct,0.0772107430938612,861.938292631118,-856.601673613466
21,Andorra,NMC523,Direct,0.0387109690382336,1180.6033509548563,-1180.4925281334763
22,Andorra,NMC622,Direct,0.0111052205391362,2085.5157408830573,-2076.9328734370524
23,Andorra,NMC811,Direct,0.0,0.0,0.0
24,Angola,LFP,Direct,0.0,0.0,0.0
25,Angola,NCA,Direct,3.1690870763780654,185.68058330325755,-175.13369559278254
26,Angola,NMC111,Direct,1.5008904388211115,267.3126573407357,-261.9760383230837
27,Angola,NMC523,Direct,1.1305179939168872,306.9188890562326,-306.8080662348526
28,Angola,NMC622,Direct,0.4529797425713821,479.3797788966134,-470.7969114506084
29,Angola,NMC811,Direct,0.0681692703834744,1206.9482339774381,-1196.628653697538
30,Argentina,LFP,Direct,0.0,0.0,0.0
31,Argentina,NCA,Direct,49.66482545084222,47.83882252291586,-37.3004817145476
32,Argentina,NMC111,Direct,31.76329136402265,59.31398952775561,-53.986282832780326
33,Argentina,NMC523,Direct,22.93291988820314,69.37528026039621,-69.27315601752429
34,Argentina,NMC622,Direct,8.783176245402162,110.07694032574044,-101.50271149422726
35,Argentina,NMC811,Direct,3.395930821300964,173.86355953143257,-163.55233457260434
36,Armenia,LFP,Direct,0.0,0.0,0.0
37,Armenia,NCA,Direct,1.85125128172335,207.09935948831836,-196.55247177784335
38,Armenia,NMC111,Direct,0.7077230474468102,322.2040121599563,-316.86739314230425
39,Armenia,NMC523,Direct,0.6441023975124245,336.4609286475526,-336.3501058261726
40,Armenia,NMC622,Direct,0.2776970872087017,495.3183801250222,-486.7355126790172
41,Armenia,NMC811,Direct,0.1216296457899063,723.910435886627,-713.590855606727
42,Aruba,LFP,Direct,0.0,0.0,0.0
43,Aruba,NCA,Direct,0.946610918269072,321.4183579817848,-310.8714702713098
44,Aruba,NMC111,Direct,0.5040541278259202,435.23347807238866,-429.89685905473664
45,Aruba,NMC523,Direct,0.3940147809897849,489.9752124155281,-489.8643895941481
46,Aruba,NMC622,Direct,0.1496179805601732,780.6485511479293,-772.0656837019243
47,Aruba,NMC811,Direct,0.0867637726810498,1014.5792816589211,-1004.2597013790211
48,Australia,LFP,Direct,0.0,0.0,0.0
49,Australia,NCA,Direct,225.60625394336088,22.538375773589923,-12.045206822625245
50,Australia,NMC111,Direct,66.13896378030253,38.81058602697719,-33.52998250038493
