,country,total_netprofits,scrap,net_profit
0,Australia,-28310597.994626306,3255.1007904311573,-8.697303038311265
1,Belgium,-17014850.748298727,8000.0,-2.126856343537341
2,Brazil,5496320.785540712,10000.0,0.5496320785540711
3,Canada,36665717.42694617,15770.411715487859,2.3249689411049035
4,China,1438243972.0061142,313690.84071772505,4.584909042021789
5,Czechia,-29575531.241766565,763.7831610136666,-38.72241854941518
6,Finland,-32146566.175456338,3676.5888207142248,-8.743584812731779
7,France,296332390.19119525,58334.663103842875,5.079868030842779
8,Germany,886445694.6316134,142693.68813798807,6.212227788060254
9,Hungary,-23106515.60591829,275.6575528274959,-83.82326320794897
10,India,-37048502.88880164,2493.8632280780853,-14.855867984930896
11,Italy,289442067.69207346,57005.1417469621,5.077472993170802
12,Japan,28549694.18782357,13988.717113984048,2.0409086805596637
13,Korea,469356345.90880084,71697.27518306139,6.54636239257928
14,Netherlands,24437139.445003085,16467.23967328867,1.483985168725169
15,Norway,1699444.4803794734,11021.322880914542,0.15419605239243792
16,Poland,-7860943.303927735,9589.989393170792,-0.8197030238141513
17,Romania,-24880752.659956302,350.2713490654338,-71.03279422179733
18,Russian Federation,-37461347.99810481,2450.668397151868,-15.28617582111144
19,Serbia,-15451192.90031376,85.8893626620141,-179.89646705280873
20,Slovakia,-31153886.590630524,969.7961733534531,-32.12415912397722
21,Spain,252269473.3409614,50885.97662242233,4.957544103217658
22,Sweden,26979068.192042626,17418.333956481718,1.5488891336822237
23,Switzerland,-18842968.977131143,6731.700032470053,-2.799139724919846
24,Thailand,-37016889.4818755,2502.4021935099217,-14.792541973420683
25,Turkey,-24846290.682342604,4553.541823478767,-5.45647578204537
26,USA,1038571937.1143136,153035.52417813046,6.786476164223383
27,United Kingdom,206911025.38228133,42125.87660887782,4.9117322187350245
28,Viet Nam,-26714582.685189586,4000.0000000000005,-6.678645671297396
