,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,0.0,0.0,,baseline,baseline
1,Albania,-6108677.617714469,5.434382714662575,-1124.0793919855096,baseline,baseline
2,Algeria,-13049154.876397485,27.80929015229925,-469.23725147003046,baseline,baseline
3,Andorra,-1711893.4368799205,0.2731895177024374,-6266.321824047962,baseline,baseline
4,Angola,-7509207.995297174,6.004441363221776,-1250.6089311309372,baseline,baseline
5,Argentina,-26243031.95024734,180.7815645408651,-145.16431482876777,baseline,baseline
6,Armenia,-5552426.978529574,4.645022883981438,-1195.3497576249536,baseline,baseline
7,Aruba,-7214682.566498699,3.8229464295705258,-1887.204725311624,baseline,baseline
8,Australia,-46615685.12091618,1627.4968784571395,-28.64256499533668,baseline,baseline
9,Austria,-64802433.647827715,3857.7465893243475,-16.79800166946096,baseline,baseline
10,Azerbaijan,-10353294.337389534,23.21950700754485,-445.88777591295883,baseline,baseline
11,Bahamas,0.0,0.0,,baseline,baseline
12,Bahrain,-3400752.5522255036,2.52789806426085,-1345.2886413044007,baseline,baseline
13,Bangladesh,-19281971.279484015,0.1710199845791443,-112746.88935877397,baseline,baseline
14,Barbados,-4734574.85526882,1.1201179567720427,-4226.853811819001,baseline,baseline
15,Belarus,-18233754.85565364,77.0496348374991,-236.64946490803482,baseline,baseline
16,Belgium,-305378220.0345057,6245.194295356048,-48.8981135881691,baseline,baseline
17,Benin,-10255679.102053411,13.25273361078788,-773.8538631535737,baseline,baseline
18,Bermuda,0.0,0.0,,baseline,baseline
19,Bolivia (Plurinational State of),-18332173.496576164,62.2361929583586,-294.55807987551515,baseline,baseline
20,Bosnia Herzegovina,-6633264.402004344,7.981359564015874,-831.094545835343,baseline,baseline
21,Botswana,-11786171.431292733,19.813514631815227,-594.8551607480724,baseline,baseline
22,Brazil,-277064461.48689073,7309.573918040587,-37.90432446453199,baseline,baseline
23,Brunei Darussalam,-27743213.78835722,1.7638759900205674,-15728.551182350253,baseline,baseline
24,Bulgaria,-13162239.464596907,24.89983102134381,-528.6075818472184,baseline,baseline
25,Burkina Faso,-11985538.917537734,20.51080700303629,-584.352381442791,baseline,baseline
26,Burundi,-8322356.277337333,7.159390536845326,-1162.439209665527,baseline,baseline
27,C?te d'Ivoire,-8942432.01930689,9.125554366870434,-979.9330166473662,baseline,baseline
28,Cabo Verde,-2327262.50945095,0.1951927024195796,-11922.897119628715,baseline,baseline
