,country,type,recycling_m,scrap,unit_cost,net_profit
0,Afghanistan,LFP,Pyro,0.0,0.0,0.0
1,Afghanistan,NCA,Pyro,0.0,0.0,0.0
2,Afghanistan,NMC111,Pyro,0.0,0.0,0.0
3,Afghanistan,NMC523,Pyro,0.0,0.0,0.0
4,Afghanistan,NMC622,Pyro,0.0,0.0,0.0
5,Afghanistan,NMC811,Pyro,0.0,0.0,0.0
6,Albania,LFP,Pyro,0.0636885851119945,6323.564033838033,-6322.806546145386
7,Albania,NCA,Pyro,19.22720731253641,200.35326016465953,-195.34625001624465
8,Albania,NMC111,Pyro,10.915134119199294,282.12686690634945,-277.6007238740899
9,Albania,NMC523,Pyro,12.271309473382946,262.8430830750088,-258.6684134848161
10,Albania,NMC622,Pyro,6.079031714813601,401.8969365528918,-397.33894208182204
11,Albania,NMC811,Pyro,3.7836213823818055,535.309763514301,-530.7949437924656
12,Algeria,LFP,Pyro,0.0,0.0,0.0
13,Algeria,NCA,Pyro,43.70821996308512,136.4683596117616,-131.4375958171976
14,Algeria,NMC111,Pyro,13.528690595695826,291.63751438902597,-287.08944764778596
15,Algeria,NMC523,Pyro,13.88454437418022,286.77513349655476,-282.57782794920075
16,Algeria,NMC622,Pyro,6.520666307016905,467.8419526453615,-463.2609604694815
17,Algeria,NMC811,Pyro,4.926094035860544,561.0041417648542,-556.4652948449533
18,Andorra,LFP,Pyro,0.0,0.0,0.0
19,Andorra,NCA,Pyro,0.3750669210327729,2164.907821236771,-2159.877057442207
20,Andorra,NMC111,Pyro,0.1218354465081582,4272.247177327442,-4267.699110586202
21,Andorra,NMC523,Pyro,0.1149590019756684,4424.959136797442,-4420.761831250088
22,Andorra,NMC622,Pyro,0.0537176998303219,7009.127660790741,-7004.546668614861
23,Andorra,NMC811,Pyro,0.0399562012387015,8382.376048314423,-8377.837201394523
24,Angola,LFP,Pyro,0.0,0.0,0.0
25,Angola,NCA,Pyro,3.765199667403329,667.6468829082057,-662.6161191136417
26,Angola,NMC111,Pyro,1.294254045375571,1333.118330767631,-1328.570264026391
27,Angola,NMC523,Pyro,1.1390375472473402,1448.094045231405,-1443.896739684051
28,Angola,NMC622,Pyro,0.5204392073045766,2404.799550587847,-2400.218558411967
29,Angola,NMC811,Pyro,0.290967542340721,3504.3415198505295,-3499.8026729306284
30,Argentina,LFP,Pyro,0.0,0.0,0.0
31,Argentina,NCA,Pyro,256.1659348284609,43.85583069401151,-38.831380599303834
32,Argentina,NMC111,Pyro,72.39142272100683,100.84096682103555,-96.29872738383852
33,Argentina,NMC523,Pyro,80.46079299979695,94.0582251664767,-89.86693623815373
34,Argentina,NMC622,Pyro,39.653451602978144,149.9233509007338,-145.34847149611613
35,Argentina,NMC811,Pyro,30.932364575474967,176.5793996844111,-172.04693917424365
36,Armenia,LFP,Pyro,0.0,0.0,0.0
37,Armenia,NCA,Pyro,0.0,0.0,0.0
38,Armenia,NMC111,Pyro,0.4306887079642529,2074.2819761126916,-2069.733909371452
39,Armenia,NMC523,Pyro,0.0,0.0,0.0
40,Armenia,NMC622,Pyro,0.0,0.0,0.0
41,Armenia,NMC811,Pyro,4.603037884288496,488.70162347198226,-484.16277655208125
42,Aruba,LFP,Pyro,0.0,0.0,0.0
43,Aruba,NCA,Pyro,1.8746243562030696,1119.7260947866594,-1114.6953309920953
44,Aruba,NMC111,Pyro,0.5062651316916207,2652.7875489709245,-2648.2394822296847
