,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,14536366.6193825,0.0568842041662729,255543.11310909098,baseline,baseline
1,Albania,19989405.313929096,107.66466217702265,185.66356787580347,baseline,baseline
2,Algeria,21882575.553811915,111.02228781290296,197.1007442279417,baseline,baseline
3,Andorra,2848907.3995536277,0.9278680107941687,3070.3800178596825,baseline,baseline
4,Angola,9579101.521241609,10.814872015793034,885.7341545284289,baseline,baseline
5,Argentina,40950181.8045485,622.054494248968,65.83053765086825,baseline,baseline
6,Armenia,4820770.277974465,4.652683165496804,1036.1269199940702,baseline,baseline
7,Aruba,5872811.54395806,2.8935002588428764,2029.656477828215,baseline,baseline
8,Australia,677681225.149151,11163.802477499705,60.703441010802216,baseline,baseline
9,Austria,135774403.97715473,13135.280289432889,10.336620230813267,baseline,baseline
10,Azerbaijan,19958926.425266918,121.15924415789334,164.73300542595555,baseline,baseline
11,Bahamas,0.0,0.0,,baseline,baseline
12,Bahrain,3178957.880166063,1.1714804847310596,2713.6242742412105,baseline,baseline
13,Bangladesh,23250037.21475318,0.48973628879171077,47474.60571508033,baseline,baseline
14,Barbados,0.0,0.0,,baseline,baseline
15,Belarus,32790154.83748066,369.150788593401,88.82591030733836,baseline,baseline
16,Belgium,61047248.600678235,18378.175216304044,3.32172524650438,baseline,baseline
17,Benin,23037288.907630082,128.39416258509385,179.42629511962434,baseline,baseline
18,Bermuda,3829637.38171594,0.9969660139813695,3841.2918073529286,baseline,baseline
19,Bolivia (Plurinational State of),30637839.615465984,265.883380565172,115.23036735256265,baseline,baseline
20,Bosnia Herzegovina,11209031.474276248,29.52770434202673,379.6106647655115,baseline,baseline
21,Botswana,18452991.42318294,68.43073149104744,269.65942086410524,baseline,baseline
22,Brazil,52802724.68835712,331910.27832515846,0.15908734419073498,baseline,baseline
23,Brunei Darussalam,31194344.00903269,4.278772440701547,7290.489139431324,baseline,baseline
24,Bulgaria,38900154.55061607,487.93749522630213,79.72364274357403,baseline,baseline
25,Burkina Faso,21493476.6646268,105.42326465601336,203.87792708524142,baseline,baseline
26,Burundi,15191194.47562186,39.27394864691352,386.80079286643655,baseline,baseline
27,C?te d'Ivoire,15354850.974320764,40.677446716889435,377.4782395067429,baseline,baseline
28,Cabo Verde,4273814.689502802,1.0779984733541323,3964.583248624708,baseline,baseline
29,Cambodia,49433049.3470908,138.36551474686294,357.264231897143,baseline,baseline
30,Cameroon,2898794.157005107,0.5476750927924872,5292.908505706783,baseline,baseline
31,Canada,192245229.07913586,51724.67288013091,3.716702656093227,baseline,baseline
32,Cayman Isds,0.0,0.0,,baseline,baseline
33,Chile,24582416.96800129,139.31665339339023,176.44995317672183,baseline,baseline
34,China,195357968.33250862,1405307.4265107822,0.1390143997300008,baseline,baseline
35,Colombia,39687065.68080618,567.7720950458598,69.89964111850301,baseline,baseline
36,Comoros,2888425.6271730834,0.3549306232940973,8138.0006052048075,baseline,baseline
37,Congo,5252179.18300017,2.8799031688422745,1823.734644908757,baseline,baseline
38,Costa Rica,25708148.63646198,158.9685207589552,161.71848686598386,baseline,baseline
39,Croatia,33618384.65505535,400.86445161867607,83.86471915707551,baseline,baseline
40,Cyprus,29651102.00114154,281.49228723716465,105.33539761307816,baseline,baseline
41,Czechia,34330175.284308076,6868.395592234271,4.998281596232369,baseline,baseline
42,Denmark,114501100.77531163,8749.025533625061,13.087297589343,baseline,baseline
43,Dominican Rep.,28784819.697029576,221.35129107674078,130.04134539721343,baseline,baseline
