,country,total_netprofits,scrap,net_profit
0,Argentina,-56311932.76007895,3164.0,-17.797703147938986
1,Australia,-66039355.52619454,12000.0,-5.503279627182878
2,Belgium,-76255401.08156864,9000.0,-8.472822342396515
3,Brazil,1577432088.7107768,410936.99999999994,3.838622681118461
4,Canada,234848015.15136695,103455.83196352275,2.2700316714302917
5,China,5512873841.247033,2124815.372628912,2.594518993161402
6,Czechia,-43747739.98793727,1000.0000000000001,-43.747739987937265
7,Finland,-72987725.45669067,6999.999999999998,-10.426817922384384
8,France,128939985.14570816,94000.0,1.371701969635193
9,Germany,463730077.12534845,188999.99999999997,2.4535982916685106
10,Hungary,211414062.95560163,114425.0321895349,1.8476207426834106
11,India,49285276.125667796,31753.37743773136,1.552127052384164
12,Italy,141828481.07153463,96999.99999999999,1.4621492893972645
13,Japan,886441930.180847,261173.8091707956,3.394069003301763
14,Korea,4524826005.73083,1092836.3355420334,4.14044249680495
15,Netherlands,-53184190.23847413,30000.000000000004,-1.7728063412824708
16,Norway,-67839699.46343662,12015.99219022401,-5.645784250644716
17,Paraguay,-34270581.52666674,439.00000000000006,-78.06510598329552
18,Poland,80713444.41925742,74000.0,1.0907222218818569
19,Romania,-43969387.401194334,1000.0000000000001,-43.969387401194325
20,Russian Federation,-42727294.07547187,9102.718384664648,-4.6939048611516485
21,Serbia,-27876749.808532506,327.6826530996246,-85.07240021661202
22,Slovakia,-43833237.432884276,1000.0,-43.833237432884275
23,Spain,175320235.72349665,104000.0,1.685771497341314
24,Sweden,314860888.1734446,160594.41052538922,1.960596804978257
25,Switzerland,-60599252.45732375,20914.105350072972,-2.8975302286651394
26,Thailand,-42290206.50383963,9245.605974711782,-4.5740870441061565
27,Turkey,-65099757.672450945,10000.0,-6.509975767245094
28,USA,2473055522.097955,606000.0,4.0809497064322695
29,United Kingdom,348595673.983443,143000.0,2.437731985898203
30,Uruguay,-28175691.228275806,231.0,-121.97268929989526
31,Viet Nam,-55714536.63930766,5000.0,-11.142907327861533
