,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Hydro,0.0,baseline,baseline
1,Afghanistan,NCA,Hydro,-175562.82450432618,baseline,baseline
2,Afghanistan,NMC111,Hydro,-626117.9369939222,baseline,baseline
3,Afghanistan,NMC523,Hydro,-512855.2506641094,baseline,baseline
4,Afghanistan,NMC622,Hydro,-983333.1749271869,baseline,baseline
5,Afghanistan,NMC811,Hydro,0.0,baseline,baseline
6,Albania,LFP,Hydro,-4704.443209623421,baseline,baseline
7,Albania,NCA,Hydro,-104.13651795721826,baseline,baseline
8,Albania,NMC111,Hydro,-154.9311649428615,baseline,baseline
9,Albania,NMC523,Hydro,-143.4944791421176,baseline,baseline
10,Albania,NMC622,Hydro,-231.08369160719553,baseline,baseline
11,Albania,NMC811,Hydro,-318.12663881468785,baseline,baseline
12,Algeria,LFP,Hydro,0.0,baseline,baseline
13,Algeria,NCA,Hydro,-87.60411089716537,baseline,baseline
14,Algeria,NMC111,Hydro,-222.21997706623077,baseline,baseline
15,Algeria,NMC523,Hydro,-207.52769101704874,baseline,baseline
16,Algeria,NMC622,Hydro,-350.93733262466344,baseline,baseline
17,Algeria,NMC811,Hydro,-421.7716485145251,baseline,baseline
18,Andorra,LFP,Hydro,0.0,baseline,baseline
19,Andorra,NCA,Hydro,-1961.6626933599716,baseline,baseline
20,Andorra,NMC111,Hydro,-4344.125504095009,baseline,baseline
21,Andorra,NMC523,Hydro,-4246.047842887497,baseline,baseline
22,Andorra,NMC622,Hydro,-6877.750740217342,baseline,baseline
23,Andorra,NMC811,Hydro,-8187.98894303439,baseline,baseline
24,Angola,LFP,Hydro,0.0,baseline,baseline
25,Angola,NCA,Hydro,-477.2256115407281,baseline,baseline
26,Angola,NMC111,Hydro,-1118.185921501844,baseline,baseline
27,Angola,NMC523,Hydro,-1102.7212438196734,baseline,baseline
28,Angola,NMC622,Hydro,-1857.4943299404515,baseline,baseline
29,Angola,NMC811,Hydro,-2424.0233780060785,baseline,baseline
30,Argentina,LFP,Hydro,0.0,baseline,baseline
31,Argentina,NCA,Hydro,-20.50265877010666,baseline,baseline
32,Argentina,NMC111,Hydro,-64.5869024500915,baseline,baseline
