,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,-5203293.914487235,0.0076095929745741,-683780.8450298167,baseline,baseline
1,Albania,-30212369.336723384,864.5882586401749,-34.94422811644634,baseline,baseline
2,Algeria,-22491567.22895347,215.53029003909023,-104.35455371434904,baseline,baseline
3,Andorra,-3955887.2943672943,1.6631831176160712,-2378.5037573237746,baseline,baseline
4,Angola,-14712883.499985423,44.511788769180086,-330.53903037418723,baseline,baseline
5,Argentina,-31360705.369732384,1130.1407738003456,-27.74937963195076,baseline,baseline
6,Armenia,-3044053.0195969804,0.6310341174718325,-4823.911949155202,baseline,baseline
7,Aruba,-4240591.351673921,0.47465597290297973,-8934.03136958039,baseline,baseline
8,Australia,256690392.17899865,28483.840452917186,9.011790127223156,baseline,baseline
9,Austria,14118733.932366475,14418.468557515384,0.9792117572020035,baseline,baseline
10,Azerbaijan,-22613603.71074427,325.8463628218053,-69.39958916500446,baseline,baseline
11,Bahamas,-362086.7347805577,0.0037331344750923,-96992.68461836089,baseline,baseline
12,Bahrain,-2974444.254914557,0.6791268843310685,-4379.806371300331,baseline,baseline
13,Bangladesh,-31997930.324215204,0.8754181688571454,-36551.59495488695,baseline,baseline
14,Barbados,-2651684.5626641843,0.0878032470904728,-30200.301817219566,baseline,baseline
15,Belarus,-29909876.4624933,978.540370875644,-30.565807352157105,baseline,baseline
16,Belgium,171466455.12920737,19809.70603625787,8.655678929075014,baseline,baseline
17,Benin,-28056900.60607661,592.0550988882167,-47.38900257554223,baseline,baseline
18,Bermuda,-3087868.428134652,0.4196469645353589,-7358.252743597463,baseline,baseline
19,Bolivia (Plurinational State of),-29185217.068953805,634.8571334573878,-45.97131469565939,baseline,baseline
20,Bosnia Herzegovina,-13763560.8790869,67.62895494372424,-203.5158001560117,baseline,baseline
21,Botswana,-19591288.780354533,125.52102244655731,-156.0797418511776,baseline,baseline
22,Brazil,4987500318.853332,611233.9131178388,8.159724471786303,baseline,baseline
23,Brunei Darussalam,-37550500.82868293,7.378767646241239,-5088.993532383587,baseline,baseline
24,Bulgaria,-32044998.832529176,3638.235109918807,-8.807841677181854,baseline,baseline
25,Burkina Faso,-24582966.507355716,312.5740972011945,-78.64684478807726,baseline,baseline
26,Burundi,-18128597.302699406,93.89003613726418,-193.0832924187609,baseline,baseline
27,C?te d'Ivoire,-17657063.67102694,85.40351613324616,-206.74867347942063,baseline,baseline
28,Cabo Verde,-6580554.139275052,2.8623770040710785,-2298.982324800582,baseline,baseline
29,Cambodia,-47013103.78548138,412.6364025947314,-113.93348596937784,baseline,baseline
30,Cameroon,-3188305.732313635,0.45158128296352357,-7060.314172877644,baseline,baseline
31,Canada,575120217.1298654,152772.625469611,3.7645501958350933,baseline,baseline
32,Cayman Isds,0.0,0.0,,baseline,baseline
33,Chile,-28458522.999029223,546.0812190598173,-52.11408487555383,baseline,baseline
34,China,19154428128.551006,3978700.3382666516,4.814242466145557,baseline,baseline
35,Colombia,-31375698.368684813,1131.8230140475735,-27.72138221194185,baseline,baseline
36,Comoros,-5174440.641144747,1.2817580263082746,-4036.9871184253043,baseline,baseline
37,Congo,-4373617.519329566,0.794339233282583,-5505.981998718259,baseline,baseline
38,Costa Rica,-26031915.45260557,346.2833649851491,-75.17518334651157,baseline,baseline
39,Croatia,-33178565.415419295,2857.224315824161,-11.612166826267892,baseline,baseline
40,Cyprus,-32580112.838032328,1234.5486017497497,-26.390303947415195,baseline,baseline
41,Czechia,252137247.28312135,34656.081471476275,7.275411315345712,baseline,baseline
42,Denmark,-15623240.684696876,8320.938251039848,-1.877581615600197,baseline,baseline
43,Dominican Rep.,-29330729.24595104,654.5890993896755,-44.80784857752499,baseline,baseline
44,Ecuador,-27133652.78739967,424.03862308848045,-63.98863525631703,baseline,baseline
45,Egypt,-29990073.85287792,2666.125926176861,-11.248558651497277,baseline,baseline
46,El Salvador,-6661780.815616764,2.2873985155152083,-2912.3831157669,baseline,baseline
47,Estonia,-31797208.809178267,1337.8528260737903,-23.767344351690646,baseline,baseline
48,Eswatini,-8153828.908334882,5.879751006520392,-1386.7643203415648,baseline,baseline
49,Ethiopia,-23032896.00019856,237.32662690132847,-97.05146152763878,baseline,baseline
50,Fiji,-4696901.073608098,0.9541598999983736,-4922.5513183022085,baseline,baseline
51,Finland,-268722964.1728995,8808.300998665496,-30.507922494203186,baseline,baseline
52,France,200329158.77497756,112428.86061350637,1.7818303741745072,baseline,baseline
53,French Polynesia,-20199137.158371236,140.99697166312936,-143.25936876595557,baseline,baseline
54,Georgia,-10560507.57449471,25.697913275940458,-410.9480587430394,baseline,baseline
55,Germany,738892690.6624753,120412.59363433497,6.136340629837445,baseline,baseline
56,Ghana,-7435511.071418428,5.662216860997996,-1313.1802002560316,baseline,baseline
57,Greece,41219718.28462015,18405.417489683867,2.239542694846426,baseline,baseline
58,Greenland,-3226495.9056532755,0.4181268966599127,-7716.547133004876,baseline,baseline
59,Grenada,-13514698.957697261,26.288712601553442,-514.0875159059199,baseline,baseline
60,Guatemala,-31368881.315238904,1133.0646232537906,-27.684988721259117,baseline,baseline
61,Guinea,-5366152.707146983,1.4994924401897964,-3578.6460560399814,baseline,baseline
62,Guyana,-29585872.323160134,691.9714556494284,-42.75591439735506,baseline,baseline
63,Honduras,-20724373.004951686,130.6538141825147,-158.6204974927185,baseline,baseline
64,Hungary,-10571094.124755502,9265.109834888304,-1.1409572377598198,baseline,baseline
65,Iceland,-23212687.38566508,456.46957515824397,-50.85264965932934,baseline,baseline
66,India,685661550.0398284,93255.62612541615,7.352495270555653,baseline,baseline
67,Indonesia,37965881.35343672,12575.654864922797,3.0189983552534305,baseline,baseline
68,Iran,-37727569.497426264,21.98895648145084,-1715.750791960137,baseline,baseline
69,Ireland,-16503482.559007112,8298.576659680739,-1.9887124305533654,baseline,baseline
70,Israel,30814016.901967037,14985.528025258605,2.0562516616050495,baseline,baseline
71,Italy,68399207.45029755,95276.87707667229,0.7178993429355851,baseline,baseline
72,Jamaica,-5577054.562675125,1.377092118729016,-4049.8776275202667,baseline,baseline
73,Japan,56346185.12680139,17126.30534384269,3.290037401269338,baseline,baseline
74,Jordan,-25678359.79061967,553.4635994859099,-46.39575179735626,baseline,baseline
75,Kazakhstan,-29190595.158908118,750.409053929801,-38.89957751181242,baseline,baseline
76,Kenya,-21780314.444069605,4991.114834955738,-4.363817536621106,baseline,baseline
77,Kiribati,-4551836.467958635,0.8372795602107861,-5436.459558158454,baseline,baseline
