,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,,,baseline,baseline
1,Afghanistan,NCA,,,baseline,baseline
2,Afghanistan,NMC111,,,baseline,baseline
3,Afghanistan,NMC523,,,baseline,baseline
4,Afghanistan,NMC622,,,baseline,baseline
5,Afghanistan,NMC811,,,baseline,baseline
6,Albania,LFP,,,baseline,baseline
7,Albania,NCA,,,baseline,baseline
8,Albania,NMC111,,,baseline,baseline
9,Albania,NMC523,,,baseline,baseline
10,Albania,NMC622,,,baseline,baseline
11,Albania,NMC811,,,baseline,baseline
12,Algeria,LFP,,,baseline,baseline
13,Algeria,NCA,,,baseline,baseline
14,Algeria,NMC111,,,baseline,baseline
15,Algeria,NMC523,,,baseline,baseline
16,Algeria,NMC622,,,baseline,baseline
17,Algeria,NMC811,,,baseline,baseline
18,Andorra,LFP,,,baseline,baseline
19,Andorra,NCA,,,baseline,baseline
20,Andorra,NMC111,,,baseline,baseline
21,Andorra,NMC523,,,baseline,baseline
22,Andorra,NMC622,,,baseline,baseline
23,Andorra,NMC811,,,baseline,baseline
24,Angola,LFP,Pyro,0.0,baseline,baseline
25,Angola,NCA,Pyro,-13.605703279750768,baseline,baseline
26,Angola,NMC111,Pyro,-40.736789755216854,baseline,baseline
27,Angola,NMC523,Pyro,-35.23427970135031,baseline,baseline
28,Angola,NMC622,Pyro,-57.560902547039234,baseline,baseline
29,Angola,NMC811,Pyro,-67.46626643830234,baseline,baseline
30,Argentina,LFP,Pyro,0.0,baseline,baseline
31,Argentina,NCA,Pyro,1.1100627923374826,baseline,baseline
32,Argentina,NMC111,Pyro,-5.105485579571828,baseline,baseline
33,Argentina,NMC523,Pyro,-4.203957332790015,baseline,baseline
34,Argentina,NMC622,Pyro,-8.757049393986609,baseline,baseline
35,Argentina,NMC811,Pyro,-10.949884822404337,baseline,baseline
36,Armenia,LFP,,,baseline,baseline
37,Armenia,NCA,,,baseline,baseline
38,Armenia,NMC111,,,baseline,baseline
39,Armenia,NMC523,,,baseline,baseline
40,Armenia,NMC622,,,baseline,baseline
41,Armenia,NMC811,,,baseline,baseline
42,Aruba,LFP,Pyro,0.0,baseline,baseline
43,Aruba,NCA,Pyro,-748.0639983961246,baseline,baseline
44,Aruba,NMC111,Pyro,-2122.8283723588074,baseline,baseline
45,Aruba,NMC523,Pyro,-1608.8071282170604,baseline,baseline
46,Aruba,NMC622,Pyro,-2628.5206247673505,baseline,baseline
47,Aruba,NMC811,Pyro,-3144.1846054746197,baseline,baseline
48,Australia,LFP,Pyro,0.0,baseline,baseline
49,Australia,NCA,Pyro,3.3518098975582027,baseline,baseline
50,Australia,NMC111,Pyro,0.8150403745752994,baseline,baseline
51,Australia,NMC523,Pyro,0.9060083505616008,baseline,baseline
52,Australia,NMC622,Pyro,-0.3903934298527735,baseline,baseline
53,Australia,NMC811,Pyro,-1.1470021103347987,baseline,baseline
54,Austria,LFP,,,baseline,baseline
55,Austria,NCA,,,baseline,baseline
56,Austria,NMC111,,,baseline,baseline
57,Austria,NMC523,,,baseline,baseline
58,Austria,NMC622,,,baseline,baseline
59,Austria,NMC811,,,baseline,baseline
60,Azerbaijan,LFP,,,baseline,baseline
61,Azerbaijan,NCA,,,baseline,baseline
62,Azerbaijan,NMC111,,,baseline,baseline
63,Azerbaijan,NMC523,,,baseline,baseline
64,Azerbaijan,NMC622,,,baseline,baseline
65,Azerbaijan,NMC811,,,baseline,baseline
