,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
0,China,LFP,Direct,48840.11376920251,2025,Strategy 2,baseline,baseline,0.025,1221.0028442300627,0.7925,967.6447540523246,967.6447540523246,253.35809017773806,2.252335332,110004.3138612745
1,China,NCA,Direct,2718.0176504974925,2025,Strategy 2,baseline,baseline,0.025,67.95044126243731,0.7925,53.850724700481564,53.850724700481564,14.099716561955745,2.452491446,6665.915037922117
2,China,NMC111,Direct,19993.114508575683,2025,Strategy 2,baseline,baseline,0.0375,749.7417940715881,0.7925,594.1703718017335,594.1703718017335,155.57142226985457,2.557347078,51129.33296862543
3,China,NMC523,Direct,4830.771710779693,2025,Strategy 2,baseline,baseline,0.035,169.0770098772893,0.7925,133.99353032775176,133.99353032775176,35.08347954953754,2.496014242,12057.67498995682
4,China,NMC622,Direct,21445.50627315514,2025,Strategy 2,baseline,baseline,0.0325,696.978953877542,0.7925,552.355820947952,552.355820947952,144.62313292959004,2.478807863,53159.28957591279
5,China,NMC811,Direct,10185.676953431568,2025,Strategy 2,baseline,baseline,0.0275,280.1061162193681,0.7925,221.98409710384922,221.98409710384922,58.122019115518896,2.397518212,24420.345997400862
6,India,LFP,Direct,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
7,India,NCA,Direct,1459.5132368668035,2025,Strategy 2,baseline,baseline,0.025,36.48783092167009,0.7925,28.916606005423546,28.916606005423546,7.571224916246543,2.452491446,3579.443728739607
8,India,NMC111,Direct,561.4466834732996,2025,Strategy 2,baseline,baseline,0.0375,21.054250630248735,0.7925,16.685493624472123,16.685493624472123,4.368757005776612,2.557347078,1435.8140354332334
9,India,NMC523,Direct,560.7395982687867,2025,Strategy 2,baseline,baseline,0.035,19.62588593940754,0.7925,15.553514606980475,15.553514606980475,4.072371332427064,2.496014242,1399.6140233322503
10,India,NMC622,Direct,237.99775176648322,2025,Strategy 2,baseline,baseline,0.0325,7.734926932410705,0.7925,6.129929593935484,6.129929593935484,1.6049973384752212,2.478807863,589.9506984550808
11,India,NMC811,Direct,118.97827304471511,2025,Strategy 2,baseline,baseline,0.0275,3.2719025087296654,0.7925,2.5929827381682595,2.5929827381682595,0.6789197705614058,2.397518212,285.25257645701316
12,Japan,LFP,Direct,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
13,Japan,NCA,Direct,1411.637521696316,2025,Strategy 2,baseline,baseline,0.025,35.2909380424079,0.7925,27.96806839860826,27.96806839860826,7.322869643799642,2.452491446,3462.0289468128544
14,Japan,NMC111,Direct,630.877266957117,2025,Strategy 2,baseline,baseline,0.0375,23.657897510891885,0.7925,18.74888377738182,18.74888377738182,4.909013733510065,2.557347078,1613.372135229409
15,Japan,NMC523,Direct,585.7178433491309,2025,Strategy 2,baseline,baseline,0.035,20.500124517219586,0.7925,16.24634867989652,16.24634867989652,4.253775837323065,2.496014242,1461.960078792956
16,Japan,NMC622,Direct,231.17074552205523,2025,Strategy 2,baseline,baseline,0.0325,7.513049229466795,0.7925,5.954091514352435,5.954091514352435,1.55895771511436,2.478807863,573.0278616956425
17,Japan,NMC811,Direct,102.22125291236263,2025,Strategy 2,baseline,baseline,0.0275,2.8110844550899725,0.7925,2.227784430658803,2.227784430658803,0.5833000244311695,2.397518212,245.07731551084746
18,Korea,LFP,Direct,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
19,Korea,NCA,Direct,2712.3949173931487,2025,Strategy 2,baseline,baseline,0.025,67.80987293482872,0.7925,53.739324300851756,53.739324300851756,14.070548633976962,2.452491446,6652.125333080573
20,Korea,NMC111,Direct,875.8809646895382,2025,Strategy 2,baseline,baseline,0.0375,32.84553617585768,0.7925,26.030087419367213,26.030087419367213,6.815448756490468,2.557347078,2239.931625724612
21,Korea,NMC523,Direct,919.9949437874415,2025,Strategy 2,baseline,baseline,0.035,32.19982303256045,0.7925,25.518359753304157,25.518359753304157,6.681463279256295,2.496014242,2296.3204822614434
22,Korea,NMC622,Direct,418.43516728325085,2025,Strategy 2,baseline,baseline,0.0325,13.599142936705652,0.7925,10.777320777339229,10.777320777339229,2.821822159366423,2.478807863,1037.2203828174427
23,Korea,NMC811,Direct,262.0798808679954,2025,Strategy 2,baseline,baseline,0.0275,7.207196723869874,0.7925,5.711703403666875,5.711703403666875,1.495493320202999,2.397518212,628.3412873798094
24,Thailand,LFP,Direct,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
25,Thailand,NCA,Direct,9528.865769461894,2025,Strategy 2,baseline,baseline,0.025,238.22164423654738,0.7925,188.7906530574638,188.7906530574638,49.43099117908358,2.452491446,23369.461789687502
26,Thailand,NMC111,Direct,3757.4297139245523,2025,Strategy 2,baseline,baseline,0.0375,140.9036142721707,0.7925,111.66611431069528,111.66611431069528,29.23749996147542,2.557347078,9609.051899695329
27,Thailand,NMC523,Direct,3536.4071515340147,2025,Strategy 2,baseline,baseline,0.035,123.77425030369052,0.7925,98.09109336567474,98.09109336567474,25.683156938015784,2.496014242,8826.922615739553
28,Thailand,NMC622,Direct,1487.0316081657074,2025,Strategy 2,baseline,baseline,0.0325,48.328527265385496,0.7925,38.30035785781801,38.30035785781801,10.02816940756749,2.478807863,3686.065642850691
29,Thailand,NMC811,Direct,704.6723546044176,2025,Strategy 2,baseline,baseline,0.0275,19.378489751621483,0.7925,15.357453128160024,15.357453128160024,4.021036623461459,2.397518212,1689.4648036570134
30,Viet Nam,LFP,Direct,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
31,Viet Nam,NCA,Direct,1473.543950319946,2025,Strategy 2,baseline,baseline,0.025,36.838598757998646,0.7925,29.194589515713925,29.194589515713925,7.644009242284721,2.452491446,3613.853933464716
