,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
0,China,LFP,Hydro,48840.11376920251,2025,Strategy 2,baseline,baseline,0.025,1221.0028442300627,0.8658,1057.1442625343882,1057.1442625343882,163.8585816956745,0.8018847791,39164.143841035824
1,China,NCA,Hydro,2718.0176504974925,2025,Strategy 2,baseline,baseline,0.025,67.95044126243731,0.8658,58.83149204501822,58.83149204501822,9.118949217419086,2.249491865,6114.158593720523
2,China,NMC111,Hydro,19993.114508575683,2025,Strategy 2,baseline,baseline,0.0375,749.7417940715881,0.8658,649.1264453071809,649.1264453071809,100.61534876440714,2.414310695,48269.590184413944
3,China,NMC523,Hydro,4830.771710779693,2025,Strategy 2,baseline,baseline,0.035,169.0770098772893,0.8658,146.38687515175707,146.38687515175707,22.690134725532232,2.357900841,11390.480679526449
4,China,NMC622,Hydro,21445.50627315514,2025,Strategy 2,baseline,baseline,0.0325,696.978953877542,0.8658,603.4443782671759,603.4443782671759,93.53457561036612,2.337983546,50139.240802276494
5,China,NMC811,Hydro,10185.676953431568,2025,Strategy 2,baseline,baseline,0.0275,280.1061162193681,0.8658,242.51587542272893,242.51587542272893,37.59024079663919,2.2614716749999997,23034.619920885783
6,India,LFP,Hydro,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.8658,0.0,0.0,0.0,0.8018847791,0.0
7,India,NCA,Hydro,1459.5132368668035,2025,Strategy 2,baseline,baseline,0.025,36.48783092167009,0.8658,31.591164011981963,31.591164011981963,4.8966669096881255,2.249491865,3283.1631531916923
8,India,NMC111,Hydro,561.4466834732996,2025,Strategy 2,baseline,baseline,0.0375,21.054250630248735,0.8658,18.228770195669355,18.228770195669355,2.8254804345793794,2.414310695,1355.506732581867
9,India,NMC523,Hydro,560.7395982687867,2025,Strategy 2,baseline,baseline,0.035,19.62588593940754,0.8658,16.992092046339046,16.992092046339046,2.6337938930684928,2.357900841,1322.1683703399744
10,India,NMC622,Hydro,237.99775176648322,2025,Strategy 2,baseline,baseline,0.0325,7.734926932410705,0.8658,6.696899738081188,6.696899738081188,1.0380271943295165,2.337983546,556.4348276150301
11,India,NMC811,Hydro,118.97827304471511,2025,Strategy 2,baseline,baseline,0.0275,3.2719025087296654,0.8658,2.8328131920581443,2.8328131920581443,0.43908931667152107,2.2614716749999997,269.0659944310392
12,Japan,LFP,Hydro,0.0,2025,Strategy 2,baseline,baseline,0.025,0.0,0.8658,0.0,0.0,0.0,0.8018847791,0.0
13,Japan,NCA,Hydro,1411.637521696316,2025,Strategy 2,baseline,baseline,0.025,35.2909380424079,0.8658,30.554894157116763,30.554894157116763,4.736043885291139,2.249491865,3175.467121384624
