,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Direct,0.0,high_collection,baseline
1,Afghanistan,NCA,Direct,-5297.652938837319,high_collection,baseline
2,Afghanistan,NMC111,Direct,-13256.419114642282,high_collection,baseline
3,Afghanistan,NMC523,Direct,-11486.592131402842,high_collection,baseline
4,Afghanistan,NMC622,Direct,-18347.25560520196,high_collection,baseline
5,Afghanistan,NMC811,Direct,0.0,high_collection,baseline
6,Albania,LFP,Direct,0.0,high_collection,baseline
7,Albania,NCA,Direct,-351.29702520975826,high_collection,baseline
8,Albania,NMC111,Direct,-452.6893425892815,high_collection,baseline
9,Albania,NMC523,Direct,-437.61140321199514,high_collection,baseline
10,Albania,NMC622,Direct,-602.5745777120896,high_collection,baseline
11,Albania,NMC811,Direct,-791.3604091054997,high_collection,baseline
12,Algeria,LFP,Direct,0.0,high_collection,baseline
13,Algeria,NCA,Direct,-77.58289222704131,high_collection,baseline
14,Algeria,NMC111,Direct,-89.3460649802142,high_collection,baseline
15,Algeria,NMC523,Direct,-138.21036055954505,high_collection,baseline
16,Algeria,NMC622,Direct,-260.1398783438942,high_collection,baseline
17,Algeria,NMC811,Direct,-778.3887951812053,high_collection,baseline
18,Andorra,LFP,Direct,0.0,high_collection,baseline
19,Andorra,NCA,Direct,-633.3423939022402,high_collection,baseline
20,Andorra,NMC111,Direct,-727.9097766301402,high_collection,baseline
21,Andorra,NMC523,Direct,-1004.2222706009289,high_collection,baseline
22,Andorra,NMC622,Direct,-1765.5544613426605,high_collection,baseline
23,Andorra,NMC811,Direct,0.0,high_collection,baseline
24,Angola,LFP,Direct,0.0,high_collection,baseline
25,Angola,NCA,Direct,-145.63304487784566,high_collection,baseline
26,Angola,NMC111,Direct,-219.50580694185612,high_collection,baseline
27,Angola,NMC523,Direct,-258.04525656036617,high_collection,baseline
28,Angola,NMC622,Direct,-394.6337759980682,high_collection,baseline
29,Angola,NMC811,Direct,-1004.8705406619586,high_collection,baseline
30,Argentina,LFP,Direct,0.0,high_collection,baseline
31,Argentina,NCA,Direct,-29.79338529030251,high_collection,baseline
32,Argentina,NMC111,Direct,-44.67844841695147,high_collection,baseline
33,Argentina,NMC523,Direct,-58.386455824927715,high_collection,baseline
34,Argentina,NMC622,Direct,-84.22891248474363,high_collection,baseline
35,Argentina,NMC811,Direct,-136.26883474482918,high_collection,baseline
36,Armenia,LFP,Direct,0.0,high_collection,baseline
37,Armenia,NCA,Direct,-165.38218257489268,high_collection,baseline
38,Armenia,NMC111,Direct,-268.37283349619696,high_collection,baseline
39,Armenia,NMC523,Direct,-285.7097538842386,high_collection,baseline
40,Armenia,NMC622,Direct,-412.1857062760435,high_collection,baseline
41,Armenia,NMC811,Direct,-604.6359187137763,high_collection,baseline
42,Aruba,LFP,Direct,0.0,high_collection,baseline
43,Aruba,NCA,Direct,-260.4329670089031,high_collection,baseline
44,Aruba,NMC111,Direct,-361.5979437671822,high_collection,baseline
45,Aruba,NMC523,Direct,-412.97514000337156,high_collection,baseline
46,Aruba,NMC622,Direct,-649.5625860534095,high_collection,baseline
47,Aruba,NMC811,Direct,-845.0470766576173,high_collection,baseline
48,Australia,LFP,Direct,0.0,high_collection,baseline
49,Australia,NCA,Direct,-10.617540520151357,high_collection,baseline
50,Australia,NMC111,Direct,-31.071572612885138,high_collection,baseline
51,Australia,NMC523,Direct,-34.39260002941974,high_collection,baseline
52,Australia,NMC622,Direct,-39.54355154190804,high_collection,baseline
53,Australia,NMC811,Direct,-48.3131924867756,high_collection,baseline
54,Austria,LFP,Direct,-199.34553130068912,high_collection,baseline
55,Austria,NCA,Direct,-5.718285723952231,high_collection,baseline
56,Austria,NMC111,Direct,-14.619119598684266,high_collection,baseline
57,Austria,NMC523,Direct,-19.246571578571736,high_collection,baseline
58,Austria,NMC622,Direct,-18.638953660215222,high_collection,baseline
59,Austria,NMC811,Direct,-26.414382371178263,high_collection,baseline
60,Azerbaijan,LFP,Direct,0.0,high_collection,baseline
61,Azerbaijan,NCA,Direct,-97.69689671401814,high_collection,baseline
62,Azerbaijan,NMC111,Direct,-159.69699150590145,high_collection,baseline
63,Azerbaijan,NMC523,Direct,-171.4860512208794,high_collection,baseline
64,Azerbaijan,NMC622,Direct,-247.69447478983344,high_collection,baseline
65,Azerbaijan,NMC811,Direct,-354.4723676341141,high_collection,baseline
66,Bahamas,LFP,Direct,0.0,high_collection,baseline
67,Bahamas,NCA,Direct,0.0,high_collection,baseline
68,Bahamas,NMC111,Direct,0.0,high_collection,baseline
69,Bahamas,NMC523,Direct,0.0,high_collection,baseline
70,Bahamas,NMC622,Direct,0.0,high_collection,baseline
71,Bahamas,NMC811,Direct,0.0,high_collection,baseline
72,Bahrain,LFP,Direct,0.0,high_collection,baseline
73,Bahrain,NCA,Direct,-182.75651465158893,high_collection,baseline
74,Bahrain,NMC111,Direct,-238.0561566439271,high_collection,baseline
75,Bahrain,NMC523,Direct,-284.3492637934935,high_collection,baseline
76,Bahrain,NMC622,Direct,-457.0319801030316,high_collection,baseline
77,Bahrain,NMC811,Direct,-1202.1184421739742,high_collection,baseline
78,Bangladesh,LFP,Direct,0.0,high_collection,baseline
79,Bangladesh,NCA,Direct,-3821.859898184238,high_collection,baseline
80,Bangladesh,NMC111,Direct,-4985.806045429373,high_collection,baseline
81,Bangladesh,NMC523,Direct,-21074.999099946708,high_collection,baseline
82,Bangladesh,NMC622,Direct,0.0,high_collection,baseline
83,Bangladesh,NMC811,Direct,0.0,high_collection,baseline
84,Barbados,LFP,Direct,0.0,high_collection,baseline
85,Barbados,NCA,Direct,-481.3850970609476,high_collection,baseline
86,Barbados,NMC111,Direct,-946.3599717849222,high_collection,baseline
87,Barbados,NMC523,Direct,-857.9579274315054,high_collection,baseline
88,Barbados,NMC622,Direct,-1194.3561153534897,high_collection,baseline
89,Barbados,NMC811,Direct,-1365.1611508542123,high_collection,baseline
90,Belarus,LFP,Direct,0.0,high_collection,baseline
91,Belarus,NCA,Direct,-58.54608768706569,high_collection,baseline
92,Belarus,NMC111,Direct,-108.03070423808943,high_collection,baseline
93,Belarus,NMC523,Direct,-113.26248259261727,high_collection,baseline
94,Belarus,NMC622,Direct,-160.63453226133382,high_collection,baseline
95,Belarus,NMC811,Direct,-220.85899956983113,high_collection,baseline
96,Belgium,LFP,Direct,-148.8982221995848,high_collection,baseline
97,Belgium,NCA,Direct,-2.0313191089852505,high_collection,baseline
98,Belgium,NMC111,Direct,-10.03891279171434,high_collection,baseline
99,Belgium,NMC523,Direct,-14.844941675221243,high_collection,baseline
100,Belgium,NMC622,Direct,-12.334227096638196,high_collection,baseline
101,Belgium,NMC811,Direct,-17.68190250456721,high_collection,baseline
102,Benin,LFP,Direct,0.0,high_collection,baseline
103,Benin,NCA,Direct,-178.19599083780324,high_collection,baseline
104,Benin,NMC111,Direct,-353.43848947634564,high_collection,baseline
105,Benin,NMC523,Direct,-329.58085249974494,high_collection,baseline
106,Benin,NMC622,Direct,-459.5493595762781,high_collection,baseline
107,Benin,NMC811,Direct,-630.0131789287836,high_collection,baseline
108,Bermuda,LFP,Direct,0.0,high_collection,baseline
109,Bermuda,NCA,Direct,-212.3524020372359,high_collection,baseline
110,Bermuda,NMC111,Direct,-271.6161280974853,high_collection,baseline
111,Bermuda,NMC523,Direct,-329.6766932383077,high_collection,baseline
112,Bermuda,NMC622,Direct,-548.3845310735543,high_collection,baseline
113,Bermuda,NMC811,Direct,-1394.2130552818512,high_collection,baseline
114,Bolivia (Plurinational State of),LFP,Direct,0.0,high_collection,baseline
115,Bolivia (Plurinational State of),NCA,Direct,-61.477508588970295,high_collection,baseline
116,Bolivia (Plurinational State of),NMC111,Direct,-118.18268387104924,high_collection,baseline
117,Bolivia (Plurinational State of),NMC523,Direct,-118.05499698215925,high_collection,baseline
118,Bolivia (Plurinational State of),NMC622,Direct,-164.4410177157266,high_collection,baseline
119,Bolivia (Plurinational State of),NMC811,Direct,-235.6511087036439,high_collection,baseline
120,Bosnia Herzegovina,LFP,Direct,0.0,high_collection,baseline
121,Bosnia Herzegovina,NCA,Direct,-161.4514999474072,high_collection,baseline
122,Bosnia Herzegovina,NMC111,Direct,-276.5364794957415,high_collection,baseline
