,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Pyro,0.0,high_collection,baseline
1,Afghanistan,NCA,Pyro,-56750.601084196765,high_collection,baseline
2,Afghanistan,NMC111,Pyro,-186523.68948638384,high_collection,baseline
3,Afghanistan,NMC523,Pyro,-154753.01146663364,high_collection,baseline
4,Afghanistan,NMC622,Pyro,-284568.41290402086,high_collection,baseline
5,Afghanistan,NMC811,Pyro,0.0,high_collection,baseline
6,Albania,LFP,Pyro,0.0,high_collection,baseline
7,Albania,NCA,Pyro,-1774.2890850087897,high_collection,baseline
8,Albania,NMC111,Pyro,-2428.0808748191525,high_collection,baseline
9,Albania,NMC523,Pyro,-2286.40798238498,high_collection,baseline
10,Albania,NMC622,Pyro,-3562.1894991257072,high_collection,baseline
11,Albania,NMC811,Pyro,-5107.964430413365,high_collection,baseline
12,Algeria,LFP,Pyro,0.0,high_collection,baseline
13,Algeria,NCA,Pyro,-272.4016437568475,high_collection,baseline
14,Algeria,NMC111,Pyro,-300.6119951819003,high_collection,baseline
15,Algeria,NMC523,Pyro,-500.66500863806556,high_collection,baseline
16,Algeria,NMC622,Pyro,-1215.0986350530584,high_collection,baseline
17,Algeria,NMC811,Pyro,-5092.600466368624,high_collection,baseline
18,Andorra,LFP,Pyro,0.0,high_collection,baseline
19,Andorra,NCA,Pyro,-3817.6139277302773,high_collection,baseline
20,Andorra,NMC111,Pyro,-4537.40148773902,high_collection,baseline
21,Andorra,NMC523,Pyro,-6890.403237537688,high_collection,baseline
22,Andorra,NMC622,Pyro,-14662.8491240719,high_collection,baseline
23,Andorra,NMC811,Pyro,0.0,high_collection,baseline
24,Angola,LFP,Pyro,0.0,high_collection,baseline
25,Angola,NCA,Pyro,-588.1915032386116,high_collection,baseline
26,Angola,NMC111,Pyro,-957.9693434079761,high_collection,baseline
27,Angola,NMC523,Pyro,-1152.1967010932126,high_collection,baseline
28,Angola,NMC622,Pyro,-2086.251355476633,high_collection,baseline
29,Angola,NMC811,Pyro,-7122.972875449048,high_collection,baseline
30,Argentina,LFP,Pyro,0.0,high_collection,baseline
31,Argentina,NCA,Pyro,-97.2834447281971,high_collection,baseline
32,Argentina,NMC111,Pyro,-132.8021647146975,high_collection,baseline
33,Argentina,NMC523,Pyro,-166.03183995600554,high_collection,baseline
34,Argentina,NMC622,Pyro,-315.7864659687713,high_collection,baseline
35,Argentina,NMC811,Pyro,-594.6380198524112,high_collection,baseline
36,Armenia,LFP,Pyro,0.0,high_collection,baseline
37,Armenia,NCA,Pyro,-681.0625622652901,high_collection,baseline
38,Armenia,NMC111,Pyro,-1229.1369062429621,high_collection,baseline
39,Armenia,NMC523,Pyro,-1302.4748177731378,high_collection,baseline
40,Armenia,NMC622,Pyro,-2178.772085677372,high_collection,baseline
41,Armenia,NMC811,Pyro,-3608.7310387889434,high_collection,baseline
42,Aruba,LFP,Pyro,0.0,high_collection,baseline
43,Aruba,NCA,Pyro,-1385.1854609537306,high_collection,baseline
44,Aruba,NMC111,Pyro,-2101.2220249839993,high_collection,baseline
45,Aruba,NMC523,Pyro,-2472.5780006614655,high_collection,baseline
46,Aruba,NMC622,Pyro,-4683.118665283972,high_collection,baseline
47,Aruba,NMC811,Pyro,-6707.863402727941,high_collection,baseline
48,Australia,LFP,Pyro,0.0,high_collection,baseline
49,Australia,NCA,Pyro,-35.97381482239496,high_collection,baseline
50,Australia,NMC111,Pyro,-80.25550670378193,high_collection,baseline
51,Australia,NMC523,Pyro,-74.72179864282404,high_collection,baseline
52,Australia,NMC622,Pyro,-118.65868200123995,high_collection,baseline
53,Australia,NMC811,Pyro,-156.00928180481753,high_collection,baseline
54,Austria,LFP,Pyro,-821.6983200277941,high_collection,baseline
55,Austria,NCA,Pyro,-23.691113872825262,high_collection,baseline
56,Austria,NMC111,Pyro,-33.15308819616666,high_collection,baseline
57,Austria,NMC523,Pyro,-32.014538731805246,high_collection,baseline
