,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,0.0,0.0,,high_collection,baseline
1,Albania,-15291387.45094205,74.25719075799718,-205.92466931285352,high_collection,baseline
2,Algeria,-19219492.51870544,117.14338136452622,-164.06810435920673,high_collection,baseline
3,Andorra,-3314000.4536161562,1.0009758233507655,-3310.7697272073397,high_collection,baseline
4,Angola,-9406690.566804724,9.945269534167558,-945.8457143355929,high_collection,baseline
5,Argentina,-29539068.013987143,680.4365359071152,-43.4119369774986,high_collection,baseline
6,Armenia,-3574534.5824764594,7.141582894956569,-500.52413240219033,high_collection,baseline
7,Aruba,-9630062.100353155,19.861264104778762,-484.8665245852148,high_collection,baseline
8,Australia,-214926797.46847737,8823.270150053004,-24.359086122641983,high_collection,baseline
9,Austria,7787810.628199611,13251.166103581776,0.5877075698337653,high_collection,baseline
10,Azerbaijan,-17043439.033192314,118.94240438875188,-143.29152938162795,high_collection,baseline
11,Bahamas,0.0,0.0,,high_collection,baseline
12,Bahrain,-3353994.3792245104,1.8981338369268734,-1766.9957270530049,high_collection,baseline
13,Bangladesh,-30767906.022863105,0.5286779707053438,-58197.8212215153,high_collection,baseline
14,Barbados,-14635988.950151674,34.984855835145524,-418.35212982208344,high_collection,baseline
15,Belarus,-25030028.105823,368.5165752983846,-67.9210374338153,high_collection,baseline
16,Belgium,143320891.77681184,18928.08331938606,7.571865009175187,high_collection,baseline
17,Benin,-18775260.937431958,107.07243669570364,-175.35101952326568,high_collection,baseline
18,Bermuda,-1480312.3970604662,0.9462929709559008,-1564.327795402648,high_collection,baseline
19,Bolivia (Plurinational State of),-24665695.8312093,270.7947329567871,-91.08632048299626,high_collection,baseline
20,Bosnia Herzegovina,-10692201.738252588,31.159742210923117,-343.1415339021775,high_collection,baseline
21,Botswana,-17014200.757976834,74.65467205930494,-227.9053713404691,high_collection,baseline
22,Brazil,1906714888.271546,233426.7960569086,8.168363360505944,high_collection,baseline
23,Brunei Darussalam,-36424547.23949815,4.82540511539126,-7548.495176771231,high_collection,baseline
24,Bulgaria,-26763871.604736824,338.6519214456574,-79.03062085248364,high_collection,baseline
25,Burkina Faso,-18642374.723704465,104.19816897635198,-178.91269018302418,high_collection,baseline
26,Burundi,-14213865.137023153,39.10792488129526,-363.45229720489294,high_collection,baseline
27,C?te d'Ivoire,-14458588.332302712,41.93359313693976,-344.7972675531585,high_collection,baseline
28,Cabo Verde,-4863749.421760871,1.0430232677979463,-4663.12648233565,high_collection,baseline
29,Cambodia,-45263282.07025527,130.24108785326163,-347.5345823374259,high_collection,baseline
30,Cameroon,-4336938.904848182,0.9483959850948059,-4572.91993324354,high_collection,baseline
31,Canada,202039868.04647875,40408.51250519568,4.999933319012936,high_collection,baseline
32,Cayman Isds,-6532039.417525113,2.01363306232412,-3243.907512119354,high_collection,baseline
33,Chile,-20449407.785531767,123.87233570573525,-165.0845418311182,high_collection,baseline
34,China,5571721463.827341,1200872.7040099013,4.639726962918296,high_collection,baseline
35,Colombia,-29119282.344361052,625.4781205477025,-46.55523732606767,high_collection,baseline
36,Comoros,-3397286.7389225923,0.3161924768386524,-10744.362968054325,high_collection,baseline
37,Congo,-3738460.693542349,3.5458555319440253,-1054.3183894163697,high_collection,baseline
38,Costa Rica,-21885454.02969473,162.985190508777,-134.27878914260106,high_collection,baseline
39,Croatia,-22886167.805666544,279.7225330656097,-81.81739080812102,high_collection,baseline
40,Cyprus,-20774594.595607813,178.5416080787767,-116.35716077140731,high_collection,baseline
41,Czechia,27518325.60679067,4629.011037924918,5.944752643995966,high_collection,baseline
42,Denmark,-8006907.911150499,9987.360467004775,-0.8017041076671766,high_collection,baseline
43,Dominican Rep.,-23259844.86314749,209.79273606771932,-110.87059208589285,high_collection,baseline
44,Ecuador,-22004314.521551702,166.4280812850318,-132.21515474823136,high_collection,baseline
45,Egypt,-28668981.93383269,671.617042878571,-42.686501538073784,high_collection,baseline
46,El Salvador,-6919282.192237382,32.442331583027006,-213.27943629851106,high_collection,baseline
47,Estonia,-20234751.81291103,212.76347351871303,-95.10444381390181,high_collection,baseline
48,Eswatini,-6343942.228905784,2.5330932047816956,-2504.425110347454,high_collection,baseline
49,Ethiopia,-18919693.00285523,110.38883129437191,-171.39136977003068,high_collection,baseline
50,Fiji,-5224031.693496432,14.391189121047427,-363.002087565938,high_collection,baseline
51,Finland,-181436849.9890165,5088.318155380432,-35.65752856809153,high_collection,baseline
52,France,979400331.9854951,97936.70339141822,10.000339995835676,high_collection,baseline
53,French Polynesia,-15491169.898180008,53.28876788600262,-290.70234709346846,high_collection,baseline
54,Georgia,-8519946.358050976,13.291039549864404,-641.0293435728959,high_collection,baseline
55,Germany,331326221.92152417,147659.534411255,2.243852543911784,high_collection,baseline
56,Ghana,-5596610.6705658045,12.577634859411843,-444.9652683610751,high_collection,baseline
57,Greece,35788303.34303673,17478.37905239643,2.0475756496498376,high_collection,baseline
58,Greenland,-2725413.7332726,0.24628730520425102,-11065.993559888764,high_collection,baseline
59,Grenada,-9486464.740184128,7.456636098088998,-1272.2177420747862,high_collection,baseline
60,Guatemala,-27145514.753286935,424.70431022253484,-63.91626856591905,high_collection,baseline
61,Guinea,-4522064.7164044725,0.8652947955277984,-5226.039425842354,high_collection,baseline
62,Guyana,-21456206.146438308,150.1212004596423,-142.9258897527033,high_collection,baseline
63,Honduras,-16798557.957080446,58.526796255681845,-287.0233641987473,high_collection,baseline
64,Hungary,-32862124.99569315,1367.9754947427787,-24.02245151465395,high_collection,baseline
65,Iceland,-23264105.800511066,460.70201943305415,-50.49707797925473,high_collection,baseline
66,India,24489748.317791715,11333.83107010383,2.1607652493065936,high_collection,baseline
67,Indonesia,865658.0851335116,7751.121562080308,0.11168165512568473,high_collection,baseline
68,Iran,-40283434.11205204,39.99567939914736,-1007.1946449523448,high_collection,baseline
69,Ireland,-33546927.98300694,2319.8545292392337,-14.460789484937326,high_collection,baseline
70,Israel,6761504.751853079,10899.634543081796,0.6203423358028763,high_collection,baseline
71,Italy,979628820.9116303,101715.18174570292,9.631097384860306,high_collection,baseline
72,Jamaica,-1794526.597683371,0.9796723210896155,-1831.7620688593659,high_collection,baseline
73,Japan,-1787521.995542828,8335.207260598469,-0.21445441482813035,high_collection,baseline
74,Jordan,-20095452.014119364,210.13848558704356,-95.6295652268581,high_collection,baseline
75,Kazakhstan,-26020516.530551594,406.32712207296123,-64.03834525690185,high_collection,baseline
