,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,0.0,0.0,,high_collection,baseline
1,Albania,-5195063.24612506,74.25719075799718,-69.96040643465325,high_collection,baseline
2,Algeria,-6674110.872993391,117.14338136452622,-56.97386224685562,high_collection,baseline
3,Andorra,-508044.00762386236,1.0009758233507655,-507.5487297217485,high_collection,baseline
4,Angola,-2039605.7398100318,9.945269534167558,-205.08300280880738,high_collection,baseline
5,Argentina,-13237254.531012142,680.4365359071152,-19.454061962391638,high_collection,baseline
6,Armenia,-897639.5182758336,7.141582894956569,-125.6919553380459,high_collection,baseline
7,Aruba,-2182263.689519553,19.861264104778762,-109.87536734857098,high_collection,baseline
8,Australia,-152499194.19227076,8823.270150053004,-17.283749856775568,high_collection,baseline
9,Austria,23040566.38153964,13251.166103581776,1.738757646039302,high_collection,baseline
10,Azerbaijan,-6111070.820781851,118.94240438875188,-51.37840328843866,high_collection,baseline
11,Bahamas,0.0,0.0,,high_collection,baseline
12,Bahrain,-618757.2673100992,1.8981338369268734,-325.98189615116013,high_collection,baseline
13,Bangladesh,-2204771.6994851725,0.5286779707053438,-4170.349100310805,high_collection,baseline
14,Barbados,-3701998.738178607,34.984855835145524,-105.81717859930716,high_collection,baseline
15,Belarus,-10626268.258648507,368.5165752983846,-28.835251847340956,high_collection,baseline
16,Belgium,143360640.75178254,18928.08331938606,7.573965009175186,high_collection,baseline
17,Benin,-6399721.221634175,107.07243669570364,-59.77001569341298,high_collection,baseline
18,Bermuda,-280190.43663123454,0.9462929709559008,-296.09269563547457,high_collection,baseline
19,Bolivia (Plurinational State of),-9357243.46192305,270.7947329567871,-34.55474691014859,high_collection,baseline
20,Bosnia Herzegovina,-3114279.0855441783,31.159742210923117,-99.94559853747637,high_collection,baseline
21,Botswana,-5432621.440741865,74.65467205930494,-72.77001279204929,high_collection,baseline
22,Brazil,2064686236.2218282,233426.7960569086,8.845112348277553,high_collection,baseline
23,Brunei Darussalam,-4633857.180131173,4.82540511539126,-960.3042789818579,high_collection,baseline
24,Bulgaria,-11415343.874626635,338.6519214456574,-33.70819166150346,high_collection,baseline
25,Burkina Faso,-6324387.711260725,104.19816897635198,-60.69576628257315,high_collection,baseline
26,Burundi,-4029238.626272634,39.10792488129526,-103.02869913202066,high_collection,baseline
27,C?te d'Ivoire,-4147885.321697664,41.93359313693976,-98.91557129750815,high_collection,baseline
28,Cabo Verde,-666765.2337536626,1.0430232677979463,-639.2620896764383,high_collection,baseline
29,Cambodia,-12946112.669215936,130.24108785326163,-99.40114047420963,high_collection,baseline
30,Cameroon,-588907.1998390781,0.9483959850948059,-620.950751684391,high_collection,baseline
31,Canada,230881579.85354564,40408.51250519568,5.713686684800861,high_collection,baseline
32,Cayman Isds,-887152.3130041704,2.01363306232412,-440.572977074694,high_collection,baseline
33,Chile,-6684383.134683595,123.87233570573525,-53.96187208871779,high_collection,baseline
34,China,6919894602.464281,1200872.7040099013,5.762388119371582,high_collection,baseline
35,Colombia,-12832352.323618406,625.4781205477025,-20.51606907109989,high_collection,baseline
36,Comoros,-363374.40514940815,0.3161924768386524,-1149.219009833785,high_collection,baseline
37,Congo,-791272.4857332964,3.5458555319440253,-223.15418059333032,high_collection,baseline
38,Costa Rica,-7551051.069144839,162.985190508777,-46.329676000459706,high_collection,baseline
39,Croatia,-9830902.74492372,279.7225330656097,-35.145194193625635,high_collection,baseline
40,Cyprus,-8066679.398348618,178.5416080787767,-45.18094961253744,high_collection,baseline
41,Czechia,27518325.60679067,4629.011037924918,5.944752643995966,high_collection,baseline
42,Denmark,6582976.715911666,9987.360467004775,0.6591307821180415,high_collection,baseline
43,Dominican Rep.,-8413653.296861107,209.79273606771932,-40.10459777856775,high_collection,baseline
44,Ecuador,-7616321.952864942,166.4280812850318,-45.76344264776391,high_collection,baseline
45,Egypt,-13267997.712727992,671.617042878571,-19.755302301235464,high_collection,baseline
46,El Salvador,-2002403.562446192,32.442331583027006,-61.72193750383212,high_collection,baseline
47,Estonia,-8530151.470470816,212.76347351871303,-40.0921799658463,high_collection,baseline
48,Eswatini,-1043666.7441504947,2.5330932047816956,-412.01276849204567,high_collection,baseline
49,Ethiopia,-6489474.5370057225,110.38883129437191,-58.78741953251011,high_collection,baseline
50,Fiji,-1422148.2749307556,14.391189121047427,-98.8207619932416,high_collection,baseline
51,Finland,-125672152.77683568,5088.318155380432,-24.69817117153904,high_collection,baseline
52,France,979400331.9854951,97936.70339141822,10.000339995835676,high_collection,baseline
53,French Polynesia,-4647706.064021478,53.28876788600262,-87.21736771929181,high_collection,baseline
54,Georgia,-2051297.4525711213,13.291039549864404,-154.33687070715612,high_collection,baseline
55,Germany,370973882.5757495,147659.534411255,2.5123598286753968,high_collection,baseline
56,Ghana,-1526106.6954188913,12.577634859411843,-121.33494989138644,high_collection,baseline
57,Greece,52146872.57287332,17478.37905239643,2.9835073616694188,high_collection,baseline
58,Greenland,-273304.6700348982,0.24628730520425102,-1109.6985685406771,high_collection,baseline
59,Grenada,-1722324.4025552922,7.456636098088998,-230.978738924472,high_collection,baseline
60,Guatemala,-11180175.08313812,424.70431022253484,-26.324609414206265,high_collection,baseline
61,Guinea,-594256.5111368642,0.8652947955277984,-686.767693748105,high_collection,baseline
62,Guyana,-7279303.047684667,150.1212004596423,-48.48950731406915,high_collection,baseline
63,Honduras,-4728313.157002029,58.526796255681845,-80.78886013759892,high_collection,baseline
64,Hungary,-18725349.53705277,1367.9754947427787,-13.688366209055308,high_collection,baseline
65,Iceland,-10825584.090466063,460.70201943305415,-23.498017446913227,high_collection,baseline
66,India,40858813.8360412,11333.83107010383,3.605031130543124,high_collection,baseline
67,Indonesia,15759972.48215226,7751.121562080308,2.0332505890828108,high_collection,baseline
68,Iran,-8190877.446558802,39.99567939914736,-204.7940569984021,high_collection,baseline
69,Ireland,-20434423.87007332,2319.8545292392337,-8.808493641527827,high_collection,baseline
70,Israel,20892699.13927297,10899.634543081796,1.9168256565568942,high_collection,baseline
71,Italy,979628820.9116303,101715.18174570292,9.631097384860306,high_collection,baseline
72,Jamaica,-304499.4398655487,0.9796723210896155,-310.817641072963,high_collection,baseline
73,Japan,11688025.93876006,8335.207260598469,1.4022477874078514,high_collection,baseline
