,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Hydro,0.0,high_collection,baseline
1,Afghanistan,NCA,Hydro,0.0,high_collection,baseline
2,Afghanistan,NMC111,Hydro,0.0,high_collection,baseline
3,Afghanistan,NMC523,Hydro,0.0,high_collection,baseline
4,Afghanistan,NMC622,Hydro,0.0,high_collection,baseline
5,Afghanistan,NMC811,Hydro,0.0,high_collection,baseline
6,Albania,LFP,Hydro,-6007.177636559068,high_collection,baseline
7,Albania,NCA,Hydro,-135.0916548929131,high_collection,baseline
8,Albania,NMC111,Hydro,-199.75465064270517,high_collection,baseline
9,Albania,NMC523,Hydro,-185.01122588237268,high_collection,baseline
10,Albania,NMC622,Hydro,-296.8135525689789,high_collection,baseline
11,Albania,NMC811,Hydro,-407.82462076536643,high_collection,baseline
12,Algeria,LFP,Hydro,0.0,high_collection,baseline
13,Algeria,NCA,Hydro,-84.70204130832745,high_collection,baseline
14,Algeria,NMC111,Hydro,-203.31561770136003,high_collection,baseline
15,Algeria,NMC523,Hydro,-200.0951956856197,high_collection,baseline
16,Algeria,NMC622,Hydro,-344.13442082695167,high_collection,baseline
17,Algeria,NMC811,Hydro,-420.58163344790677,high_collection,baseline
18,Andorra,LFP,Hydro,0.0,high_collection,baseline
19,Andorra,NCA,Hydro,-1875.8413732006024,high_collection,baseline
20,Andorra,NMC111,Hydro,-3923.183710047484,high_collection,baseline
21,Andorra,NMC523,Hydro,-4076.014589203701,high_collection,baseline
22,Andorra,NMC622,Hydro,-6708.567910901482,high_collection,baseline
23,Andorra,NMC811,Hydro,-8143.229623017823,high_collection,baseline
24,Angola,LFP,Hydro,0.0,high_collection,baseline
25,Angola,NCA,Hydro,-508.4050163581463,high_collection,baseline
26,Angola,NMC111,Hydro,-1082.089083501522,high_collection,baseline
27,Angola,NMC523,Hydro,-1184.488781723731,high_collection,baseline
28,Angola,NMC622,Hydro,-2052.7990368114115,high_collection,baseline
29,Angola,NMC811,Hydro,-3086.265604495116,high_collection,baseline
30,Argentina,LFP,Hydro,0.0,high_collection,baseline
31,Argentina,NCA,Hydro,-18.837492853037134,high_collection,baseline
32,Argentina,NMC111,Hydro,-58.968365392293606,high_collection,baseline
33,Argentina,NMC523,Hydro,-54.68969268780423,high_collection,baseline
34,Argentina,NMC622,Hydro,-94.97125415371886,high_collection,baseline
35,Argentina,NMC811,Hydro,-115.08642552748577,high_collection,baseline
36,Armenia,LFP,Hydro,0.0,high_collection,baseline
37,Armenia,NCA,Hydro,0.0,high_collection,baseline
38,Armenia,NMC111,Hydro,-1839.531643435551,high_collection,baseline
39,Armenia,NMC523,Hydro,0.0,high_collection,baseline
40,Armenia,NMC622,Hydro,0.0,high_collection,baseline
41,Armenia,NMC811,Hydro,-375.23830391708987,high_collection,baseline
42,Aruba,LFP,Hydro,0.0,high_collection,baseline
43,Aruba,NCA,Hydro,-895.2555834536026,high_collection,baseline
44,Aruba,NMC111,Hydro,-2286.6870951102446,high_collection,baseline
45,Aruba,NMC523,Hydro,-2027.6496995860207,high_collection,baseline
46,Aruba,NMC622,Hydro,0.0,high_collection,baseline
47,Aruba,NMC811,Hydro,-248.35909211582415,high_collection,baseline
48,Australia,LFP,Hydro,0.0,high_collection,baseline
49,Australia,NCA,Hydro,-9.56862535792207,high_collection,baseline
50,Australia,NMC111,Hydro,-36.60068252855873,high_collection,baseline
51,Australia,NMC523,Hydro,-31.227271275322902,high_collection,baseline
52,Australia,NMC622,Hydro,-53.789898804865736,high_collection,baseline
53,Australia,NMC811,Hydro,-64.22378930365925,high_collection,baseline
54,Austria,LFP,Hydro,-195.75116141780248,high_collection,baseline
55,Austria,NCA,Hydro,3.342701309594433,high_collection,baseline
56,Austria,NMC111,Hydro,0.8263993254516502,high_collection,baseline
57,Austria,NMC523,Hydro,0.7582773295227391,high_collection,baseline
58,Austria,NMC622,Hydro,-2.5599552009639845,high_collection,baseline
59,Austria,NMC811,Hydro,-6.48940316324365,high_collection,baseline
60,Azerbaijan,LFP,Hydro,0.0,high_collection,baseline
61,Azerbaijan,NCA,Hydro,-75.37383682607228,high_collection,baseline
62,Azerbaijan,NMC111,Hydro,-199.43499486182554,high_collection,baseline
63,Azerbaijan,NMC523,Hydro,-172.92754610912527,high_collection,baseline
64,Azerbaijan,NMC622,Hydro,-280.19788914245356,high_collection,baseline
65,Azerbaijan,NMC811,Hydro,-329.9036234564723,high_collection,baseline
66,Bahamas,LFP,Hydro,0.0,high_collection,baseline
67,Bahamas,NCA,Hydro,0.0,high_collection,baseline
68,Bahamas,NMC111,Hydro,0.0,high_collection,baseline
69,Bahamas,NMC523,Hydro,0.0,high_collection,baseline
