,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,15385211.542136751,0.0224316512625351,685870.663825486,high_collection,baseline
1,Albania,53303484.457061954,2456.776405393268,21.696514318538245,high_collection,baseline
2,Algeria,28918497.40847677,386.7302011544249,74.7769305892129,high_collection,baseline
3,Andorra,4795874.315090014,2.8714502393822214,1670.1923819936446,high_collection,baseline
4,Angola,18958974.493300356,95.20439671046454,199.13969468194162,high_collection,baseline
5,Argentina,47806925.85816932,1996.3270555156084,23.947441741113817,high_collection,baseline
6,Armenia,3688718.5875324067,1.1181117100848565,3299.0608668721125,high_collection,baseline
7,Aruba,4931443.591775027,0.7949430566371724,6203.518038935253,high_collection,baseline
8,Australia,-29794577.56436385,41170.1088257885,-0.7236944087381391,high_collection,baseline
9,Austria,105240426.07923327,16496.90125172001,6.379405712224933,high_collection,baseline
10,Azerbaijan,32203797.282913864,670.78525095283,48.009101627039875,high_collection,baseline
11,Bahamas,421611.65774954314,0.0063291260232398,66614.51457933294,high_collection,baseline
12,Bahrain,3688882.933442614,1.2723801297002653,2899.1987907824405,high_collection,baseline
13,Bangladesh,33249855.826901793,1.474213551673941,22554.300758629728,high_collection,baseline
14,Barbados,3043489.3836741988,0.14155565353026278,21500.302586102924,high_collection,baseline
15,Belarus,47284218.41696217,2007.183102112645,23.55750124001818,high_collection,baseline
16,Belgium,-85819490.9984793,22735.53666276326,-3.7746850787576203,high_collection,baseline
17,Benin,43207545.11169172,1466.0608482321832,29.471863438541845,high_collection,baseline
18,Bermuda,4279516.52726384,1.197743817149305,3572.98152241714,high_collection,baseline
19,Bolivia (Plurinational State of),41769443.19576515,1249.7907286435707,33.421149828098486,high_collection,baseline
20,Bosnia Herzegovina,18052020.97111751,132.20106718521035,136.54973711995143,high_collection,baseline
21,Botswana,24528973.362221334,223.591042736633,109.7046333430893,high_collection,baseline
22,Brazil,-3513429.1639215117,850008.5204138327,-0.004133404641886382,high_collection,baseline
23,Brunei Darussalam,39152258.2569975,12.82569638199686,3052.6419065988994,high_collection,baseline
24,Bulgaria,83177028.43748572,9787.222918062362,8.498532130496606,high_collection,baseline
25,Burkina Faso,34170745.332235284,672.4581811626089,50.81467708989381,high_collection,baseline
26,Burundi,23138738.107781038,184.05416649322552,125.71700249248475,high_collection,baseline
27,C?te d'Ivoire,22124662.159693968,158.8334997926208,139.29468398405115,high_collection,baseline
28,Cabo Verde,8186842.229120515,5.84324719212243,1401.077510490674,high_collection,baseline
29,Cambodia,53219600.79948095,878.4869258117646,60.580982181725076,high_collection,baseline
30,Cameroon,3799835.490048506,0.7805538250555225,4868.127434745727,high_collection,baseline
31,Canada,883203770.948005,240592.19113043716,3.6709577596771448,high_collection,baseline
32,Cayman Isds,0.0,0.0,,high_collection,baseline
33,Chile,42073678.01812927,1281.4863809416602,32.831935355577286,high_collection,baseline
34,China,121225673.15078673,6620431.620119053,0.018310841363029857,high_collection,baseline
35,Colombia,48520024.92636997,2102.2402512227727,23.080152184389103,high_collection,baseline
36,Comoros,6644718.166695541,2.921638976222576,2274.311857410453,high_collection,baseline
37,Congo,5185192.509084337,1.3892676472751104,3732.3207801279323,high_collection,baseline
38,Costa Rica,34664030.99222111,654.3419895473971,52.97540360538062,high_collection,baseline
39,Croatia,78337958.2686514,7478.184784089591,10.475531232568816,high_collection,baseline
40,Cyprus,49999983.860755496,2002.4103082868119,24.969899352712396,high_collection,baseline
41,Czechia,27144217.545690753,65087.10587292154,0.4170444695864665,high_collection,baseline
42,Denmark,87664666.10912517,10002.094157364625,8.764631159223486,high_collection,baseline
43,Dominican Rep.,43014940.6827024,1383.8279592617866,31.08402341115368,high_collection,baseline
44,Ecuador,37474298.46707965,857.5250499152243,43.70052918079115,high_collection,baseline
45,Egypt,66214216.83819149,6052.232422547095,10.940461670228634,high_collection,baseline
46,El Salvador,7800533.503399885,3.902610818541083,1998.798718627026,high_collection,baseline
47,Estonia,50074028.68283031,2102.963054313659,23.811178508398903,high_collection,baseline
48,Eswatini,10036101.378494777,11.493187657637172,873.221744693765,high_collection,baseline
49,Ethiopia,30286961.59302751,450.6009006488527,67.21460509602872,high_collection,baseline
50,Fiji,5544266.1580109,1.6576770952353261,3344.599605041794,high_collection,baseline
51,Finland,325645066.1107004,11873.175132157015,27.426957194350763,high_collection,baseline
52,France,758185877.391441,128734.51059810707,5.889530894776163,high_collection,baseline
53,French Polynesia,26325327.64102327,282.7734297625749,93.09689267172948,high_collection,baseline
54,Georgia,13307562.094978511,48.24707647827845,275.8211080617449,high_collection,baseline
55,Germany,227933894.03610593,139128.0244738502,1.6383032455042674,high_collection,baseline
56,Ghana,8909910.60683696,9.786833214237861,910.3977161759377,high_collection,baseline
57,Greece,107801425.68207774,18910.24603735139,5.700688688510403,high_collection,baseline
58,Greenland,3850156.5122787664,0.7286398102481342,5284.032601742715,high_collection,baseline
59,Grenada,17111795.92642768,56.45917679672719,303.0826323953702,high_collection,baseline
60,Guatemala,49772680.63725827,2295.9150186103648,21.67879918629736,high_collection,baseline
61,Guinea,6286559.631195163,2.514893299385417,2499.7321487680833,high_collection,baseline
62,Guyana,43015316.57673393,1383.810752855856,31.084681549092284,high_collection,baseline
63,Honduras,26295766.19640017,250.8252030153907,104.837017493759,high_collection,baseline
64,Hungary,98857168.6982507,14909.478300168736,6.630491470458218,high_collection,baseline
65,Iceland,29210324.077649288,571.6655229474828,51.096879040460784,high_collection,baseline
66,India,79456484.0042008,212825.8679980085,0.3733403497968786,high_collection,baseline
67,Indonesia,67339141.34534015,22444.900100778246,3.000197864235772,high_collection,baseline
68,Iran,39787968.467442065,36.9786447284634,1075.971517063638,high_collection,baseline
69,Ireland,91377780.32462706,11179.067712231908,8.174007231805506,high_collection,baseline
70,Israel,95832480.56765544,17262.660206909466,5.5514317850789885,high_collection,baseline
71,Italy,196904819.07151213,101756.07686490058,1.9350669280709256,high_collection,baseline
72,Jamaica,6595368.942312051,2.4162103316416954,2729.6336150631487,high_collection,baseline
73,Japan,83184686.26875779,23952.120014151897,3.4729571419819565,high_collection,baseline
74,Jordan,38230508.124545746,1117.9600598995935,34.1966672118674,high_collection,baseline
75,Kazakhstan,42218849.82702428,1358.0320402719512,31.088257548452088,high_collection,baseline
76,Kenya,81169312.406459,11902.831710439572,6.819327902894581,high_collection,baseline
77,Kiribati,5511263.372612549,1.572191937732062,3505.4647211603983,high_collection,baseline
78,Korea,104485065.5939484,84871.63257094978,1.2310952721052286,high_collection,baseline
79,Kuwait,6300597.1345011955,6.002477435136784,1049.6661091334229,high_collection,baseline
80,Kyrgyzstan,5045194.837200616,1.4959250242140245,3372.6254695494627,high_collection,baseline
81,Lao People's Dem. Rep.,62884929.60899053,8745.644112867161,7.1904286062212535,high_collection,baseline
82,Latvia,54322393.353254564,2636.2579988377925,20.60587141971797,high_collection,baseline
83,Lebanon,78696035.6465687,9600.404312876994,8.197158482274954,high_collection,baseline
84,Lesotho,21882838.34263087,153.0539298165543,142.97469113572558,high_collection,baseline
85,Lithuania,63911237.03475311,4140.102168223693,15.437115906290341,high_collection,baseline
86,Luxembourg,44318987.93157116,1505.6920080956493,29.434298444357417,high_collection,baseline
87,Madagascar,28232441.554484427,356.7232312226446,79.14382659553642,high_collection,baseline
88,Malawi,41371011.287633404,1269.1215564783215,32.598147180191,high_collection,baseline
89,Malaysia,40464012.833920896,20.44991285355403,1978.6887662403205,high_collection,baseline
90,Maldives,44617012.715593666,79.98891293784598,557.7899620946538,high_collection,baseline
91,Mali,18347526.73979754,85.24493280373436,215.23304830376713,high_collection,baseline
92,Malta,37539811.4360715,892.2336264503186,42.07397067673933,high_collection,baseline
93,Mauritania,1210171.5655355614,0.030483957264084,39698.63738660261,high_collection,baseline
94,Mauritius,30551614.69863931,463.6663011249876,65.89138486992114,high_collection,baseline
95,Mexico,112233551.014343,38596.187626501116,2.90789214987857,high_collection,baseline
96,Mongolia,37605653.75758299,238.19007603011647,157.880858784512,high_collection,baseline
97,Montenegro,13840304.679372298,61.325876860530045,225.68457864611565,high_collection,baseline
98,Morocco,42841930.092400566,1425.278574731207,30.05863615151874,high_collection,baseline
99,Mozambique,3426189.3495065975,0.3743648526277773,9152.005925388465,high_collection,baseline
100,Myanmar,59345021.98011738,3937.992965992269,15.069864901387406,high_collection,baseline
101,Namibia,31865966.214120865,533.2935252605339,59.75314663449767,high_collection,baseline
102,Nepal,48070635.66098383,221.6295928727529,216.89628644755598,high_collection,baseline
103,Netherlands,136710074.62228265,33988.501135795006,4.0222448785276494,high_collection,baseline
104,New Caledonia,1271781.8269805121,0.0851440611720931,14936.823654793585,high_collection,baseline
105,New Zealand,74064281.78064337,8020.945855256712,9.233858838743268,high_collection,baseline
106,Nicaragua,36274556.00176865,765.9539414772976,47.358664845833694,high_collection,baseline
107,Niger,28059158.98638192,349.5066256978195,80.2821947376804,high_collection,baseline
108,Nigeria,119879665.1703029,43464.51905196703,2.75810403025448,high_collection,baseline
109,North Macedonia,17968489.35623453,130.39265241984134,137.8029284838778,high_collection,baseline
110,Norway,79246420.41571802,8968.153376848726,8.836425636998197,high_collection,baseline
111,Oman,28665684.74672424,474.32351294112374,60.434880339323215,high_collection,baseline
112,Pakistan,69892045.41737369,36883.31331998393,1.894950293945125,high_collection,baseline
