,country,total_netprofits,scrap,net_profit
0,Australia,79225532.86745547,28216.5170659619,2.8077715148985085
1,Belgium,6379729.7450350365,19534.511814896694,0.32658762120535617
2,Brazil,59097305.1176066,21705.013127663,2.7227491073150834
3,Canada,1783053991.9825475,288676.6745979178,6.1766472627761395
4,China,110762909246.5615,20865289.232228193,5.308477060336114
5,Czechia,-21407838.7741958,2170.501312766299,-9.863084923414103
6,Finland,-3918830.611262866,15193.509189364097,-0.25792794557337434
7,France,1002586137.9510536,219220.63258939626,4.573411389743197
8,Germany,1329350952.1335719,278115.4866095425,4.779852313653792
9,Hungary,50487799.606635146,29801.11798698791,1.6941579047027593
10,India,12993205625.876,1758339.8482075837,7.389473450835464
11,Italy,916662608.6087079,203408.48197759548,4.50651123147202
12,Japan,6370710910.236347,802708.3255973103,7.936520286488597
13,Korea,34819327424.669304,4643146.407963836,7.499080228215044
14,Netherlands,209362891.52472407,67939.24482546971,3.0816193506795666
15,Norway,27323607.671036683,17948.48707410563,1.5223348663440601
16,Poland,788930641.2688593,173640.10502130399,4.54348170989683
17,Romania,-21415265.967579663,2170.501312766299,-9.866506802654706
18,Russian Federation,1050018247.1559267,157425.53599971213,6.66993598267213
19,Serbia,-14798404.290285215,1061.5543049078278,-13.940317722671875
20,Slovakia,-21403402.33364908,2170.5013127662987,-9.861040952963302
21,Spain,891826924.16505,194451.12684665676,4.586380848635249
22,Sweden,79830682.50523284,40234.38120860487,1.9841409289068317
23,Switzerland,83142295.26551706,30538.74855484806,2.7225180860372262
24,Thailand,1082037657.20845,159117.0040933753,6.800264141307446
25,Turkey,50178994.4542218,21705.013127663005,2.311861972120567
26,USA,13348750719.032173,1601829.9688215288,8.333437992081576
27,United Kingdom,1489206312.5445528,248178.6303208752,6.000542071729253
28,Viet Nam,123553642.92557025,26046.0157531956,4.743667672488886
