,country,total_netprofits,scrap,net_profit
0,Australia,115738977.65875734,28216.5170659619,4.101816584527201
1,Belgium,45043305.093643114,19534.511814896694,2.305832135476958
2,Brazil,81915091.87668048,21705.013127663,3.7740171542342833
3,Canada,2091715698.6138089,288676.6745979178,7.2458770751992585
4,China,102399194626.05981,20865289.232228193,4.907633605571863
5,Czechia,-33923419.787074685,2170.501312766299,-15.629301667567
6,Finland,17961708.28892477,15193.509189364097,1.1821961644975667
7,France,1470833306.0911906,219220.63258939626,6.709374426658483
8,Germany,1913223973.5432632,278115.4866095425,6.879242852913528
9,Hungary,111798920.05564071,29801.11798698791,3.751500870016205
10,India,13722704800.293842,1758339.8482075837,7.80435296071035
11,Italy,1356128894.7329054,203408.48197759548,6.667022346109818
12,Japan,6213944036.079188,802708.3255973103,7.741222855082855
13,Korea,36287652165.317215,4643146.407963836,7.815315085278666
14,Netherlands,359644093.97675306,67939.24482546971,5.2936133585330385
15,Norway,39679282.432745695,17948.48707410563,2.2107313150639416
16,Poland,1168623692.0098011,173640.10502130399,6.730148498046705
17,Romania,-34136863.26813321,2170.501312766299,-15.727640000653054
18,Russian Federation,1164378893.535955,157425.53599971213,7.396378777697693
19,Serbia,-29030677.81769657,1061.5543049078278,-27.347331816639596
20,Slovakia,-33990961.20913454,2170.5013127662987,-15.660419558011297
21,Spain,1312442084.2932982,194451.12684665676,6.749470191182199
22,Sweden,165385995.2985792,40234.38120860487,4.110563909038281
23,Switzerland,113327766.48868093,30538.74855484806,3.7109499194160662
24,Thailand,1197553481.214816,159117.0040933753,7.526244527027739
25,Turkey,70437950.48202522,21705.013127663005,3.2452387873588595
26,USA,12742403114.735348,1601829.9688215288,7.954903680638447
27,United Kingdom,1760198314.132804,248178.6303208752,7.092465261239486
28,Viet Nam,144147858.009505,26046.0157531956,5.5343534832892605
