,country,total_netprofits,scrap,net_profit
0,Australia,133990131.06640743,28216.5170659619,4.748641753097238
1,Belgium,59600718.78858302,19534.511814896694,3.0510472620632627
2,Brazil,99313027.37623623,21705.013127663,4.575580157086472
3,Canada,3539808424.174151,425185.89790428197,8.325319446439012
4,China,138353892255.47656,22031567.964235283,6.279802349068932
5,Czechia,-20430384.20231735,2170.501312766299,-9.41274906499774
6,Finland,34026825.10667026,15193.509189364097,2.239563268931317
7,France,1604415813.0282896,219220.63258939626,7.3187263173051145
8,Germany,2086760900.3701193,278115.4866095425,7.5032171915683605
9,Hungary,131818372.50566131,29801.11798698791,4.423269374095874
10,India,16164325659.309431,1758339.8482075841,9.192947356443645
11,Italy,1478162539.0560439,203408.48197759548,7.266966080691053
12,Japan,7648976846.669185,837970.4490191811,9.127979221250676
13,Korea,42203007683.76272,4643146.407963836,9.089312284311545
14,Netherlands,399259970.0219439,67939.24482546971,5.876720753190733
15,Norway,57932284.06634824,17948.48707410563,3.2276973444701884
16,Poland,1271366432.2620847,173640.10502130399,7.32184786519278
17,Romania,-20456984.890755225,2170.501312766299,-9.42500461549265
18,Russian Federation,1334146296.4746275,157425.5359997121,8.474776903265981
19,Serbia,-14798404.290285215,1061.5543049078278,-13.940317722671875
20,Slovakia,-20433602.66491015,2170.5013127662987,-9.414231884922277
21,Spain,1429121896.3973093,194451.12684665676,7.349517174689906
22,Sweden,190407656.59283862,40234.38120860487,4.732461414172723
23,Switzerland,139140231.99832827,30538.74855484806,4.55618643797503
24,Thailand,1384703168.0760148,159117.00409337532,8.702421064083278
25,Turkey,89258371.90727931,21705.013127663005,4.112338996631136
26,USA,14987091415.535912,1601829.9688215288,9.356231127678276
27,United Kingdom,1975562173.7999249,248178.6303208752,7.960242875245465
28,Viet Nam,170964412.43370473,26046.0157531956,6.563937227624883
