,country,total_netprofits,scrap,net_profit
0,Australia,-40695553.241050564,28216.5170659619,-1.4422599765207151
1,Belgium,-72642860.9443644,19534.511814896694,-3.7186934402408847
2,Brazil,-34454707.95942101,21705.013127663,-1.5874078378468495
3,Canada,1554472078.1284556,425185.89790428197,3.655982208700626
4,China,61380309609.6876,22031567.964235283,2.7860163974406493
5,Czechia,-55715449.09267659,2170.501312766299,-25.66939202707386
6,Finland,-74304859.4949669,15193.509189364097,-4.89056600215719
7,France,577719551.3120301,219220.63258939626,2.6353338391925365
8,Germany,803012675.4476155,278115.4866095425,2.8873353484806015
9,Hungary,-47414584.547469735,29801.11798698791,-1.5910337514241046
10,India,7848701700.527278,1758339.8482075841,4.463700068293444
11,Italy,522566417.7229016,203408.48197759548,2.569049297464694
12,Japan,3502371056.9521775,837970.4490191811,4.17958778982194
13,Korea,20229331471.766003,4643146.407963836,4.356815334762876
14,Netherlands,44373954.543795794,67939.24482546971,0.6531417100350292
15,Norway,-62595156.2530365,17948.48707410563,-3.4874892794358607
16,Poland,439349054.9741237,173640.10502130399,2.5302279961200194
17,Romania,-55840277.47452509,2170.501312766299,-25.72690334075715
18,Russian Federation,581142529.3498602,157425.5359997121,3.691539149982141
19,Serbia,-41566986.67321942,1061.5543049078278,-39.15672187569206
20,Slovakia,-55745066.364374936,2170.5013127662987,-25.683037387030183
21,Spain,506992074.50133187,194451.12684665676,2.6072982076423936
22,Sweden,-35413587.52009696,40234.38120860487,-0.8801822336097741
23,Switzerland,-43292200.12987426,30538.74855484806,-1.4176153961293079
24,Thailand,621715813.7335256,159117.00409337532,3.9072870764251033
25,Turkey,-50055483.263010584,21705.013127663005,-2.306171526761942
26,USA,7071071693.40408,1601829.9688215288,4.414370957615613
27,United Kingdom,764285662.3656751,248178.6303208752,3.0795788556714756
28,Viet Nam,24678869.325692754,26046.0157531956,0.9475103432149653
