,country,type,recycling_m,net_profit
0,Afghanistan,LFP,Direct,0.0
3,Afghanistan,NCA,Direct,-17209.91904988526
6,Afghanistan,NMC111,Direct,-43017.46213509996
9,Afghanistan,NMC523,Direct,-37264.19410579379
12,Afghanistan,NMC622,Direct,0.0
15,Afghanistan,NMC811,Direct,0.0
18,Albania,LFP,Direct,-159.89273200161796
21,Albania,NCA,Direct,-1.5616424138173624
24,Albania,NMC111,Direct,-10.328691809585148
28,Albania,NMC523,Hydro,-12.035679355618763
30,Albania,NMC622,Direct,-11.858195899160034
33,Albania,NMC811,Direct,-15.035686807986714
36,Algeria,LFP,Direct,0.0
39,Algeria,NCA,Direct,-13.574973461594183
42,Algeria,NMC111,Direct,-40.45297560703493
45,Algeria,NMC523,Direct,-42.36618825484318
48,Algeria,NMC622,Direct,-51.604494482886025
51,Algeria,NMC811,Direct,-57.35435971966473
54,Andorra,LFP,Direct,0.0
57,Andorra,NCA,Direct,-209.30513636818912
60,Andorra,NMC111,Direct,-392.1943600841968
63,Andorra,NMC523,Direct,-374.23076606502616
66,Andorra,NMC622,Direct,-510.2895239329455
69,Andorra,NMC811,Direct,-569.1221570548801
72,Angola,LFP,Direct,0.0
75,Angola,NCA,Direct,-37.136396550008044
78,Angola,NMC111,Direct,-86.58504052906515
81,Angola,NMC523,Direct,-83.95243104318617
84,Angola,NMC622,Direct,-110.08062265996953
87,Angola,NMC811,Direct,-122.98162923661557
90,Argentina,LFP,Direct,0.0
93,Argentina,NCA,Direct,-0.35404242762805316
96,Argentina,NMC111,Direct,-15.385842895903018
99,Argentina,NMC523,Direct,-18.909938909322296
102,Argentina,NMC622,Direct,-18.148071231941927
105,Argentina,NMC811,Direct,-19.60684285661963
108,Armenia,LFP,Direct,0.0
111,Armenia,NCA,Direct,-346.4369068162321
114,Armenia,NMC111,Direct,-506.8176234813457
117,Armenia,NMC523,Direct,-598.9265444151187
120,Armenia,NMC622,Direct,-890.2262471617042
123,Armenia,NMC811,Direct,-1289.3707170225127
126,Aruba,LFP,Direct,0.0
129,Aruba,NCA,Direct,-500.4558076463575
132,Aruba,NMC111,Direct,-642.4803928659214
135,Aruba,NMC523,Direct,-806.4022745457914
138,Aruba,NMC622,Direct,-1303.7768266773458
141,Aruba,NMC811,Direct,-1920.4772852801223
144,Australia,LFP,Direct,0.0
148,Australia,NCA,Hydro,8.796826070559016
151,Australia,NMC111,Hydro,9.043720879795307
154,Australia,NMC523,Hydro,8.330573497416987
157,Australia,NMC622,Hydro,9.294298939351435
160,Australia,NMC811,Hydro,9.312647462452459
162,Austria,LFP,Direct,-67.67918917015685
165,Austria,NCA,Direct,5.22559266052106
169,Austria,NMC111,Hydro,1.7599732705397646
172,Austria,NMC523,Hydro,1.6219818377537414
174,Austria,NMC622,Direct,-0.23667487696377992
177,Austria,NMC811,Direct,-0.550266150442732
180,Azerbaijan,LFP,Direct,0.0
183,Azerbaijan,NCA,Direct,-7.756678909016742
186,Azerbaijan,NMC111,Direct,-29.007809057930224
189,Azerbaijan,NMC523,Direct,-31.030419799173977
192,Azerbaijan,NMC622,Direct,-34.43896110811604
195,Azerbaijan,NMC811,Direct,-37.48054924051391
198,Bahamas,LFP,Direct,0.0
201,Bahamas,NCA,Direct,-3563.8248172801286
204,Bahamas,NMC111,Direct,0.0
207,Bahamas,NMC523,Direct,0.0
210,Bahamas,NMC622,Direct,0.0
213,Bahamas,NMC811,Direct,0.0
216,Bahrain,LFP,Direct,0.0
219,Bahrain,NCA,Direct,-342.2736205996162
222,Bahrain,NMC111,Direct,-419.34012925995705
225,Bahrain,NMC523,Direct,-546.0050223191258
228,Bahrain,NMC622,Direct,-914.2605670725953
231,Bahrain,NMC811,Direct,-2661.653610841474
234,Bangladesh,LFP,Direct,0.0
237,Bangladesh,NCA,Direct,-1160.9351140250915
240,Bangladesh,NMC111,Direct,-2577.9052596505953
243,Bangladesh,NMC523,Direct,-2708.981714805435
246,Bangladesh,NMC622,Direct,-4401.960664233325
249,Bangladesh,NMC811,Direct,-5124.863290561353
252,Barbados,LFP,Direct,0.0
255,Barbados,NCA,Direct,-1065.1223233484457
258,Barbados,NMC111,Direct,-2075.663910877381
261,Barbados,NMC523,Direct,-1876.161028154149
264,Barbados,NMC622,Direct,-2621.7897584860516
267,Barbados,NMC811,Direct,-2992.1782659196756
270,Belarus,LFP,Direct,0.0
273,Belarus,NCA,Direct,-0.2848253015656308
276,Belarus,NMC111,Direct,-15.645526900270488
279,Belarus,NMC523,Direct,-18.818869126202724
282,Belarus,NMC622,Direct,-17.99473194841802
285,Belarus,NMC811,Direct,-19.363501013542905
289,Belgium,LFP,Hydro,117.56381412447445
292,Belgium,NCA,Hydro,10.847548476573555
295,Belgium,NMC111,Hydro,11.624993903683418
298,Belgium,NMC523,Hydro,10.778790998654232
301,Belgium,NMC622,Hydro,13.209833628772909
304,Belgium,NMC811,Hydro,14.957075358506856
306,Benin,LFP,Direct,0.0
309,Benin,NCA,Direct,-2.024085899459809
312,Benin,NMC111,Direct,-19.201966073213583
315,Benin,NMC523,Direct,-21.982898394074535
318,Benin,NMC622,Direct,-22.533333990959683
321,Benin,NMC811,Direct,-24.455772516204387
324,Bermuda,LFP,Direct,0.0
327,Bermuda,NCA,Direct,-382.2413069412439
330,Bermuda,NMC111,Direct,-484.53305085997414
333,Bermuda,NMC523,Direct,-578.1565085383116
336,Bermuda,NMC622,Direct,-974.8969007448055
339,Bermuda,NMC811,Direct,-2876.7366018504013
342,Bolivia (Plurinational State of),LFP,Direct,0.0
345,Bolivia (Plurinational State of),NCA,Direct,-3.077136117193719
348,Bolivia (Plurinational State of),NMC111,Direct,-20.980782358762653
351,Bolivia (Plurinational State of),NMC523,Direct,-23.656034189139877
354,Bolivia (Plurinational State of),NMC622,Direct,-24.747898475566295
357,Bolivia (Plurinational State of),NMC811,Direct,-26.90136722129189
360,Bosnia Herzegovina,LFP,Direct,0.0
363,Bosnia Herzegovina,NCA,Direct,-27.790505092615927
366,Bosnia Herzegovina,NMC111,Direct,-66.12169172497931
369,Bosnia Herzegovina,NMC523,Direct,-64.8588615226263
372,Bosnia Herzegovina,NMC622,Direct,-80.93588575948965
375,Bosnia Herzegovina,NMC811,Direct,-89.07272216012548
378,Botswana,LFP,Direct,0.0
381,Botswana,NCA,Direct,-20.917714711955988
384,Botswana,NMC111,Direct,-55.79162096143892
387,Botswana,NMC523,Direct,-55.13808255963367
390,Botswana,NMC622,Direct,-69.32725351327744
393,Botswana,NMC811,Direct,-76.93257151112152
396,Brazil,LFP,Direct,0.0
399,Brazil,NCA,Direct,10.084984230556481
403,Brazil,NMC111,Hydro,8.106324543262646
406,Brazil,NMC523,Hydro,7.524065919324413
409,Brazil,NMC622,Hydro,7.977208265250905
411,Brazil,NMC811,Direct,9.059198762144472
414,Brunei Darussalam,LFP,Direct,0.0
417,Brunei Darussalam,NCA,Direct,-267.51444913756296
420,Brunei Darussalam,NMC111,Direct,-682.3254837248782
423,Brunei Darussalam,NMC523,Direct,-602.4842762125912
426,Brunei Darussalam,NMC622,Direct,-956.4752254512492
429,Brunei Darussalam,NMC811,Direct,-1116.1589792153677
432,Bulgaria,LFP,Direct,-92.7553442028357
435,Bulgaria,NCA,Direct,4.4700840450663994
439,Bulgaria,NMC111,Hydro,-0.06998382107308565
442,Bulgaria,NMC523,Hydro,-0.01541653529951681
444,Bulgaria,NMC622,Direct,-2.012010520544731
447,Bulgaria,NMC811,Direct,-2.996723896374812
450,Burkina Faso,LFP,Direct,0.0
453,Burkina Faso,NCA,Direct,-7.838078007869864
456,Burkina Faso,NMC111,Direct,-30.50983856359362
459,Burkina Faso,NMC523,Direct,-32.196828468624226
462,Burkina Faso,NMC622,Direct,-36.93085894608045
465,Burkina Faso,NMC811,Direct,-40.5561338854602
468,Burundi,LFP,Direct,0.0
471,Burundi,NCA,Direct,-24.08360861932854
474,Burundi,NMC111,Direct,-61.68080740299112
477,Burundi,NMC523,Direct,-60.56992868529917
480,Burundi,NMC622,Direct,-77.11966034856815
483,Burundi,NMC811,Direct,-85.63145895938551
486,C?te d'Ivoire,LFP,Direct,0.0
489,C?te d'Ivoire,NCA,Direct,-26.62696373054423
492,C?te d'Ivoire,NMC111,Direct,-66.34974244653525
495,C?te d'Ivoire,NMC523,Direct,-65.33859986277032
498,C?te d'Ivoire,NMC622,Direct,-83.8001946446985
501,C?te d'Ivoire,NMC811,Direct,-93.16107852487781
504,Cabo Verde,LFP,Direct,0.0
507,Cabo Verde,NCA,Direct,-175.38755506490588
510,Cabo Verde,NMC111,Direct,-356.90470425496625
513,Cabo Verde,NMC523,Direct,-326.5371823798963
516,Cabo Verde,NMC622,Direct,-451.73915747335855
519,Cabo Verde,NMC811,Direct,-504.6500977650348
522,Cambodia,LFP,Direct,0.0
525,Cambodia,NCA,Direct,-5.986217317891146
528,Cambodia,NMC111,Direct,-35.940181396386066
531,Cambodia,NMC523,Direct,-35.66684896154195
534,Cambodia,NMC622,Direct,-48.61790635062357
537,Cambodia,NMC811,Direct,-56.32950845536395
540,Cameroon,LFP,Direct,0.0
543,Cameroon,NCA,Direct,-518.8762092505599
546,Cameroon,NMC111,Direct,-608.0430727458241
549,Cameroon,NMC523,Direct,-970.1951930452908
552,Cameroon,NMC622,Direct,-1759.2372287048743
555,Cameroon,NMC811,Direct,0.0
558,Canada,LFP,Direct,0.0
561,Canada,NCA,Direct,6.651675677774541
565,Canada,NMC111,Hydro,2.8400203271648796
568,Canada,NMC523,Hydro,2.9617567283399695
571,Canada,NMC622,Hydro,0.6948153613324387
573,Canada,NMC811,Direct,0.20140061697266187
576,Cayman Isds,LFP,Direct,0.0
579,Cayman Isds,NCA,Direct,0.0
582,Cayman Isds,NMC111,Direct,0.0
585,Cayman Isds,NMC523,Direct,0.0
588,Cayman Isds,NMC622,Direct,0.0
