,country,type,recycling_m,scrap,unit_cost,net_profit
0,Afghanistan,LFP,Hydro,0.0,0.0,0.0
1,Afghanistan,NCA,Hydro,0.0143042627988924,380957.21542296966,-380948.7694678584
2,Afghanistan,NMC111,Hydro,0.0036279233164211,1358577.8080266677,-1358569.7074591122
3,Afghanistan,NMC523,Hydro,0.0044994651472216,1112817.445373916,-1112809.9262469371
4,Afghanistan,NMC622,Hydro,0.0,0.0,0.0
5,Afghanistan,NMC811,Hydro,0.0,0.0,0.0
6,Albania,LFP,Hydro,2.9794774326345936,610.7277413246593,-609.1647133051514
7,Albania,NCA,Hydro,902.5244641272384,14.554019973372867,-6.137558748721957
8,Albania,NMC111,Hydro,512.278178298979,21.07873055177348,-13.00981788112292
9,Albania,NMC523,Hydro,575.9531932912797,19.52389105932616,-12.035679355618763
10,Albania,NMC622,Hydro,285.33973515938106,30.90742190898218,-22.969010455452807
11,Albania,NMC811,Hydro,177.70135708375514,42.128767662880136,-34.39752355848301
12,Algeria,LFP,Hydro,0.0,0.0,0.0
13,Algeria,NCA,Hydro,208.39902020637263,39.92482940135923,-31.47887429013923
14,Algeria,NMC111,Hydro,55.97229312286946,100.06261421963588,-91.96204666421387
15,Algeria,NMC523,Hydro,65.2925673744968,89.85053862554287,-82.33141164668926
16,Algeria,NMC622,Hydro,31.94730691829337,148.07639481729598,-140.10732923134717
17,Algeria,NMC811,Hydro,25.119013532392632,175.17621543874796,-167.41532037623915
18,Andorra,LFP,Hydro,0.0,0.0,0.0
19,Andorra,NCA,Hydro,1.548229223418962,937.1139938206758,-928.6680387094558
20,Andorra,NMC111,Hydro,0.4219828358779104,2192.9088470726406,-2184.8082795172186
21,Andorra,NMC523,Hydro,0.4814822199830743,2011.6572536469168,-2004.1381266680633
22,Andorra,NMC622,Hydro,0.2351809937688951,3214.2135027665754,-3206.2444371806264
23,Andorra,NMC811,Hydro,0.1845749663333796,3766.155496514839,-3758.39460145233
24,Angola,LFP,Hydro,0.0,0.0,0.0
25,Angola,NCA,Hydro,51.50814332198456,106.04760773717116,-97.60165262595116
26,Angola,NMC111,Hydro,13.40355719525808,271.7240537920509,-263.6234862366289
