,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,-15726635.693061437,0.10295336019659651,-152754.95295180602,high_collection,baseline
1,Albania,-63251528.654792584,21332.556115675125,-2.9650234276573855,high_collection,baseline
2,Algeria,-40729179.97634248,844.3019724653368,-48.24006256602063,high_collection,baseline
3,Andorra,-5587903.740203369,5.133188482095253,-1088.583394062809,high_collection,baseline
4,Angola,-30119520.050178386,315.2170690860278,-95.55167852270807,high_collection,baseline
5,Argentina,-58562593.469271615,4130.101663878066,-14.179455673321792,high_collection,baseline
6,Armenia,-1767774.8864829824,0.871355174932799,-2028.7650057501723,high_collection,baseline
7,Aruba,-1321835.2165248408,0.4855871662009492,-2722.1378745784837,high_collection,baseline
8,Australia,41431746.31433435,58327.69692525756,0.7103271429939354,high_collection,baseline
9,Austria,-72876889.76992247,17416.609306873605,-4.184332810471957,high_collection,baseline
10,Azerbaijan,-55587243.20184875,3024.877308767544,-18.376693507776423,high_collection,baseline
11,Bahamas,-350427.2190958389,0.0098656253018824,-35520.02112111191,high_collection,baseline
12,Bahrain,-4270609.566942654,2.598254931979348,-1643.645323012745,high_collection,baseline
13,Bangladesh,-28454995.374543957,2.199501062531239,-12937.022790885701,high_collection,baseline
14,Barbados,0.0,0.0,,high_collection,baseline
15,Belarus,-61363917.68179765,8592.39356521134,-7.141655839677351,high_collection,baseline
16,Belgium,-67362578.76348777,23590.8930151641,-2.8554484444564037,high_collection,baseline
17,Benin,-50654458.40930291,15746.657622951747,-3.2168387490352774,high_collection,baseline
18,Bermuda,-4994591.553682935,2.0829144428406132,-2397.886082575465,high_collection,baseline
19,Bolivia (Plurinational State of),-58904414.83120485,4389.003467616246,-13.42090870190107,high_collection,baseline
20,Bosnia Herzegovina,-31089102.68626583,462.6209890540628,-67.20210155149854,high_collection,baseline
21,Botswana,-33979986.88686329,461.8820096709474,-73.56854386052233,high_collection,baseline
22,Brazil,3153507439.44204,676341.2019859107,4.662598449100153,high_collection,baseline
23,Brunei Darussalam,-39076894.956147455,23.924805519570324,-1633.3213210106485,high_collection,baseline
24,Bulgaria,40140342.270749964,54668.453111789386,0.7342505592515769,high_collection,baseline
25,Burkina Faso,-58010512.30568663,3816.7719233529738,-15.198841709861801,high_collection,baseline
26,Burundi,-37697160.26854818,648.7764131284681,-58.1050104561732,high_collection,baseline
27,C?te d'Ivoire,-33120353.910128705,425.3742004619743,-77.86168948224554,high_collection,baseline
28,Cabo Verde,-12899468.692671986,25.427420440943653,-507.3054391274802,high_collection,baseline
29,Cambodia,-56546166.99340345,4685.974191656229,-12.067110206046088,high_collection,baseline
30,Cameroon,-3746193.925778345,1.090177854955792,-3436.3144589194194,high_collection,baseline
31,Canada,2210212957.1290464,572797.4634985826,3.8586290931340965,high_collection,baseline
32,Cayman Isds,0.0,0.0,,high_collection,baseline
33,Chile,-58164610.599861674,10030.300972273008,-5.798889859900261,high_collection,baseline
34,China,32415462457.474033,12082770.699272668,2.682783879977571,high_collection,baseline
35,Colombia,-60155551.37819204,5639.300172954536,-10.667201520268677,high_collection,baseline
36,Comoros,-12327185.449950125,22.307589733708163,-552.6005093828213,high_collection,baseline
37,Congo,-5799607.42035696,3.693464683042678,-1570.2349739484284,high_collection,baseline
38,Costa Rica,-50656651.19535299,1857.4325806086995,-27.27240370616967,high_collection,baseline
39,Croatia,-34077880.01022791,35062.04520614648,-0.9719307533222266,high_collection,baseline
40,Cyprus,-60395632.23562934,2967.2915408465337,-20.353791127109528,high_collection,baseline
41,Czechia,470181198.45539784,127768.86166278149,3.6799357240603765,high_collection,baseline
42,Denmark,-74799914.18440199,12538.131083725406,-5.965794557810365,high_collection,baseline
43,Dominican Rep.,-60307020.859481886,6567.199279226117,-9.183065458398653,high_collection,baseline
44,Ecuador,-57177980.14963181,3490.443076588225,-16.381295696568447,high_collection,baseline
45,Egypt,30179181.45096132,44404.9582717919,0.679635397160874,high_collection,baseline
46,El Salvador,-1140998.2432561682,0.3150971814870861,-3621.0994902311772,high_collection,baseline
47,Estonia,-58688331.96624607,2692.8811752802603,-21.793881031582508,high_collection,baseline
48,Eswatini,-15153752.99874819,40.534853865539695,-373.845013701431,high_collection,baseline
49,Ethiopia,-46380153.51910387,1349.9501231591844,-34.35693861826833,high_collection,baseline
50,Fiji,-656028.2937558618,0.0833888726360945,-7867.096328532242,high_collection,baseline
51,Finland,-68193479.20470127,20819.61286285317,-3.2754441522961093,high_collection,baseline
52,France,242246183.55481207,127398.79338124435,1.9014794184893398,high_collection,baseline
53,French Polynesia,-42481620.74338145,978.4424712929343,-43.41759683351168,high_collection,baseline
54,Georgia,-20345952.42046614,138.04603429427402,-147.3852727786043,high_collection,baseline
55,Germany,346733068.1943272,156974.45990063337,2.208850206675743,high_collection,baseline
56,Ghana,-11327357.763791066,19.475636011156674,-581.6168343515023,high_collection,baseline
57,Greece,-67669016.84338868,17942.200425516156,-3.771500442451556,high_collection,baseline
58,Greenland,-4470095.053023619,1.3592856720506936,-3288.561885802699,high_collection,baseline
59,Grenada,-27613321.08323103,218.2310210443304,-126.53252022141157,high_collection,baseline
60,Guatemala,-59055833.661644846,9085.700019661996,-6.4998661120050745,high_collection,baseline
61,Guinea,-6561749.172342766,3.7177752713057686,-1764.9665978971686,high_collection,baseline
62,Guyana,-52071134.18436999,2104.6955636330467,-24.74045894527698,high_collection,baseline
63,Honduras,-40678176.48677852,789.806485618848,-51.50397879412877,high_collection,baseline
64,Hungary,-62683545.86388102,21750.35619647314,-2.8819549113427976,high_collection,baseline
65,Iceland,-35744563.04056858,718.7906227727666,-49.728755367846,high_collection,baseline
66,India,11577379138.143627,3011723.230363834,3.8441046047730656,high_collection,baseline
67,Indonesia,114814502.68919334,46657.620577436704,2.4607877827511166,high_collection,baseline
68,Iran,-39423874.3597943,44.89544152108898,-878.1264427765011,high_collection,baseline
69,Ireland,-75588005.9606243,10478.158134583948,-7.213863828905237,high_collection,baseline
70,Israel,-53873774.63290577,18462.800279239433,-2.9179633543176187,high_collection,baseline
71,Italy,148759936.52753267,98979.4153792059,1.5029381205941628,high_collection,baseline
72,Jamaica,-8258220.795697123,6.129317740716364,-1347.3311622986514,high_collection,baseline
73,Japan,84965056.7023281,49226.00594970668,1.7260197138304365,high_collection,baseline
74,Jordan,-60514293.61012481,4596.360706533734,-13.165697270909059,high_collection,baseline
75,Kazakhstan,-56323843.64556861,3184.676511388743,-17.685891626401784,high_collection,baseline
76,Kenya,238723799.55073538,101092.61708724627,2.3614365364061043,high_collection,baseline
77,Kiribati,-6719974.117910456,3.9249707358141115,-1712.1080818750638,high_collection,baseline
78,Korea,190428723.07331365,80709.6157989584,2.359430424593487,high_collection,baseline
79,Kuwait,-8053871.438794257,12.641836178908688,-637.0808262988827,high_collection,baseline
80,Kyrgyzstan,-4934698.305545701,2.3533717982005986,-2096.8630240741386,high_collection,baseline
81,Lao People's Dem. Rep.,172403788.04144096,59503.09851887062,2.897391771737154,high_collection,baseline
82,Latvia,-62991488.23732673,3503.9528628904845,-17.977264735623102,high_collection,baseline
83,Lebanon,-7956367.558906151,37679.71310608892,-0.21115785931025116,high_collection,baseline
84,Lesotho,-42875697.86024622,1011.1725254925431,-42.40196087147584,high_collection,baseline
85,Lithuania,-68785111.96426602,5240.356536977866,-13.126036650157904,high_collection,baseline
86,Luxembourg,-47847602.3442324,1390.6639495839556,-34.40630093168586,high_collection,baseline
87,Madagascar,-52659937.115369335,2278.376788126371,-23.112918543501472,high_collection,baseline
88,Malawi,-60900345.58622111,6242.589234891975,-9.755622754389822,high_collection,baseline
89,Malaysia,-41347900.42601806,37.20981688789397,-1111.2094571868315,high_collection,baseline
90,Maldives,-53260924.557807244,298.01646591295065,-178.71805973756005,high_collection,baseline
91,Mali,-34458001.99548228,483.15605184586906,-71.3185768114412,high_collection,baseline
92,Malta,-45769813.10141252,1163.4479024712728,-39.339804562106416,high_collection,baseline
93,Mauritania,-1781821.5422331656,0.1310035071286659,-13601.327027704216,high_collection,baseline
94,Mauritius,-51304782.511689596,2029.209265375088,-25.283140278884044,high_collection,baseline
95,Mexico,845061443.4041818,244320.25855369787,3.4588267399792807,high_collection,baseline
96,Mongolia,-52042479.37876494,1065.3678310359833,-48.849306185787384,high_collection,baseline
97,Montenegro,-24532130.583248626,239.5519540791612,-102.4083926910563,high_collection,baseline
98,Morocco,-60660659.27302866,8353.798182414655,-7.261446583749616,high_collection,baseline
99,Mozambique,-3792390.640326018,0.8468886164986039,-4478.027649025873,high_collection,baseline
100,Myanmar,39031069.487178504,29361.690987157093,1.3293195376332663,high_collection,baseline
101,Namibia,-54764170.00491001,2748.222784457628,-19.927121743777374,high_collection,baseline
102,Nepal,-57815095.548978046,686.1297528627456,-84.26262716017719,high_collection,baseline
103,Netherlands,-40332377.74982608,36055.31195265186,-1.1186251225004211,high_collection,baseline
104,New Caledonia,-952620.4881618663,0.0698334463719045,-13641.32142481695,high_collection,baseline
105,New Zealand,-66928733.1907011,9899.71733788626,-6.760671128918454,high_collection,baseline
106,Nicaragua,-56600166.53044993,3269.4359227480686,-17.311905743935064,high_collection,baseline
107,Niger,-53390232.25656427,2428.4431294124033,-21.985374748916932,high_collection,baseline
108,Nigeria,1620763944.997233,425480.6681847526,3.8092540183129153,high_collection,baseline
109,North Macedonia,-29421297.260690995,395.9869036973044,-74.29866236985674,high_collection,baseline
110,Norway,-68209180.80624145,10804.233432076677,-6.313190217062073,high_collection,baseline
111,Oman,-49278891.01195821,1892.305759739735,-26.04171696794706,high_collection,baseline
112,Pakistan,1936209124.0793185,437763.2410331201,4.42295958772114,high_collection,baseline
