,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Australia,332362609.6276235,130768.35266470698,2.5416134932876977,high_collection,baseline
1,Belgium,203606352.0112391,48137.79819259899,4.229656520570623,high_collection,baseline
2,Brazil,397349017.0061647,249779.74221997132,1.5907976102250714,high_collection,baseline
3,Canada,1033289106.7473854,1403175.3700929824,0.7363934179367143,high_collection,baseline
4,China,1344984548.7783775,70274732.98454186,0.019138949258963815,high_collection,baseline
5,Czechia,134884973.9094836,24977.97422199713,5.40015666245246,high_collection,baseline
6,Finland,277257887.73329556,90148.18117351356,3.075579386339929,high_collection,baseline
7,France,502064090.96141934,263787.20255883527,1.903292070620593,high_collection,baseline
8,Germany,537458593.8902978,297977.1738769626,1.8036904870848232,high_collection,baseline
9,Hungary,169109663.64711162,38102.12745445451,4.438326018652301,high_collection,baseline
10,India,854293117.6189004,30672952.344612475,0.02785167557465175,high_collection,baseline
11,Italy,415021117.40580535,192569.09975238584,2.155180233689925,high_collection,baseline
12,Japan,399180521.2134953,522020.9404975634,0.7646829662293185,high_collection,baseline
13,Korea,1745867088.6013994,16191630.256743442,0.10782528139032113,high_collection,baseline
14,Netherlands,248312130.74802446,73452.42901524386,3.3805843329768073,high_collection,baseline
15,Norway,128412778.34127504,24177.888545446054,5.31116594817217,high_collection,baseline
16,Poland,344954070.364622,141941.6146583191,2.43025325021836,high_collection,baseline
17,Romania,134031776.61070018,24977.97422199713,5.36599867625228,high_collection,baseline
18,Russian Federation,335013072.90529174,1880885.7524767325,0.17811452527839594,high_collection,baseline
19,Serbia,93991262.73065291,14352.628951205164,6.548714040486683,high_collection,baseline
20,Slovakia,123079114.25556335,21178.412629423565,5.811536322819928,high_collection,baseline
21,Spain,382519372.38708055,167539.59702030307,2.2831580067649644,high_collection,baseline
22,Sweden,197147560.62266517,48237.784468119775,4.0869945167767705,high_collection,baseline
23,Switzerland,159137524.085413,35070.96988135103,4.5375854909001045,high_collection,baseline
24,Thailand,336861417.82772684,1878214.1468161864,0.17935197559807017,high_collection,baseline
25,Turkey,439748450.14915746,249779.7422199713,1.76054489543787,high_collection,baseline
26,USA,2929089799.9376593,11515432.659504289,0.2543621144378043,high_collection,baseline
27,United Kingdom,483267603.93088496,281317.5411254553,1.717872273436973,high_collection,baseline
28,Viet Nam,183118620.49877274,299735.69066396554,0.610933653223391,high_collection,baseline
