,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,14042939.018093333,0.04385130356677,320239.94444568595,high_collection,baseline
1,Albania,171688421.39626163,24917.102146003912,6.890384780310266,high_collection,baseline
2,Algeria,71204240.62392259,3155.1450419181983,22.567660021307084,high_collection,baseline
3,Andorra,7856033.998559451,12.012077806536226,654.011248102696,high_collection,baseline
4,Angola,53441537.40376075,1397.6663921699487,38.23626131611423,high_collection,baseline
5,Argentina,116768637.57231805,13414.538788974982,8.704633041002259,high_collection,baseline
6,Armenia,3824475.788286018,1.7899842603253489,2136.5974400193213,high_collection,baseline
7,Aruba,4938130.889025697,1.2559598816064652,3931.7584592825233,high_collection,baseline
8,Australia,244573908.43950695,65384.1765054937,3.740567236768018,high_collection,baseline
9,Austria,155243447.5889135,18279.563415116376,8.492732789259843,high_collection,baseline
10,Azerbaijan,184422157.1463567,36361.7954204085,5.071866089506887,high_collection,baseline
11,Bahamas,979877.2155103827,0.027397745631619497,35764.8847713775,high_collection,baseline
12,Bahrain,3462862.9328246727,1.535212769351175,2255.6241075874964,high_collection,baseline
13,Bangladesh,30258438.541080922,3.47115549123825,8717.108356988918,high_collection,baseline
14,Barbados,3070763.817994848,0.31403409007511357,9778.440987920625,high_collection,baseline
15,Belarus,205719498.5240207,59638.32623637416,3.4494512422877124,high_collection,baseline
16,Belgium,175783314.50275725,24081.36529742157,7.299557659281829,high_collection,baseline
17,Benin,320960185.3455458,226219.34874881,1.4188007662506994,high_collection,baseline
18,Bermuda,4037134.775467261,1.1483105322256069,3515.716926886195,high_collection,baseline
19,Bolivia (Plurinational State of),149256745.67018616,27553.168374127657,5.417044734874767,high_collection,baseline
20,Bosnia Herzegovina,78581727.7787844,4060.1087950510664,19.354586723037805,high_collection,baseline
21,Botswana,51627391.41150528,1267.1377858678725,40.743312990343256,high_collection,baseline
22,Brazil,46424152.58424304,817379.4039886646,0.056796332716118746,high_collection,baseline
23,Brunei Darussalam,43698052.073558636,54.46907087399891,802.254405525726,high_collection,baseline
24,Bulgaria,212849013.1287734,54402.06362766896,3.9125172637847894,high_collection,baseline
25,Burkina Faso,222658013.09611893,80151.0205967921,2.777981009327664,high_collection,baseline
26,Burundi,90496633.56288707,6229.421827936747,14.527292590307782,high_collection,baseline
27,C?te d'Ivoire,64393390.364446834,2371.9906447023714,27.147404863616856,high_collection,baseline
28,Cabo Verde,33322555.27223465,365.85764485450596,91.0806586684456,high_collection,baseline
29,Cambodia,113676735.00637214,74531.20389531417,1.525223383833185,high_collection,baseline
30,Cameroon,3257902.2223789846,0.7362677171890432,4424.888048626054,high_collection,baseline
31,Canada,485377998.8341873,701587.7093713323,0.6918279672674386,high_collection,baseline
32,Cayman Isds,311519.8532118748,0.0069841441245344,44603.86951602926,high_collection,baseline
33,Chile,199064649.31337848,64087.8507016564,3.106121474412833,high_collection,baseline
34,China,262292619.37339702,12101331.617790624,0.02167469065865369,high_collection,baseline
35,Colombia,152003838.38140282,29065.985680051774,5.229612374223535,high_collection,baseline
36,Comoros,46706745.764987215,953.6674455743903,48.975925498700356,high_collection,baseline
37,Congo,5274006.563366534,1.9979060884091984,2639.7670010435177,high_collection,baseline
38,Costa Rica,100265905.32856065,8583.772460357197,11.680867100289873,high_collection,baseline
39,Croatia,196590277.94096532,35091.93754538377,5.602149430669614,high_collection,baseline
40,Cyprus,75909845.49607009,3151.068944585628,24.090188704535755,high_collection,baseline
41,Czechia,104950135.11267018,119118.54437303961,0.8810562256704659,high_collection,baseline
42,Denmark,133961837.0702711,12917.723387558633,10.370390590596864,high_collection,baseline
43,Dominican Rep.,163360918.74639472,35902.55260014651,4.550119891634894,high_collection,baseline
44,Ecuador,155660827.51502764,31164.22495572184,4.994856369320614,high_collection,baseline
45,Egypt,530319679.83515567,940449.4161342446,0.5639002701655726,high_collection,baseline
