,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
0,China,LFP,Direct,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.7925,2485.593367111412,2485.593367111412,650.8020488020416,2.252335332,282568.56841538823
1,China,NCA,Direct,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.7925,138.3265951364025,138.3265951364025,36.21800440479939,2.452491446,17122.765492811723
2,China,NMC111,Direct,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.7925,1526.2480666584072,1526.2480666584072,399.61700168027687,2.557347078,131336.14413701877
3,China,NMC523,Direct,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.7925,344.1897750426825,344.1897750426825,90.11908936448788,2.496014242,30972.603171061266
4,China,NMC622,Direct,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.7925,1418.8388446111164,1418.8388446111164,371.4940823429738,2.478807863,136550.50266835705
5,China,NMC811,Direct,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.7925,570.2115337833034,570.2115337833034,149.2982880252813,2.397518212,62728.650963598426
6,India,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
7,India,NCA,Direct,761.8568264464371,2025,Strategy 2,high_collection,baseline,0.025,19.04642066116093,0.7925,15.094288373970036,15.094288373970036,3.952132287190894,2.452491446,1868.4473499365936
8,India,NMC111,Direct,223.00163890257352,2025,Strategy 2,high_collection,baseline,0.0375,8.362561458846507,0.7925,6.627329956135856,6.627329956135856,1.7352315027106506,2.557347078,570.2925896367075
9,India,NMC523,Direct,253.77461393158634,2025,Strategy 2,high_collection,baseline,0.035,8.882111487605522,0.7925,7.039073353927376,7.039073353927376,1.8430381336781458,2.496014242,633.4250506312911
10,India,NMC622,Direct,119.16868662262655,2025,Strategy 2,high_collection,baseline,0.0325,3.872982315235363,0.7925,3.069338484824025,3.069338484824025,0.803643830411338,2.478807863,295.39627742354963
11,India,NMC811,Direct,84.9766911152867,2025,Strategy 2,high_collection,baseline,0.0275,2.336859005670384,0.7925,1.8519607619937795,1.8519607619937795,0.4848982436766047,2.397518212,203.73316454439845
12,Japan,LFP,Direct,4.00249837112873,2025,Strategy 2,high_collection,baseline,0.025,0.10006245927821825,0.7925,0.07929949897798796,0.07929949897798796,0.020762960300230282,2.252335332,9.014968497565686
13,Japan,NCA,Direct,25046.200321774144,2025,Strategy 2,high_collection,baseline,0.025,626.1550080443536,0.7925,496.22784387515026,496.22784387515026,129.92716416920337,2.452491446,61425.59204395353
14,Japan,NMC111,Direct,4073.2499280416955,2025,Strategy 2,high_collection,baseline,0.0375,152.74687230156357,0.7925,121.05189629898912,121.05189629898912,31.69497600257445,2.557347078,10416.71380144114
15,Japan,NMC523,Direct,4216.134846725376,2025,Strategy 2,high_collection,baseline,0.035,147.56471963538817,0.7925,116.94504031104512,116.94504031104512,30.619679324343053,2.496014242,10523.532623619025
16,Japan,NMC622,Direct,1769.3901286132584,2025,Strategy 2,high_collection,baseline,0.0325,57.5051791799309,0.7925,45.57285450009524,45.57285450009524,11.93232467983566,2.478807863,4385.978163521127
17,Japan,NMC811,Direct,1171.7934948250768,2025,Strategy 2,high_collection,baseline,0.0275,32.22432110768961,0.7925,25.537774477844017,25.537774477844017,6.686546629845594,2.397518212,2809.3962445462494
18,Korea,LFP,Direct,138.27357186284937,2025,Strategy 2,high_collection,baseline,0.025,3.4568392965712342,0.7925,2.739545142532703,2.739545142532703,0.7172941540385311,2.252335332,311.4384513885367
19,Korea,NCA,Direct,82152.03004014477,2025,Strategy 2,high_collection,baseline,0.025,2053.8007510036196,0.7925,1627.6370951703684,1627.6370951703684,426.16365583325114,2.452491446,201477.15094499008
20,Korea,NMC111,Direct,33462.68255627427,2025,Strategy 2,high_collection,baseline,0.0375,1254.850595860285,0.7925,994.4690972192758,994.4690972192758,260.3814986410092,2.557347078,85575.69345732956
21,Korea,NMC523,Direct,36490.43777847337,2025,Strategy 2,high_collection,baseline,0.035,1277.1653222465682,0.7925,1012.1535178804053,1012.1535178804053,265.0118043661629,2.496014242,91080.65239188439
22,Korea,NMC622,Direct,17038.716809861162,2025,Strategy 2,high_collection,baseline,0.0325,553.7582963204878,0.7925,438.8534498339866,438.8534498339866,114.90484648650124,2.478807863,42235.705203714126
23,Korea,NMC811,Direct,9707.289795670962,2025,Strategy 2,high_collection,baseline,0.0275,266.95046938095146,0.7925,211.55824698440404,211.55824698440404,55.392222396547425,2.397518212,23273.40407428289
24,Thailand,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
25,Thailand,NCA,Direct,5413.733266874777,2025,Strategy 2,high_collection,baseline,0.025,135.34333167186944,0.7925,107.25959034995653,107.25959034995653,28.08374132191291,2.452491446,13277.134527936025
26,Thailand,NMC111,Direct,2283.4443212811507,2025,Strategy 2,high_collection,baseline,0.0375,85.62916204804314,0.7925,67.8611109230742,67.8611109230742,17.76805112496895,2.557347078,5839.559662804044
27,Thailand,NMC523,Direct,2092.2272996395814,2025,Strategy 2,high_collection,baseline,0.035,73.22795548738536,0.7925,58.033154723752894,58.033154723752894,15.194800763632465,2.496014242,5222.229137401597
28,Thailand,NMC622,Direct,856.772697083552,2025,Strategy 2,high_collection,baseline,0.0325,27.84511265521544,0.7925,22.067251779258235,22.067251779258235,5.777860875957206,2.478807863,2123.774898334426
29,Thailand,NMC811,Direct,376.2960636453255,2025,Strategy 2,high_collection,baseline,0.0275,10.348141750246452,0.7925,8.200902337070312,8.200902337070312,2.1472394131761394,2.397518212,902.176665693579
30,Viet Nam,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0,2.252335332,0.0
31,Viet Nam,NCA,Direct,2947.087900639892,2025,Strategy 2,high_collection,baseline,0.025,73.67719751599729,0.7925,58.38917903142785,58.38917903142785,15.288018484569442,2.452491446,7227.707866929432
32,Viet Nam,NMC111,Direct,1260.858855194247,2025,Strategy 2,high_collection,baseline,0.0375,47.28220706978426,0.7925,37.47114910280403,37.47114910280403,9.811057966980236,2.557347078,3224.4537091014327
33,Viet Nam,NMC523,Direct,1143.2080138728,2025,Strategy 2,high_collection,baseline,0.035,40.012280485548004,0.7925,31.709732284796793,31.709732284796793,8.302548200751211,2.496014242,2853.4634841950424
34,Viet Nam,NMC622,Direct,464.3693068009133,2025,Strategy 2,high_collection,baseline,0.0325,15.092002471029684,0.7925,11.960411958291024,11.960411958291024,3.1315905127386596,2.478807863,1151.0822890339634
35,Viet Nam,NMC811,Direct,184.47592349214747,2025,Strategy 2,high_collection,baseline,0.0275,5.073087896034056,0.7925,4.02042215760699,4.02042215760699,1.0526657384270663,2.397518212,442.2843862479422
36,France,LFP,Direct,24.280242327190727,2025,Strategy 2,high_collection,baseline,0.025,0.6070060581797683,0.7925,0.48105230110746633,0.48105230110746633,0.12595375707230194,2.252335332,54.687247663053576
37,France,NCA,Direct,7391.273938408252,2025,Strategy 2,high_collection,baseline,0.025,184.78184846020633,0.7925,146.43961490471352,146.43961490471352,38.34223355549281,2.452491446,18127.03610898897
38,France,NMC111,Direct,4540.212578773574,2025,Strategy 2,high_collection,baseline,0.0375,170.257971704009,0.7925,134.92944257542715,134.92944257542715,35.32852912858186,2.557347078,11610.899371825444
39,France,NMC523,Direct,4974.6151831955485,2025,Strategy 2,high_collection,baseline,0.035,174.11153141184423,0.7925,137.98338864388654,137.98338864388654,36.128142767957684,2.496014242,12416.710345725529
40,France,NMC622,Direct,2329.0605928621926,2025,Strategy 2,high_collection,baseline,0.0325,75.69446926802127,0.7925,59.98786689490685,59.98786689490685,15.706602373114414,2.478807863,5773.293710990245
41,France,NMC811,Direct,1221.7698850623178,2025,Strategy 2,high_collection,baseline,0.0275,33.59867183921374,0.7925,26.62694743257689,26.62694743257689,6.971724406636852,2.397518212,2929.215550310054
42,Germany,LFP,Direct,58.263486938522234,2025,Strategy 2,high_collection,baseline,0.025,1.456587173463056,0.7925,1.154345334969472,1.154345334969472,0.3022418384935841,2.252335332,131.22891019715414
43,Germany,NCA,Direct,16359.572448817638,2025,Strategy 2,high_collection,baseline,0.025,408.989311220441,0.7925,324.12402914219945,324.12402914219945,84.86528207824153,2.452491446,40121.71149094253
44,Germany,NMC111,Direct,9786.185860283125,2025,Strategy 2,high_collection,baseline,0.0375,366.9819697606172,0.7925,290.8332110352891,290.8332110352891,76.1487587253281,2.557347078,25026.673814559967
45,Germany,NMC523,Direct,10792.098146628381,2025,Strategy 2,high_collection,baseline,0.035,377.72343513199337,0.7925,299.3458223421047,299.3458223421047,78.37761278988864,2.496014242,26937.230675046245
