,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
0,China,LFP,Hydro,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.8658,2715.491151097868,2715.491151097868,420.9042648155855,0.8018847791,100601.10981040049
1,China,NCA,Hydro,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.8658,151.12071428277258,151.12071428277258,23.423885258429294,2.249491865,15705.466269904653
2,China,NMC111,Hydro,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.8658,1667.4139761676327,1667.4139761676327,258.4510921710514,2.414310695,123990.3101764531
3,China,NMC523,Hydro,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.8658,376.0246148037281,376.0246148037281,58.28424960344228,2.357900841,29258.778189697776
4,China,NMC622,Hydro,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.8658,1550.0702481568514,1550.0702481568514,240.26267879723878,2.337983546,128792.89000248254
5,China,NMC811,Hydro,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.8658,622.9516037218726,622.9516037218726,96.55821808671203,2.2614716749999997,59169.1302510695
6,India,LFP,Hydro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.8658,0.0,0.0,0.0,0.8018847791,0.0
7,India,NCA,Hydro,761.8568264464371,2025,Strategy 2,high_collection,baseline,0.025,19.04642066116093,0.8658,16.490391008433132,16.490391008433132,2.5560296527277977,2.249491865,1713.790733385977
8,India,NMC111,Hydro,223.00163890257352,2025,Strategy 2,high_collection,baseline,0.0375,8.362561458846507,0.8658,7.240305711069306,7.240305711069306,1.122255747777201,2.414310695,538.3952418050113
9,India,NMC523,Hydro,253.77461393158634,2025,Strategy 2,high_collection,baseline,0.035,8.882111487605522,0.8658,7.690132125968861,7.690132125968861,1.191979361636661,2.357900841,598.3753756137378
10,India,NMC622,Hydro,119.16868662262655,2025,Strategy 2,high_collection,baseline,0.0325,3.872982315235363,0.8658,3.3532280885307775,3.3532280885307775,0.5197542267045856,2.337983546,278.61442852213116
11,India,NMC811,Hydro,84.9766911152867,2025,Strategy 2,high_collection,baseline,0.0275,2.336859005670384,0.8658,2.0232525271094186,2.0232525271094186,0.3136064785609656,2.2614716749999997,192.172379992445
12,Japan,LFP,Hydro,4.00249837112873,2025,Strategy 2,high_collection,baseline,0.025,0.10006245927821825,0.8658,0.08663407724308136,0.08663407724308136,0.013428382035136882,0.8018847791,3.209542522180671
13,Japan,NCA,Hydro,25046.200321774144,2025,Strategy 2,high_collection,baseline,0.025,626.1550080443536,0.8658,542.1250059648014,542.1250059648014,84.03000207955222,2.249491865,56341.223872991315
14,Japan,NMC111,Hydro,4073.2499280416955,2025,Strategy 2,high_collection,baseline,0.0375,152.74687230156357,0.8658,132.24824203869375,132.24824203869375,20.498630262869824,2.414310695,9834.090864679047
15,Japan,NMC523,Hydro,4216.134846725376,2025,Strategy 2,high_collection,baseline,0.035,147.56471963538817,0.8658,127.76153426031908,127.76153426031908,19.80318537506909,2.357900841,9941.22790086317
16,Japan,NMC622,Hydro,1769.3901286132584,2025,Strategy 2,high_collection,baseline,0.0325,57.5051791799309,0.8658,49.787984133984175,49.787984133984175,7.717195045946724,2.337983546,4136.805007152621
17,Japan,NMC811,Hydro,1171.7934948250768,2025,Strategy 2,high_collection,baseline,0.0275,32.22432110768961,0.8658,27.899817215037665,27.899817215037665,4.324503892651947,2.2614716749999997,2649.97779749617
18,Korea,LFP,Hydro,138.27357186284937,2025,Strategy 2,high_collection,baseline,0.025,3.4568392965712342,0.8658,2.9929314629713746,2.9929314629713746,0.46390783359985965,0.8018847791,110.87947262860894
19,Korea,NCA,Hydro,82152.03004014477,2025,Strategy 2,high_collection,baseline,0.025,2053.8007510036196,0.8658,1778.180690218934,1778.180690218934,275.6200607846856,2.249491865,184800.32326854128
20,Korea,NMC111,Hydro,33462.68255627427,2025,Strategy 2,high_collection,baseline,0.0375,1254.850595860285,0.8658,1086.4496458958347,1086.4496458958347,168.40094996445032,2.414310695,80789.3123790029
21,Korea,NMC523,Hydro,36490.43777847337,2025,Strategy 2,high_collection,baseline,0.035,1277.1653222465682,0.8658,1105.7697360010786,1105.7697360010786,171.39558624548954,2.357900841,86040.83392632054
22,Korea,NMC622,Hydro,17038.716809861162,2025,Strategy 2,high_collection,baseline,0.0325,553.7582963204878,0.8658,479.44393295427835,479.44393295427835,74.31436336620948,2.337983546,39836.239546409
