,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap,CO2,CO2_em
0,China,LFP,Pyro,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.0625,196.02471349459086,196.02471349459086,2940.370702418863,1.5136551790000001,189896.84658757036
1,China,NCA,Pyro,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.0625,10.909037471325117,10.909037471325117,163.63556206987676,1.811685064,12648.793759626267
2,China,NMC111,Pyro,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.0625,120.36656677116775,120.36656677116775,1805.4985015675163,1.672116182,85873.87053647065
3,China,NMC523,Pyro,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.0625,27.14430402544815,27.14430402544815,407.16456038172225,1.726439185,21423.08119729688
4,China,NMC622,Pyro,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.0625,111.89580793463064,111.89580793463064,1678.4371190194595,1.7540295940000001,96624.52113815738
5,China,NMC811,Pyro,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.0625,44.96936386303654,44.96936386303654,674.5404579455482,1.8325488049999998,47946.79505967581
6,India,LFP,Pyro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.0625,0.0,0.0,0.0,1.5136551790000001,0.0
7,India,NCA,Pyro,761.8568264464371,2025,Strategy 2,high_collection,baseline,0.025,19.04642066116093,0.0625,1.1904012913225581,1.1904012913225581,17.85601936983837,1.811685064,1380.2446333794503
8,India,NMC111,Pyro,223.00163890257352,2025,Strategy 2,high_collection,baseline,0.0375,8.362561458846507,0.0625,0.5226600911779067,0.5226600911779067,7.839901367668601,1.672116182,372.8846490215139
9,India,NMC523,Pyro,253.77461393158634,2025,Strategy 2,high_collection,baseline,0.035,8.882111487605522,0.0625,0.5551319679753451,0.5551319679753451,8.326979519630177,1.726439185,438.12643764973757
10,India,NMC622,Pyro,119.16868662262655,2025,Strategy 2,high_collection,baseline,0.0325,3.872982315235363,0.0625,0.2420613947022102,0.2420613947022102,3.630920920533153,1.7540295940000001,209.0254030141989
11,India,NMC811,Pyro,84.9766911152867,2025,Strategy 2,high_collection,baseline,0.0275,2.336859005670384,0.0625,0.146053687854399,0.146053687854399,2.190805317815985,1.8325488049999998,155.72393375617276
12,Japan,LFP,Pyro,4.00249837112873,2025,Strategy 2,high_collection,baseline,0.025,0.10006245927821825,0.0625,0.00625390370488864,0.00625390370488864,0.09380855557332961,1.5136551790000001,6.058402388398066
13,Japan,NCA,Pyro,25046.200321774144,2025,Strategy 2,high_collection,baseline,0.025,626.1550080443536,0.0625,39.1346880027721,39.1346880027721,587.0203200415815,1.811685064,45375.82703291021
14,Japan,NMC111,Pyro,4073.2499280416955,2025,Strategy 2,high_collection,baseline,0.0375,152.74687230156357,0.0625,9.546679518847723,9.546679518847723,143.20019278271585,1.672116182,6810.947118008854
15,Japan,NMC523,Pyro,4216.134846725376,2025,Strategy 2,high_collection,baseline,0.035,147.56471963538817,0.0625,9.22279497721176,9.22279497721176,138.34192465817642,1.726439185,7278.900408630658
16,Japan,NMC622,Pyro,1769.3901286132584,2025,Strategy 2,high_collection,baseline,0.0325,57.5051791799309,0.0625,3.594073698745681,3.594073698745681,53.91110548118522,1.7540295940000001,3103.562648919122
17,Japan,NMC811,Pyro,1171.7934948250768,2025,Strategy 2,high_collection,baseline,0.0275,32.22432110768961,0.0625,2.0140200692306007,2.0140200692306007,30.21030103845901,1.8325488049999998,2147.3687686484677
18,Korea,LFP,Pyro,138.27357186284937,2025,Strategy 2,high_collection,baseline,0.025,3.4568392965712342,0.0625,0.21605245603570214,0.21605245603570214,3.2407868405355322,1.5136551790000001,209.29850816903064
19,Korea,NCA,Pyro,82152.03004014477,2025,Strategy 2,high_collection,baseline,0.025,2053.8007510036196,0.0625,128.36254693772622,128.36254693772622,1925.4382040658934,1.811685064,148833.6058010096
20,Korea,NMC111,Pyro,33462.68255627427,2025,Strategy 2,high_collection,baseline,0.0375,1254.850595860285,0.0625,78.42816224126781,78.42816224126781,1176.4224336190173,1.672116182,55953.492995475324
21,Korea,NMC523,Pyro,36490.43777847337,2025,Strategy 2,high_collection,baseline,0.035,1277.1653222465682,0.0625,79.82283264041051,79.82283264041051,1197.3424896061576,1.726439185,62998.521658560785
22,Korea,NMC622,Pyro,17038.716809861162,2025,Strategy 2,high_collection,baseline,0.0325,553.7582963204878,0.0625,34.60989352003049,34.60989352003049,519.1484028004573,1.7540295940000001,29886.41352828175
23,Korea,NMC811,Pyro,9707.289795670962,2025,Strategy 2,high_collection,baseline,0.0275,266.95046938095146,0.0625,16.684404336309466,16.684404336309466,250.266065044642,1.8325488049999998,17789.082314845513
24,Thailand,LFP,Pyro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.0625,0.0,0.0,0.0,1.5136551790000001,0.0
25,Thailand,NCA,Pyro,5413.733266874777,2025,Strategy 2,high_collection,baseline,0.025,135.34333167186944,0.0625,8.45895822949184,8.45895822949184,126.8843734423776,1.811685064,9807.97970007696
26,Thailand,NMC111,Pyro,2283.4443212811507,2025,Strategy 2,high_collection,baseline,0.0375,85.62916204804314,0.0625,5.351822628002696,5.351822628002696,80.27733942004045,1.672116182,3818.184200310219
27,Thailand,NMC523,Pyro,2092.2272996395814,2025,Strategy 2,high_collection,baseline,0.035,73.22795548738536,0.0625,4.576747217961585,4.576747217961585,68.65120826942378,1.726439185,3612.10319402451
28,Thailand,NMC622,Pyro,856.772697083552,2025,Strategy 2,high_collection,baseline,0.0325,27.84511265521544,0.0625,1.740319540950965,1.740319540950965,26.104793114264478,1.7540295940000001,1502.8046660157477
29,Thailand,NMC811,Pyro,376.2960636453255,2025,Strategy 2,high_collection,baseline,0.0275,10.348141750246452,0.0625,0.6467588593904032,0.6467588593904032,9.701382890856049,1.8325488049999998,689.580901759445
30,Viet Nam,LFP,Pyro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.0625,0.0,0.0,0.0,1.5136551790000001,0.0
31,Viet Nam,NCA,Pyro,2947.087900639892,2025,Strategy 2,high_collection,baseline,0.025,73.67719751599729,0.0625,4.604824844749831,4.604824844749831,69.07237267124746,1.811685064,5339.195131884408
32,Viet Nam,NMC111,Pyro,1260.858855194247,2025,Strategy 2,high_collection,baseline,0.0375,47.28220706978426,0.0625,2.9551379418615165,2.9551379418615165,44.32706912792275,1.672116182,2108.302494988295
33,Viet Nam,NMC523,Pyro,1143.2080138728,2025,Strategy 2,high_collection,baseline,0.035,40.012280485548004,0.0625,2.5007675303467503,2.5007675303467503,37.511512955201255,1.726439185,1973.6791117560256
34,Viet Nam,NMC622,Pyro,464.3693068009133,2025,Strategy 2,high_collection,baseline,0.0325,15.092002471029684,0.0625,0.9432501544393552,0.9432501544393552,14.148752316590329,1.7540295940000001,814.5175066740675
35,Viet Nam,NMC811,Pyro,184.47592349214747,2025,Strategy 2,high_collection,baseline,0.0275,5.073087896034056,0.0625,0.3170679935021285,0.3170679935021285,4.756019902531928,1.8325488049999998,338.06113314680624
36,France,LFP,Pyro,24.280242327190727,2025,Strategy 2,high_collection,baseline,0.025,0.6070060581797683,0.0625,0.03793787863623552,0.03793787863623552,0.5690681795435327,1.5136551790000001,36.75191454592726
37,France,NCA,Pyro,7391.273938408252,2025,Strategy 2,high_collection,baseline,0.025,184.78184846020633,0.0625,11.548865528762896,11.548865528762896,173.23298293144344,1.811685064,13390.660598146687
38,France,NMC111,Pyro,4540.212578773574,2025,Strategy 2,high_collection,baseline,0.0375,170.257971704009,0.0625,10.641123231500563,10.641123231500563,159.61684847250845,1.672116182,7591.762922687242
39,France,NMC523,Pyro,4974.6151831955485,2025,Strategy 2,high_collection,baseline,0.035,174.11153141184423,0.0625,10.881970713240264,10.881970713240264,163.22956069860396,1.726439185,8588.370582564748
40,France,NMC622,Pyro,2329.0605928621926,2025,Strategy 2,high_collection,baseline,0.0325,75.69446926802127,0.0625,4.730904329251329,4.730904329251329,70.96356493876993,1.7540295940000001,4085.241206099471
41,France,NMC811,Pyro,1221.7698850623178,2025,Strategy 2,high_collection,baseline,0.0275,33.59867183921374,0.0625,2.099916989950859,2.099916989950859,31.498754849262884,1.8325488049999998,2238.9529428559376
42,Germany,LFP,Pyro,58.263486938522234,2025,Strategy 2,high_collection,baseline,0.025,1.456587173463056,0.0625,0.091036698341441,0.091036698341441,1.365550475121615,1.5136551790000001,88.19082875109304
43,Germany,NCA,Pyro,16359.572448817638,2025,Strategy 2,high_collection,baseline,0.025,408.989311220441,0.0625,25.56183195127756,25.56183195127756,383.4274792691634,1.811685064,29638.39305894882
44,Germany,NMC111,Pyro,9786.185860283125,2025,Strategy 2,high_collection,baseline,0.0375,366.9819697606172,0.0625,22.936373110038573,22.936373110038573,344.0455966505786,1.672116182,16363.639737039004
45,Germany,NMC523,Pyro,10792.098146628381,2025,Strategy 2,high_collection,baseline,0.035,377.72343513199337,0.0625,23.607714695749586,23.607714695749586,354.1157204362438,1.726439185,18631.901128705114
46,Germany,NMC622,Pyro,5162.799263945802,2025,Strategy 2,high_collection,baseline,0.0325,167.79097607823857,0.0625,10.48693600488991,10.48693600488991,157.30404007334866,1.7540295940000001,9055.702696842354
47,Germany,NMC811,Pyro,2863.5575959948096,2025,Strategy 2,high_collection,baseline,0.0275,78.74783388985726,0.0625,4.921739618116079,4.921739618116079,73.82609427174118,1.8325488049999998,5247.609050588961
48,Hungary,LFP,Pyro,0.06954030665220126,2025,Strategy 2,high_collection,baseline,0.025,0.0017385076663050316,0.0625,0.00010865672914406447,0.00010865672914406447,0.001629850937160967,1.5136551790000001,0.1052600453133526
49,Hungary,NCA,Pyro,20.51940479043502,2025,Strategy 2,high_collection,baseline,0.025,0.5129851197608755,0.0625,0.032061569985054716,0.032061569985054716,0.48092354977582075,1.811685064,37.17469918100117
50,Hungary,NMC111,Pyro,12.215814164601454,2025,Strategy 2,high_collection,baseline,0.0375,0.4580930311725545,0.0625,0.028630814448284657,0.028630814448284657,0.4294622167242699,1.672116182,20.4262605409349
51,Hungary,NMC523,Pyro,13.484982657039433,2025,Strategy 2,high_collection,baseline,0.035,0.4719743929963802,0.0625,0.029498399562273764,0.029498399562273764,0.4424759934341065,1.726439185,23.281002468158295
52,Hungary,NMC622,Pyro,6.486422270696085,2025,Strategy 2,high_collection,baseline,0.0325,0.21080872379762278,0.0625,0.013175545237351424,0.013175545237351424,0.19763317856027135,1.7540295940000001,11.377376621981613
53,Hungary,NMC811,Pyro,3.6028804118857187,2025,Strategy 2,high_collection,baseline,0.0275,0.09907921132685726,0.0625,0.006192450707928579,0.006192450707928579,0.09288676061892868,1.8325488049999998,6.6024541933590815
54,Italy,LFP,Pyro,13.125806554502445,2025,Strategy 2,high_collection,baseline,0.025,0.32814516386256115,0.0625,0.020509072741410072,0.020509072741410072,0.3076360911211511,1.5136551790000001,19.867945069774773
55,Italy,NCA,Pyro,3915.854510915435,2025,Strategy 2,high_collection,baseline,0.025,97.89636277288588,0.0625,6.1185226733053675,6.1185226733053675,91.77784009958052,1.811685064,7094.295130222518
56,Italy,NMC111,Pyro,2285.9440823085397,2025,Strategy 2,high_collection,baseline,0.0375,85.72290308657024,0.0625,5.35768144291064,5.35768144291064,80.3652216436596,1.672116182,3822.364091175249
57,Italy,NMC523,Pyro,2544.429185466941,2025,Strategy 2,high_collection,baseline,0.035,89.05502149134294,0.0625,5.565938843208934,5.565938843208934,83.489082648134,1.726439185,4392.802249247759
58,Italy,NMC622,Pyro,1239.1135511463115,2025,Strategy 2,high_collection,baseline,0.0325,40.27119041225512,0.0625,2.516949400765945,2.516949400765945,37.75424101148918,1.7540295940000001,2173.441839037063
59,Italy,NMC811,Pyro,723.004042811324,2025,Strategy 2,high_collection,baseline,0.0275,19.88261117731141,0.0625,1.2426631985819632,1.2426631985819632,18.63994797872945,1.8325488049999998,1324.9401946640605
60,Poland,LFP,Pyro,2.1500360777822998,2025,Strategy 2,high_collection,baseline,0.025,0.0537509019445575,0.0625,0.0033594313715348437,0.0033594313715348437,0.05039147057302266,1.5136551790000001,3.2544132441720253
61,Poland,NCA,Pyro,641.7936056565013,2025,Strategy 2,high_collection,baseline,0.025,16.044840141412532,0.0625,1.0028025088382833,1.0028025088382833,15.04203763257425,1.811685064,1162.7278895385894
62,Poland,NMC111,Pyro,375.16532912124705,2025,Strategy 2,high_collection,baseline,0.0375,14.068699842046763,0.0625,0.8792937401279227,0.8792937401279227,13.189406101918841,1.672116182,627.320017748993
63,Poland,NMC523,Pyro,416.3976409675772,2025,Strategy 2,high_collection,baseline,0.035,14.573917433865205,0.0625,0.9108698396165753,0.9108698396165753,13.66304759424863,1.726439185,718.8852039079867
64,Poland,NMC622,Pyro,202.54681633943449,2025,Strategy 2,high_collection,baseline,0.0325,6.582771531031621,0.0625,0.4114232206894763,0.4114232206894763,6.171348310342144,1.7540295940000001,355.27311002985084
65,Poland,NMC811,Pyro,118.14248580347687,2025,Strategy 2,high_collection,baseline,0.0275,3.248918359595614,0.0625,0.20305739747472587,0.20305739747472587,3.045860962120888,1.8325488049999998,216.50187117889098
66,Slovakia,LFP,Pyro,0.2583877219636815,2025,Strategy 2,high_collection,baseline,0.025,0.006459693049092038,0.0625,0.00040373081556825235,0.00040373081556825235,0.006055962233523785,1.5136551790000001,0.3911099135403386
67,Slovakia,NCA,Pyro,76.25502419299983,2025,Strategy 2,high_collection,baseline,0.025,1.9063756048249958,0.0625,0.11914847530156224,0.11914847530156224,1.7872271295234337,1.811685064,138.15008838541644
68,Slovakia,NMC111,Pyro,45.41913480327488,2025,Strategy 2,high_collection,baseline,0.0375,1.703217555122808,0.0625,0.1064510971951755,0.1064510971951755,1.5967664579276324,1.672116182,75.9460702769953
69,Slovakia,NMC523,Pyro,50.131229689650446,2025,Strategy 2,high_collection,baseline,0.035,1.7545930391377658,0.0625,0.10966206494611036,0.10966206494611036,1.6449309741916553,1.726439185,86.54851932844792
70,Slovakia,NMC622,Pyro,24.105625374066566,2025,Strategy 2,high_collection,baseline,0.0325,0.7834328246571635,0.0625,0.048964551541072716,0.048964551541072716,0.7344682731160908,1.7540295940000001,42.28198028799008
71,Slovakia,NMC811,Pyro,13.370177995799537,2025,Strategy 2,high_collection,baseline,0.0275,0.36767989488448727,0.0625,0.022979993430280454,0.022979993430280454,0.3446999014542068,1.8325488049999998,24.501503708839735
72,Spain,LFP,Pyro,6.8456455463144605,2025,Strategy 2,high_collection,baseline,0.025,0.1711411386578615,0.0625,0.010696321166116345,0.010696321166116345,0.16044481749174516,1.5136551790000001,10.361946834777168
73,Spain,NCA,Pyro,1993.984652479264,2025,Strategy 2,high_collection,baseline,0.025,49.849616311981606,0.0625,3.1156010194988504,3.1156010194988504,46.73401529248275,1.811685064,3612.472212741913
74,Spain,NMC111,Pyro,1218.7663657022401,2025,Strategy 2,high_collection,baseline,0.0375,45.70373871383401,0.0625,2.8564836696146254,2.8564836696146254,42.84725504421938,1.672116182,2037.9189621680455
75,Spain,NMC523,Pyro,1331.8909213567656,2025,Strategy 2,high_collection,baseline,0.035,46.6161822474868,0.0625,2.913511390467925,2.913511390467925,43.70267085701887,1.726439185,2299.4286767760736
