,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
0,CHN,CHN,138726.9938207069,1163.707,2744438.7545679277,2025,Strategy 2,high_collection,baseline
1,IND,IND,721.3892285092552,681.9816,8363.561064785627,2025,Strategy 2,high_collection,baseline
2,AUS,JPN,983.4793711691092,7958.28,133055.67156979087,2025,Strategy 2,high_collection,baseline
3,JPN,JPN,3433.1682168473394,231.188,13493.023993180544,2025,Strategy 2,high_collection,baseline
4,USA,JPN,28430.95541348689,10918.79,5277337.738206851,2025,Strategy 2,high_collection,baseline
5,BEL,KOR,4834.149954599285,8722.114,716788.1189508664,2025,Strategy 2,high_collection,baseline
6,CAN,KOR,5549.708828764338,10528.16,993279.7825449405,2025,Strategy 2,high_collection,baseline
7,CHE,KOR,2557.381559305336,8878.165,385982.542674991,2025,Strategy 2,high_collection,baseline
8,CZE,KOR,183.5436527308889,8262.063,25779.636775916348,2025,Strategy 2,high_collection,baseline
9,DEU,KOR,45022.47680260828,8139.991,6230203.451505983,2025,Strategy 2,high_collection,baseline
10,ESP,KOR,5517.007234229264,10012.64,939076.724333466,2025,Strategy 2,high_collection,baseline
11,FIN,KOR,1623.2974008731169,7070.555,195119.43042191718,2025,Strategy 2,high_collection,baseline
12,FRA,KOR,20481.212420629075,8981.467,3127172.6690897928,2025,Strategy 2,high_collection,baseline
13,GBR,KOR,15036.178547150295,8875.39,2268683.1281650686,2025,Strategy 2,high_collection,baseline
14,HUN,KOR,56.37904460130991,8182.963,7842.909811113768,2025,Strategy 2,high_collection,baseline
15,ITA,KOR,10721.471179203056,8982.659,1637224.4328788521,2025,Strategy 2,high_collection,baseline
16,KOR,KOR,5989.430552287347,118.6343,12079.38231647679,2025,Strategy 2,high_collection,baseline
17,NLD,KOR,8007.7393897256225,8573.183,1167080.8584752437,2025,Strategy 2,high_collection,baseline
18,NOR,KOR,7637.137740094282,7730.767,1003695.8510647827,2025,Strategy 2,high_collection,baseline
19,POL,KOR,1756.1959139660194,7753.967,231497.24776126503,2025,Strategy 2,high_collection,baseline
20,SVK,KOR,209.5395797777549,8246.657,29376.017719971776,2025,Strategy 2,high_collection,baseline
21,SWE,KOR,8845.715888448422,7445.181,1119585.2496892633,2025,Strategy 2,high_collection,baseline
22,TUR,KOR,2730.540558638032,7759.101,360171.17964417156,2025,Strategy 2,high_collection,baseline
