year,collection_scenario,recovery_efficiency_scenario,Strategy type,choice_mode,embedded_li,li_collected,supply_chain_boundary,barrier_component,lithium_t
2025,high_collection,baseline,Strategy 1,Optimal_lithium,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 1,Optimal_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 1,Optimal_profit,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 1,Realistic_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 2,Optimal_lithium,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 2,Optimal_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 2,Optimal_profit,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 2,Realistic_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 3,Optimal_lithium,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 3,Optimal_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 3,Optimal_profit,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2025,high_collection,baseline,Strategy 3,Realistic_multiobjective,8859.997099826278,6282.786976202022,battery-supply-chain-available secondary lithium equivalent,collection_loss,2577.210123624256
2030,high_collection,baseline,Strategy 1,Optimal_lithium,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 1,Optimal_multiobjective,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 1,Optimal_profit,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 1,Realistic_multiobjective,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 2,Optimal_lithium,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 2,Optimal_multiobjective,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
2030,high_collection,baseline,Strategy 2,Optimal_profit,91632.03333686558,75378.62862563446,battery-supply-chain-available secondary lithium equivalent,collection_loss,16253.404711231118
