year,Strategy type,choice_mode,recycled_lithium,delta_recycled_vs_profit,netprofits,delta_netprofits_vs_profit,CO2,delta_CO2_vs_profit
2025,Strategy 1,Optimal_lithium,5439.635951933766,265.29995199877885,-1691664975.3629825,-1720445998.4398065,428479.6767944746,-75874.28367313079
2025,Strategy 1,Optimal_multiobjective,5387.174776264267,212.83877632928034,-178632457.2097723,-207413480.2865963,432144.4732299424,-72209.48723766301
2025,Strategy 1,Optimal_profit,5174.335999934987,0.0,28781023.07682401,0.0,504353.9604676054,0.0
2025,Strategy 1,Realistic_multiobjective,5320.6143124604105,146.27831252542364,-1583545012.5323944,-1612326035.6092184,425979.55243355915,-78374.40803404624
2025,Strategy 2,Optimal_lithium,18382.995672249945,861.1305247757809,2583646318.265195,-756612611.6756959,1465539.6476210123,-241654.31680105394
2025,Strategy 2,Optimal_multiobjective,18349.867422494663,828.0022750204989,2777079118.998747,-563179810.9421439,1467625.2917487689,-239568.67267329735
2025,Strategy 2,Optimal_profit,17521.865147474164,0.0,3340258929.940891,0.0,1707193.9644220662,0.0
2025,Strategy 2,Realistic_multiobjective,18382.645141669593,860.779994195429,2596753745.8579645,-743505184.0829263,1465560.1016064612,-241633.862815605
2025,Strategy 3,Optimal_lithium,15397.520968377648,740.9011800600802,2014093876.1821325,-675633345.7904351,1285542.8294278858,-150706.38206410455
2025,Strategy 3,Optimal_multiobjective,15360.3491322082,703.7293438906327,2197747163.4023495,-491980058.5702181,1287938.9979306557,-148310.21356133465
2025,Strategy 3,Optimal_profit,14656.619788317568,0.0,2689727221.9725676,0.0,1436249.2114919904,0.0
2025,Strategy 3,Realistic_multiobjective,15397.520968377648,740.9011800600802,2014093876.1821325,-675633345.7904351,1285542.8294278858,-150706.38206410455
2030,Strategy 1,Optimal_lithium,66491.4881474179,3092.614160856647,6790949482.689818,-4021989340.361478,5064321.620561021,-1050355.5602754839
2030,Strategy 1,Optimal_multiobjective,66165.80846062645,2766.934474065194,8794129397.396814,-2018809425.654482,5088157.162523949,-1026520.0183125567
2030,Strategy 1,Optimal_profit,63398.87398656125,0.0,10812938823.051296,0.0,6114677.180836505,0.0
2030,Strategy 1,Realistic_multiobjective,66483.9641319116,3085.090145350354,6930045812.924854,-3882893010.126442,5064556.463675362,-1050120.7171611432
2030,Strategy 2,Optimal_lithium,198534.90890593664,9490.103199941921,45215320058.18052,-7964118385.053818,15130068.801884651,-3213958.7824328467
2030,Strategy 2,Optimal_multiobjective,197831.00777340098,8786.202067406266,46125133583.05891,-7054304860.17543,15181681.90220873,-3162345.6821087673
2030,Strategy 2,Optimal_profit,189044.80570599472,0.0,53179438443.23434,0.0,18344027.584317498,0.0
2030,Strategy 2,Realistic_multiobjective,198533.88743237418,9489.08172637946,45228288160.74371,-7951150282.490623,15130140.913264235,-3213886.6710532624
2030,Strategy 3,Optimal_lithium,158354.59040818876,7082.870334527164,38155887874.20215,-6186105299.221542,12788529.47860835,-1871660.939890897
2030,Strategy 3,Optimal_multiobjective,157972.3970399936,6700.676966332016,38675885365.36981,-5666107808.053879,12816529.39956256,-1843661.0189366862
2030,Strategy 3,Optimal_profit,151271.7200736616,0.0,44341993173.42369,0.0,14660190.418499246,0.0
2030,Strategy 3,Realistic_multiobjective,158353.57195732993,7081.851883668336,38168854038.32816,-6173139135.095528,12788601.407720648,-1871589.0107785985
2035,Strategy 1,Optimal_lithium,290533.0475886297,9937.186471236695,55831077235.19541,-12871659060.61187,20855105.0105694,-5471008.480387963
2035,Strategy 1,Optimal_multiobjective,289589.2143532514,8993.353235858376,58850037702.52182,-9852698593.285461,20955342.01624651,-5370771.474710856
2035,Strategy 1,Optimal_profit,280595.861117393,0.0,68702736295.80728,0.0,26326113.490957364,0.0
2035,Strategy 1,Realistic_multiobjective,290527.9321750618,9932.07105766877,55922936818.116714,-12779799477.690567,20855587.308156367,-5470526.182800997
2035,Strategy 2,Optimal_lithium,835762.2575094232,29257.175314703607,185153604134.30005,-37192513101.35614,59299112.29606597,-16465249.077606633
2035,Strategy 2,Optimal_multiobjective,832758.1771003378,26253.09490561823,190768504961.6671,-31577612273.989075,59617312.08425213,-16147049.289420478
2035,Strategy 2,Optimal_profit,806505.0821947196,0.0,222346117235.6562,0.0,75764361.3736726,0.0
