year,recycling_m,not_selected_score,selected_score,score_gap
2025,Direct,1.280711077657402,1.6325901350000551,0.3518790573426531
2025,Hydro,1.046920844228873,2.1893092136752994,1.1423883694464263
2025,Pyro,1.338738933443538,1.131575046945747,-0.20716388649779094
2030,Direct,1.4511828534864109,1.6318532196839297,0.18067036619751886
2030,Hydro,1.3439634293501954,1.8422709933053583,0.49830756395516285
2030,Pyro,1.2095934153985601,1.2497484089429372,0.040154993544377016
2035,Direct,1.6540384058969972,1.668481716916963,0.014443311019965765
2035,Hydro,1.5028539485657701,1.9764693364986337,0.4736153879328635
2035,Pyro,1.200730580332395,1.3280454705486038,0.12731489021620868
2040,Direct,1.9372576349569857,1.5955086463421482,-0.3417489886148375
2040,Hydro,1.4542059724168381,2.4963630811735102,1.0421571087566721
2040,Pyro,1.1938159686650656,,
2045,Direct,1.9303956491215748,1.6617385632966817,-0.2686570858248931
2045,Hydro,1.4766577853274703,2.4853316876213154,1.0086739022938451
2045,Pyro,1.1970082687127095,,
2050,Direct,1.909776258946494,1.638315651604548,-0.2714606073419459
2050,Hydro,1.4655807844040407,2.483992897838273,1.018412113434232
2050,Pyro,1.20127616535288,,
