year,Strategy type,choice_mode,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,recycling_CO2_em,total_netprofits,total_costs
2025,Strategy 1,Optimal_lithium,211289.7596195496,6282.785807269307,5439.635951933766,843.1498553355409,428479.6767944746,-1691430555.0497344,3116193992.5626645
2025,Strategy 1,Optimal_multiobjective,211289.75961954962,6282.785807269307,5387.174776264267,895.6110310050394,432144.4732299424,-178398036.8965242,1600477766.3545008
2025,Strategy 1,Optimal_profit,211289.75961954962,6282.785807269307,5174.335999934987,1108.4498073343202,504353.9604676054,29015443.390072107,1586063897.1010914
2025,Strategy 1,Realistic_multiobjective,211289.75961954962,6282.785807269307,5320.6143124604105,962.1714948088961,425979.55243355915,-1583310592.2191465,2990754178.614154
2025,Strategy 2,Optimal_lithium,714539.1783542252,21232.38123382992,18382.995672249945,2849.3855615799757,1465539.6476210123,2919245337.3589883,1941661391.3396869
2025,Strategy 2,Optimal_multiobjective,714539.1783542254,21232.38123382992,18294.455623485064,2937.925610344855,1471371.0431497744,3179507807.5650935,1763157175.7907283
2025,Strategy 2,Optimal_profit,714539.1783542251,21232.381233829918,17466.34819443207,3766.033039397851,1710495.307969408,3779654097.7278814,1918188364.803449
2025,Strategy 2,Realistic_multiobjective,714539.1783542254,21232.38123382992,18382.229679738557,2850.151554091364,1465586.0569090408,2943384419.791155,1917178842.1630826
2025,Strategy 3,Optimal_lithium,735612.4378005436,21874.63285111228,18939.057122493006,2935.575728619267,1514301.6717778898,3072660069.0076046,1954848610.823546
2025,Strategy 3,Optimal_multiobjective,735612.4378005436,21874.632851112277,18854.032876310368,3020.599974801908,1519920.5902120396,3314980245.045368,1794703502.5842304
2025,Strategy 3,Optimal_profit,735612.4378005436,21874.63285111228,17999.59489468144,3875.037956430837,1761515.9826768236,3933941080.9764667,1954234166.9303632
2025,Strategy 3,Realistic_multiobjective,735612.4378005436,21874.632851112277,18938.29112998162,2936.341721130656,1514348.0810659186,3096799151.4397707,1930366061.6469417
2030,Strategy 1,Optimal_lithium,2570616.791905779,75378.62844055991,66491.4881474179,8887.140293142013,5064321.620561021,6979866256.655554,9706000378.06734
2030,Strategy 1,Optimal_multiobjective,2570616.791905779,75378.62844055991,66165.80846062645,9212.819979933463,5088157.162523949,8983046171.362547,8039085325.625396
2030,Strategy 1,Optimal_profit,2570616.791905779,75378.62844055993,63398.87398656125,11979.754453998661,6114677.180836505,11001855597.017029,8580912208.490669
2030,Strategy 1,Realistic_multiobjective,2570616.7919057785,75378.62844055991,66483.9641319116,8894.664308648315,5064556.463675362,7118962586.890588,9564399049.113388
2030,Strategy 2,Optimal_lithium,7696262.325862724,225070.75037516904,198534.9089059366,26535.84146923243,15130068.801884651,45904770001.81869,3707802334.006446
2030,Strategy 2,Optimal_multiobjective,7696262.325862724,225070.75037516907,197836.99120322763,27233.759171941416,15181224.831731446,46871790128.16755,3686554105.956322
2030,Strategy 2,Optimal_profit,7696262.325862724,225070.75037516904,188847.45401138978,36223.296363779256,18356722.724659882,54310593143.80759,5065488648.07933
2030,Strategy 2,Realistic_multiobjective,7696262.325862724,225070.75037516904,198533.9106451392,26536.83973002989,15130135.401659884,45923653779.35811,3689081077.780906
2030,Strategy 3,Optimal_lithium,7932779.889057801,232189.4186708268,204814.2862095363,27375.13246129048,15676101.099708574,47692429074.16035,3778414569.767528
2030,Strategy 3,Optimal_multiobjective,7932779.889057801,232189.41867082682,204101.51532878636,28087.903342040467,15728347.349914646,48679448882.015114,3757657191.8375945
2030,Strategy 3,Optimal_profit,7932779.889057802,232189.41867082682,194892.41595977492,37297.00271105188,18928429.729759444,56342271634.988464,5167364931.370474
2030,Strategy 3,Realistic_multiobjective,7932779.889057801,232189.4186708268,204813.28794873887,27376.13072208794,15676167.699483803,47711312851.69977,3759693313.541988
2035,Strategy 1,Optimal_lithium,11089127.410337524,322205.88620231755,290533.0475886297,31672.83861368782,20855105.0105694,57260524148.73668,10463538358.97108
2035,Strategy 1,Optimal_multiobjective,11089127.410337523,322205.88620231755,289589.2143532514,32616.67184906614,20955342.01624651,60279484616.06309,9190698679.342806
2035,Strategy 1,Optimal_profit,11089127.410337523,322205.88620231755,280595.861117393,41610.02508492455,26326113.490957364,70132183209.34856,11538672339.508816
2035,Strategy 1,Realistic_multiobjective,11089127.410337524,322205.8862023175,290527.9321750618,31677.954027255757,20855587.308156367,57352383731.65798,10375336335.138685
2035,Strategy 2,Optimal_lithium,31919983.078846797,926873.9686252892,835762.2575094233,91111.71111586598,59299112.29606598,185934996108.23315,4364251268.43608
2035,Strategy 2,Optimal_multiobjective,31919983.078846794,926873.9686252893,832433.8333690461,94440.13525624307,59651666.10305766,192260579201.29153,4652298982.342115
2035,Strategy 2,Optimal_profit,31919983.078846794,926873.9686252893,805878.9559202401,120995.01270504919,75822434.92923395,224844990820.30197,6856348935.63384
2035,Strategy 2,Realistic_multiobjective,31919983.078846794,926873.9686252893,835760.0218670417,91113.9467582476,59299326.05032831,185963320189.7302,4337417620.211727
